"","date","CRSR"
"1","2020-09-23",14.25
"2","2020-09-24",15.58
"3","2020-09-25",17.25
"4","2020-09-28",18.469999
"5","2020-09-29",18.780001
"6","2020-09-30",20.1
"7","2020-10-01",20.950001
"8","2020-10-02",20.9
"9","2020-10-05",20.030001
"10","2020-10-06",18.290001
"11","2020-10-07",19.110001
"12","2020-10-08",18.370001
"13","2020-10-09",18.110001
"14","2020-10-12",18.57
"15","2020-10-13",18.559999
"16","2020-10-14",18.790001
"17","2020-10-15",18.41
"18","2020-10-16",19.200001
"19","2020-10-19",20.059999
"20","2020-10-20",22.969999
"21","2020-10-21",24.639999
"22","2020-10-22",24.02
"23","2020-10-23",24.67
"24","2020-10-26",24.48
"25","2020-10-27",25.790001
"26","2020-10-28",25.08
"27","2020-10-29",24.799999
"28","2020-10-30",24.040001
"29","2020-11-02",22.969999
"30","2020-11-03",24.99
"31","2020-11-04",26.58
"32","2020-11-05",27.780001
"33","2020-11-06",27.08
"34","2020-11-09",26.32
"35","2020-11-10",27.99
"36","2020-11-11",29.139999
"37","2020-11-12",28.35
"38","2020-11-13",29.18
"39","2020-11-16",30.26
"40","2020-11-17",32.099998
"41","2020-11-18",35.09
"42","2020-11-19",37.900002
"43","2020-11-20",40.330002
"44","2020-11-23",45.32
"45","2020-11-24",51.259998
"46","2020-11-25",42.799999
"47","2020-11-27",38.77
