"","date","SUZ"
"1","2008-11-04",5.218667
"2","2008-11-05",5.050667
"3","2008-11-06",4.691333
"4","2008-11-07",4.691333
"5","2008-11-10",4.691333
"6","2008-11-11",4.691333
"7","2008-11-12",4.691333
"8","2008-11-13",4.691333
"9","2008-11-14",4.691333
"10","2008-11-17",4.691333
"11","2008-11-18",4.691333
"12","2008-11-19",4.691333
"13","2008-11-20",4.533333
"14","2008-11-21",4.533333
"15","2008-11-24",4.533333
"16","2008-11-25",4.533333
"17","2008-11-26",4.533333
"18","2008-11-28",4.533333
"19","2008-12-01",4.533333
"20","2008-12-02",4.08
"21","2008-12-03",3.786667
"22","2008-12-04",3.786667
"23","2008-12-05",3.786667
"24","2008-12-08",3.786667
"25","2008-12-09",3.786667
"26","2008-12-10",3.786667
"27","2008-12-11",1.333333
"28","2008-12-12",1.333333
"29","2008-12-15",1.333333
"30","2008-12-16",1.333333
"31","2008-12-17",1.333333
"32","2008-12-18",1.333333
"33","2008-12-19",1.333333
"34","2008-12-22",3.981333
"35","2008-12-23",3.981333
"36","2008-12-24",3.981333
"37","2008-12-26",3.981333
"38","2008-12-29",3.981333
"39","2008-12-30",3.981333
"40","2008-12-31",3.981333
"41","2009-01-02",3.981333
"42","2009-01-05",3.981333
"43","2009-01-06",3.981333
"44","2009-01-07",3.981333
"45","2009-01-08",3.981333
"46","2009-01-09",3.981333
"47","2009-01-12",3.981333
"48","2009-01-13",3.981333
"49","2009-01-14",3.981333
"50","2009-01-15",3.981333
"51","2009-01-16",3.981333
"52","2009-01-20",3.981333
"53","2009-01-21",4.152
"54","2009-01-22",4.152
"55","2009-01-23",4.152
"56","2009-01-26",4.152
"57","2009-01-27",4.152
"58","2009-01-28",4.152
"59","2009-01-29",4.152
"60","2009-01-30",4.152
"61","2009-02-02",4.152
"62","2009-02-03",4.152
"63","2009-02-04",4.152
"64","2009-02-05",4.152
"65","2009-02-06",4.152
"66","2009-02-09",4.152
"67","2009-02-10",4.152
"68","2009-02-11",4.152
"69","2009-02-12",4.152
"70","2009-02-13",4.152
"71","2009-02-17",4.152
"72","2009-02-18",4.152
"73","2009-02-19",4.152
"74","2009-02-20",4.152
"75","2009-02-23",4.152
"76","2009-02-24",4.152
"77","2009-02-25",4.152
"78","2009-02-26",4.152
"79","2009-02-27",3.84
"80","2009-03-02",3.84
"81","2009-03-03",3.84
"82","2009-03-04",3.84
"83","2009-03-05",3.84
"84","2009-03-06",3.84
"85","2009-03-09",3.84
"86","2009-03-10",3.84
"87","2009-03-11",3.84
"88","2009-03-12",3.84
"89","2009-03-13",3.84
"90","2009-03-16",3.84
"91","2009-03-17",3.84
"92","2009-03-18",3.84
"93","2009-03-19",3.84
"94","2009-03-20",3.84
"95","2009-03-23",3.84
"96","2009-03-24",3.84
"97","2009-03-25",3.84
"98","2009-03-26",3.84
"99","2009-03-27",3.84
"100","2009-03-30",3.84
"101","2009-03-31",3.84
"102","2009-04-01",3.84
"103","2009-04-02",3.84
"104","2009-04-03",3.84
"105","2009-04-06",3.84
"106","2009-04-07",3.84
"107","2009-04-08",3.84
"108","2009-04-09",3.84
"109","2009-04-13",3.84
"110","2009-04-14",3.84
"111","2009-04-15",3.84
"112","2009-04-16",3.84
"113","2009-04-17",3.84
"114","2009-04-20",3.84
"115","2009-04-21",3.84
"116","2009-04-22",3.84
"117","2009-04-23",3.84
"118","2009-04-24",3.84
"119","2009-04-27",3.84
"120","2009-04-28",3.84
"121","2009-04-29",3.84
"122","2009-04-30",3.84
"123","2009-05-01",3.84
"124","2009-05-04",3.84
