"","date","ERIE"
"1","2007-01-03",57.52
"2","2007-01-04",57.220001
"3","2007-01-05",56.869999
"4","2007-01-08",56.330002
"5","2007-01-09",56.5
"6","2007-01-10",56
"7","2007-01-11",56.049999
"8","2007-01-12",55.950001
"9","2007-01-16",55.880001
"10","2007-01-17",55.82
"11","2007-01-18",55.029999
"12","2007-01-19",55.119999
"13","2007-01-22",55.369999
"14","2007-01-23",54.869999
"15","2007-01-24",54.59
"16","2007-01-25",54.16
"17","2007-01-26",54.459999
"18","2007-01-29",54.970001
"19","2007-01-30",55
"20","2007-01-31",55.27
"21","2007-02-01",55.450001
"22","2007-02-02",55.169998
"23","2007-02-05",55.290001
"24","2007-02-06",55.540001
"25","2007-02-07",55.549999
"26","2007-02-08",55.48
"27","2007-02-09",55.419998
"28","2007-02-12",55.130001
"29","2007-02-13",55.310001
"30","2007-02-14",55.23
"31","2007-02-15",55.080002
"32","2007-02-16",55.18
"33","2007-02-20",56.41
"34","2007-02-21",55.939999
"35","2007-02-22",56.240002
"36","2007-02-23",56.060001
"37","2007-02-26",55.919998
"38","2007-02-27",55.02
"39","2007-02-28",53.91
"40","2007-03-01",53.09
"41","2007-03-02",53.080002
"42","2007-03-05",52.099998
"43","2007-03-06",52.540001
"44","2007-03-07",52.939999
"45","2007-03-08",52.77
"46","2007-03-09",52.900002
"47","2007-03-12",53.09
"48","2007-03-13",52.5
"49","2007-03-14",52.169998
"50","2007-03-15",53.279999
"51","2007-03-16",52.029999
"52","2007-03-19",52.23
"53","2007-03-20",52.400002
"54","2007-03-21",52.790001
"55","2007-03-22",52.419998
"56","2007-03-23",52.27
"57","2007-03-26",52.669998
"58","2007-03-27",52.720001
"59","2007-03-28",52.880001
"60","2007-03-29",52.84
"61","2007-03-30",52.77
"62","2007-04-02",52.669998
"63","2007-04-03",52.84
"64","2007-04-04",52.630001
"65","2007-04-05",52.880001
"66","2007-04-09",52.700001
"67","2007-04-10",52.91
"68","2007-04-11",52.52
"69","2007-04-12",52.419998
"70","2007-04-13",52.5
"71","2007-04-16",53.240002
"72","2007-04-17",53.02
"73","2007-04-18",53.02
"74","2007-04-19",53.049999
"75","2007-04-20",53.32
"76","2007-04-23",53.369999
"77","2007-04-24",53.189999
"78","2007-04-25",53.279999
"79","2007-04-26",53.189999
"80","2007-04-27",53.650002
"81","2007-04-30",52.549999
"82","2007-05-01",52.529999
"83","2007-05-02",53.689999
"84","2007-05-03",54.389999
"85","2007-05-04",54.580002
"86","2007-05-07",55.169998
"87","2007-05-08",55.349998
"88","2007-05-09",55.830002
"89","2007-05-10",55.900002
"90","2007-05-11",55.889999
"91","2007-05-14",55.099998
"92","2007-05-15",55.040001
"93","2007-05-16",55.240002
"94","2007-05-17",55.23
"95","2007-05-18",55.080002
