"","date","GRCY"
"1","2020-09-08",9.77
"2","2020-09-09",9.85
"3","2020-09-10",9.83
"4","2020-09-11",9.87
"5","2020-09-14",9.87
"6","2020-09-15",9.87
"7","2020-09-16",9.85
"8","2020-09-17",9.83
"9","2020-09-18",9.91
"10","2020-09-21",9.91
"11","2020-09-22",9.91
"12","2020-09-23",9.91
"13","2020-09-24",10
"14","2020-09-25",10
"15","2020-09-28",9.87
"16","2020-09-29",9.9
"17","2020-09-30",9.91
"18","2020-10-01",9.9
"19","2020-10-02",9.9
"20","2020-10-05",9.9
"21","2020-10-06",9.85
"22","2020-10-07",9.85
"23","2020-10-08",9.85
"24","2020-10-09",9.85
"25","2020-10-12",9.82
"26","2020-10-13",9.82
"27","2020-10-14",9.86
"28","2020-10-15",9.86
"29","2020-10-16",9.889
"30","2020-10-19",9.86
"31","2020-10-20",9.86
"32","2020-10-21",9.84
"33","2020-10-22",9.83
"34","2020-10-23",9.81
"35","2020-10-26",9.81
"36","2020-10-27",9.84
"37","2020-10-28",9.84
"38","2020-10-29",9.84
"39","2020-10-30",9.79
"40","2020-11-02",9.83
"41","2020-11-03",9.83
"42","2020-11-04",9.82
"43","2020-11-05",9.77
"44","2020-11-06",9.835
"45","2020-11-09",9.835
"46","2020-11-10",9.82
"47","2020-11-11",9.86
"48","2020-11-12",9.9
"49","2020-11-13",9.91
"50","2020-11-16",9.9
"51","2020-11-17",9.9
"52","2020-11-18",9.91
"53","2020-11-19",9.91
"54","2020-11-20",9.95
"55","2020-11-23",9.95
"56","2020-11-24",9.91
"57","2020-11-25",9.92
"58","2020-11-27",9.91
