"","date","ES"
"1","2007-01-03",28.43
"2","2007-01-04",28.200001
"3","2007-01-05",27.610001
"4","2007-01-08",27.76
"5","2007-01-09",27.74
"6","2007-01-10",27.709999
"7","2007-01-11",27.719999
"8","2007-01-12",27.690001
"9","2007-01-16",27.67
"10","2007-01-17",27.59
"11","2007-01-18",27.4
"12","2007-01-19",27.57
"13","2007-01-22",27.610001
"14","2007-01-23",27.440001
"15","2007-01-24",27.73
"16","2007-01-25",27.440001
"17","2007-01-26",27.549999
"18","2007-01-29",27.43
"19","2007-01-30",27.549999
"20","2007-01-31",27.65
"21","2007-02-01",27.790001
"22","2007-02-02",27.799999
"23","2007-02-05",28.129999
"24","2007-02-06",28.43
"25","2007-02-07",28.58
"26","2007-02-08",28.68
"27","2007-02-09",28.799999
"28","2007-02-12",28.879999
"29","2007-02-13",28.9
"30","2007-02-14",29.1
"31","2007-02-15",29.09
"32","2007-02-16",29.049999
"33","2007-02-20",29.24
"34","2007-02-21",29.389999
"35","2007-02-22",29.370001
"36","2007-02-23",29.709999
"37","2007-02-26",29.690001
"38","2007-02-27",29.030001
"39","2007-02-28",29.040001
"40","2007-03-01",29.1
"41","2007-03-02",28.940001
"42","2007-03-05",28.379999
"43","2007-03-06",29.030001
"44","2007-03-07",29.209999
"45","2007-03-08",29.24
"46","2007-03-09",29.32
"47","2007-03-12",29.889999
"48","2007-03-13",29.700001
"49","2007-03-14",30.1
"50","2007-03-15",30.83
"51","2007-03-16",30.59
"52","2007-03-19",30.950001
"53","2007-03-20",31.389999
"54","2007-03-21",32.049999
"55","2007-03-22",32.130001
"56","2007-03-23",32.290001
"57","2007-03-26",32.32
"58","2007-03-27",32.18
"59","2007-03-28",32.349998
"60","2007-03-29",32.349998
"61","2007-03-30",32.77
"62","2007-04-02",33.369999
"63","2007-04-03",33.529999
"64","2007-04-04",33.299999
"65","2007-04-05",33.32
"66","2007-04-09",33.380001
"67","2007-04-10",32.869999
"68","2007-04-11",32.66
"69","2007-04-12",32.529999
"70","2007-04-13",32.5
"71","2007-04-16",32.610001
"72","2007-04-17",32.59
"73","2007-04-18",32.419998
"74","2007-04-19",32.209999
"75","2007-04-20",32.52
"76","2007-04-23",32.75
"77","2007-04-24",32.779999
"78","2007-04-25",33.139999
"79","2007-04-26",32.900002
"80","2007-04-27",32.549999
"81","2007-04-30",32.169998
"82","2007-05-01",32.459999
"83","2007-05-02",32.630001
"84","2007-05-03",32.549999
"85","2007-05-04",32.830002
"86","2007-05-07",32.970001
"87","2007-05-08",32.799999
"88","2007-05-09",32.720001
"89","2007-05-10",32.25
"90","2007-05-11",32.419998
"91","2007-05-14",32.400002
"92","2007-05-15",32.700001
"93","2007-05-16",32.580002
"94","2007-05-17",32.509998
"95","2007-05-18",32.580002
"96","2007-05-21",32.470001
"97","2007-05-22",32.240002
"98","2007-05-23",31.450001
"99","2007-05-24",30.5
"100","2007-05-25",30.450001
"101","2007-05-29",30.76
"102","2007-05-30",30.879999
"103","2007-05-31",30.41
"104","2007-06-01",30.709999
"105","2007-06-04",30.57
"106","2007-06-05",30.110001
"107","2007-06-06",29.549999
"108","2007-06-07",28.290001
"109","2007-06-08",28.360001
"110","2007-06-11",28.5
"111","2007-06-12",28.139999
"112","2007-06-13",28.620001
"113","2007-06-14",28.6
"114","2007-06-15",28.879999
"115","2007-06-18",28.700001
"116","2007-06-19",28.41
"117","2007-06-20",28.08
"118","2007-06-21",28.01
"119","2007-06-22",27.6
"120","2007-06-25",27.370001
"121","2007-06-26",27.93
"122","2007-06-27",28.35
"123","2007-06-28",28.309999
