"","date","MRCY"
"1","2007-01-03",13.48
"2","2007-01-04",14.01
"3","2007-01-05",13.74
"4","2007-01-08",13.38
"5","2007-01-09",13.33
"6","2007-01-10",13.23
"7","2007-01-11",13.34
"8","2007-01-12",13.09
"9","2007-01-16",13.13
"10","2007-01-17",13.3
"11","2007-01-18",13.07
"12","2007-01-19",13.08
"13","2007-01-22",13.05
"14","2007-01-23",13.03
"15","2007-01-24",13.37
"16","2007-01-25",13.02
"17","2007-01-26",13.03
"18","2007-01-29",13.19
"19","2007-01-30",12.94
"20","2007-01-31",12.92
"21","2007-02-01",12.78
"22","2007-02-02",12.85
"23","2007-02-05",12.7
"24","2007-02-06",13.01
"25","2007-02-07",12.95
"26","2007-02-08",13.26
"27","2007-02-09",13.08
"28","2007-02-12",12.95
"29","2007-02-13",13.02
"30","2007-02-14",13.01
"31","2007-02-15",12.93
"32","2007-02-16",13.08
"33","2007-02-20",13.27
"34","2007-02-21",13.31
"35","2007-02-22",13.41
"36","2007-02-23",13.42
"37","2007-02-26",13.2
"38","2007-02-27",12.89
"39","2007-02-28",12.72
"40","2007-03-01",12.32
"41","2007-03-02",12.48
"42","2007-03-05",12.05
"43","2007-03-06",12.55
"44","2007-03-07",12.56
"45","2007-03-08",12.65
"46","2007-03-09",12.77
"47","2007-03-12",12.77
"48","2007-03-13",12.4
"49","2007-03-14",12.69
"50","2007-03-15",12.69
"51","2007-03-16",12.82
"52","2007-03-19",12.85
"53","2007-03-20",13
"54","2007-03-21",13.39
"55","2007-03-22",13.53
"56","2007-03-23",13.81
"57","2007-03-26",13.83
"58","2007-03-27",13.7
"59","2007-03-28",13.59
"60","2007-03-29",13.78
"61","2007-03-30",13.87
"62","2007-04-02",13.87
"63","2007-04-03",14.12
"64","2007-04-04",14
"65","2007-04-05",14.19
"66","2007-04-09",14.04
"67","2007-04-10",13.97
"68","2007-04-11",13.92
"69","2007-04-12",13.9
"70","2007-04-13",14
"71","2007-04-16",14.6
"72","2007-04-17",14.23
"73","2007-04-18",14.24
"74","2007-04-19",14.2
"75","2007-04-20",14.44
"76","2007-04-23",14.36
"77","2007-04-24",14.52
"78","2007-04-25",14.56
"79","2007-04-26",14.56
"80","2007-04-27",13.7
"81","2007-04-30",13.57
"82","2007-05-01",13.54
"83","2007-05-02",13.71
"84","2007-05-03",13.9
"85","2007-05-04",13.79
"86","2007-05-07",13.85
"87","2007-05-08",13.49
"88","2007-05-09",13.7
"89","2007-05-10",13.16
"90","2007-05-11",13.18
"91","2007-05-14",12.8
"92","2007-05-15",12.56
"93","2007-05-16",12.62
"94","2007-05-17",12.44
"95","2007-05-18",12.75
"96","2007-05-21",12.84
"97","2007-05-22",13.14
"98","2007-05-23",13.02
"99","2007-05-24",13.01
"100","2007-05-25",13.26
"101","2007-05-29",12.93
"102","2007-05-30",13.08
"103","2007-05-31",13.02
"104","2007-06-01",13.04
"105","2007-06-04",13.01
"106","2007-06-05",13.07
"107","2007-06-06",12.75
"108","2007-06-07",12.58
"109","2007-06-08",12.67
"110","2007-06-11",12.62
"111","2007-06-12",12.38
"112","2007-06-13",12.73
"113","2007-06-14",12.37
"114","2007-06-15",12.21
"115","2007-06-18",12.16
"116","2007-06-19",12.28
"117","2007-06-20",12.11
"118","2007-06-21",12.23
"119","2007-06-22",12.38
"120","2007-06-25",12.45
"121","2007-06-26",12.43
"122","2007-06-27",12.43
"123","2007-06-28",12.66
"124","2007-06-29",12.2
"125","2007-07-02",12.58
"126","2007-07-03",12.53
"127","2007-07-05",12.57
"128","2007-07-06",12.5
"129","2007-07-09",12.5
"130","2007-07-10",12.3
"131","2007-07-11",12.43
"132","2007-07-12",12.58
"133","2007-07-13",12.39
"134","2007-07-16",12.48
"135","2007-07-17",12.56
"136","2007-07-18",12.48
"137","2007-07-19",12.48
"138","2007-07-20",12.36
"139","2007-07-23",12.37
"140","2007-07-24",11.97
"141","2007-07-25",12.26
"142","2007-07-26",12.2
"143","2007-07-27",11.21
"144","2007-07-30",11.21
"145","2007-07-31",10.93
"146","2007-08-01",11.13
"147","2007-08-02",11.97
"148","2007-08-03",11.92
"149","2007-08-06",11.74
"150","2007-08-07",11.89
"151","2007-08-08",13.57
"152","2007-08-09",13.56
"153","2007-08-10",13.05
"154","2007-08-13",11.85
"155","2007-08-14",11.88
"156","2007-08-15",11.95
"157","2007-08-16",12.4
"158","2007-08-17",12.79
"159","2007-08-20",12.5
"160","2007-08-21",12.3
"161","2007-08-22",11.91
"162","2007-08-23",11.75
"163","2007-08-24",11.6
"164","2007-08-27",11.48
"165","2007-08-28",11.16
"166","2007-08-29",11.37
"167","2007-08-30",11.38
"168","2007-08-31",11.44
"169","2007-09-04",11.56
"170","2007-09-05",11.44
"171","2007-09-06",11.4
"172","2007-09-07",11.29
"173","2007-09-10",11.09
"174","2007-09-11",11.05
"175","2007-09-12",10.71
"176","2007-09-13",10.45
"177","2007-09-14",10.5
"178","2007-09-17",10.27
"179","2007-09-18",10.78
"180","2007-09-19",10.78
"181","2007-09-20",10.67
"182","2007-09-21",10.72
"183","2007-09-24",10.48
"184","2007-09-25",10.37
"185","2007-09-26",10.64
"186","2007-09-27",10.67
"187","2007-09-28",10.28
"188","2007-10-01",10.73
"189","2007-10-02",10.98
"190","2007-10-03",10.89
"191","2007-10-04",11.2
"192","2007-10-05",11.78
"193","2007-10-08",11.46
"194","2007-10-09",11.51
"195","2007-10-10",11.44
"196","2007-10-11",11.23
"197","2007-10-12",11.41
"198","2007-10-15",11
"199","2007-10-16",10.84
"200","2007-10-17",10.71
"201","2007-10-18",10.65
"202","2007-10-19",10.4
"203","2007-10-22",10.74
"204","2007-10-23",11.46
"205","2007-10-24",10.88
"206","2007-10-25",13.49
"207","2007-10-26",15.36
"208","2007-10-29",15.5
"209","2007-10-30",15.36
"210","2007-10-31",15.64
"211","2007-11-01",14.85
"212","2007-11-02",14.9
"213","2007-11-05",14.85
"214","2007-11-06",14.84
"215","2007-11-07",14.33
"216","2007-11-08",14.18
"217","2007-11-09",13.93
"218","2007-11-12",14
"219","2007-11-13",14.28
"220","2007-11-14",14.03
"221","2007-11-15",14.17
"222","2007-11-16",14.29
"223","2007-11-19",14.16
"224","2007-11-20",14.32
"225","2007-11-21",14.14
"226","2007-11-23",14.3
"227","2007-11-26",14.05
"228","2007-11-27",14.13
"229","2007-11-28",14.61
"230","2007-11-29",15.01
"231","2007-11-30",14.66
"232","2007-12-03",13.94
"233","2007-12-04",13.8
"234","2007-12-05",14.11
"235","2007-12-06",14.94
"236","2007-12-07",14.75
"237","2007-12-10",14.86
"238","2007-12-11",14.54
"239","2007-12-12",14.91
"240","2007-12-13",15.12
"241","2007-12-14",15.1
"242","2007-12-17",14.75
"243","2007-12-18",15.78
"244","2007-12-19",15.95
"245","2007-12-20",16.209999
"246","2007-12-21",16.43
"247","2007-12-24",16.4
"248","2007-12-26",16.139999
"249","2007-12-27",15.81
"250","2007-12-28",15.8
"251","2007-12-31",16.110001
"252","2008-01-02",15.78
"253","2008-01-03",15.72
"254","2008-01-04",14.56
"255","2008-01-07",14.19
"256","2008-01-08",13.39
"257","2008-01-09",13.45
"258","2008-01-10",13.52
"259","2008-01-11",12.73
"260","2008-01-14",13.4
"261","2008-01-15",13.25
"262","2008-01-16",13.26
"263","2008-01-17",13.66
"264","2008-01-18",12.78
"265","2008-01-22",12.87
"266","2008-01-23",13.08
"267","2008-01-24",8.84
"268","2008-01-25",8.63
"269","2008-01-28",8.53
"270","2008-01-29",8.27
"271","2008-01-30",7.85
"272","2008-01-31",8.3
"273","2008-02-01",8.55
"274","2008-02-04",8.07
"275","2008-02-05",8.3
"276","2008-02-06",8.12
"277","2008-02-07",7.97
"278","2008-02-08",7.79
"279","2008-02-11",7.9
"280","2008-02-12",7.43
"281","2008-02-13",7.38
"282","2008-02-14",7.33
"283","2008-02-15",7.29
"284","2008-02-19",7.21
"285","2008-02-20",7.25
"286","2008-02-21",6.72
"287","2008-02-22",6.36
"288","2008-02-25",6.7
"289","2008-02-26",6.88
"290","2008-02-27",6.89
"291","2008-02-28",6.59
"292","2008-02-29",6.41
"293","2008-03-03",6.34
"294","2008-03-04",6.4
"295","2008-03-05",6.11
"296","2008-03-06",5.75
"297","2008-03-07",5.47
"298","2008-03-10",5.05
"299","2008-03-11",5.2
"300","2008-03-12",4.86
"301","2008-03-13",4.98
"302","2008-03-14",4.54
"303","2008-03-17",4.61
"304","2008-03-18",4.65
"305","2008-03-19",4.7
"306","2008-03-20",4.9
"307","2008-03-24",4.9
"308","2008-03-25",5.4
"309","2008-03-26",5.46
"310","2008-03-27",5.35
"311","2008-03-28",5.35
"312","2008-03-31",5.62
"313","2008-04-01",5.88
"314","2008-04-02",6.04
"315","2008-04-03",6.27
"316","2008-04-04",6.32
"317","2008-04-07",6.37
"318","2008-04-08",6.33
"319","2008-04-09",6.25
"320","2008-04-10",6.2
"321","2008-04-11",5.78
"322","2008-04-14",5.84
"323","2008-04-15",5.82
"324","2008-04-16",6.09
"325","2008-04-17",6.36
"326","2008-04-18",6.34
"327","2008-04-21",6.29
"328","2008-04-22",5.97
"329","2008-04-23",6.47
"330","2008-04-24",7.63
"331","2008-04-25",7.24
"332","2008-04-28",8.82
"333","2008-04-29",8.6
"334","2008-04-30",8.02
"335","2008-05-01",8.61
"336","2008-05-02",8.32
"337","2008-05-05",8.05
"338","2008-05-06",7.88
"339","2008-05-07",8.13
"340","2008-05-08",8.12
"341","2008-05-09",7.85
"342","2008-05-12",8.11
"343","2008-05-13",8.2
"344","2008-05-14",7.83
"345","2008-05-15",8.34
"346","2008-05-16",7.99
"347","2008-05-19",7.95
"348","2008-05-20",7.97
"349","2008-05-21",7.59
"350","2008-05-22",8.02
"351","2008-05-23",7.75
"352","2008-05-27",8.04
"353","2008-05-28",8.01
"354","2008-05-29",8.5
"355","2008-05-30",8.87
"356","2008-06-02",8.55
"357","2008-06-03",8.25
"358","2008-06-04",8.51
"359","2008-06-05",9.45
"360","2008-06-06",8.67
