"","date","MAXN"
"1","2020-08-26",37.619999
"2","2020-08-27",19
"3","2020-08-28",20.049999
"4","2020-08-31",20.780001
"5","2020-09-01",21.809999
"6","2020-09-02",20.85
"7","2020-09-03",20.76
"8","2020-09-04",20.66
"9","2020-09-08",21.549999
"10","2020-09-09",20.6
"11","2020-09-10",18.719999
"12","2020-09-11",18.870001
"13","2020-09-14",17.809999
"14","2020-09-15",15.86
"15","2020-09-16",15.27
"16","2020-09-17",14.1
"17","2020-09-18",13.7
"18","2020-09-21",13.2
"19","2020-09-22",12.64
"20","2020-09-23",13.85
"21","2020-09-24",13.41
"22","2020-09-25",14.38
"23","2020-09-28",16.139999
"24","2020-09-29",18.16
"25","2020-09-30",16.959999
"26","2020-10-01",17.969999
"27","2020-10-02",16.74
"28","2020-10-05",17.025
"29","2020-10-06",17.040001
"30","2020-10-07",18.780001
"31","2020-10-08",20
"32","2020-10-09",20.09
"33","2020-10-12",21.780001
"34","2020-10-13",20.440001
"35","2020-10-14",21.16
"36","2020-10-15",19.93
"37","2020-10-16",17.1
"38","2020-10-19",17.51
"39","2020-10-20",18.809999
"40","2020-10-21",17.610001
"41","2020-10-22",18.049999
"42","2020-10-23",18.93
"43","2020-10-26",17.190001
"44","2020-10-27",16.969999
"45","2020-10-28",16.52
"46","2020-10-29",17.290001
"47","2020-10-30",16.200001
"48","2020-11-02",16.6
"49","2020-11-03",17.129999
"50","2020-11-04",15.51
"51","2020-11-05",16.870001
"52","2020-11-06",16.940001
"53","2020-11-09",16.82
"54","2020-11-10",18.280001
"55","2020-11-11",18.77
"56","2020-11-12",18.98
"57","2020-11-13",18.219999
"58","2020-11-16",18.59
"59","2020-11-17",18.690001
"60","2020-11-18",19.879999
"61","2020-11-19",19.549999
"62","2020-11-20",18.030001
"63","2020-11-23",18.68
"64","2020-11-24",22.040001
"65","2020-11-25",23.200001
"66","2020-11-27",25.09
