"","date","REX"
"1","2007-01-03",18.02
"2","2007-01-04",18.01
"3","2007-01-05",18
"4","2007-01-08",17.76
"5","2007-01-09",17.67
"6","2007-01-10",17.6
"7","2007-01-11",16.780001
"8","2007-01-12",16.219999
"9","2007-01-16",16.35
"10","2007-01-17",16.950001
"11","2007-01-18",16.809999
"12","2007-01-19",16.75
"13","2007-01-22",17.139999
"14","2007-01-23",18.01
"15","2007-01-24",17.98
"16","2007-01-25",17.66
"17","2007-01-26",17.799999
"18","2007-01-29",17.389999
"19","2007-01-30",16.41
"20","2007-01-31",16.48
"21","2007-02-01",16.200001
"22","2007-02-02",17.120001
"23","2007-02-05",17.299999
"24","2007-02-06",17.5
"25","2007-02-07",17.49
"26","2007-02-08",17.450001
"27","2007-02-09",17.25
"28","2007-02-12",17.049999
"29","2007-02-13",18.09
"30","2007-02-14",17.780001
"31","2007-02-15",17.879999
"32","2007-02-16",17.75
"33","2007-02-20",17.9
"34","2007-02-21",17.790001
"35","2007-02-22",17.879999
"36","2007-02-23",17.48
"37","2007-02-26",16.82
"38","2007-02-27",16.9
"39","2007-02-28",16.73
"40","2007-03-01",15.65
"41","2007-03-02",15.5
"42","2007-03-05",15.18
"43","2007-03-06",15.72
"44","2007-03-07",16.120001
"45","2007-03-08",16.389999
"46","2007-03-09",15.97
"47","2007-03-12",15.02
"48","2007-03-13",15.16
"49","2007-03-14",15.1
"50","2007-03-15",15.49
"51","2007-03-16",15.37
"52","2007-03-19",15.48
"53","2007-03-20",16.280001
"54","2007-03-21",16.73
"55","2007-03-22",16.879999
"56","2007-03-23",16.68
"57","2007-03-26",16.65
"58","2007-03-27",15.75
"59","2007-03-28",15.55
"60","2007-03-29",15.84
"61","2007-03-30",16.360001
"62","2007-04-02",16.52
"63","2007-04-03",16.469999
"64","2007-04-04",16.549999
"65","2007-04-05",16.549999
"66","2007-04-09",15.86
"67","2007-04-10",15.75
"68","2007-04-11",15.73
"69","2007-04-12",16.5
"70","2007-04-13",17.049999
"71","2007-04-16",16.959999
"72","2007-04-17",16.809999
"73","2007-04-18",16.32
"74","2007-04-19",16.280001
"75","2007-04-20",16.98
"76","2007-04-23",17.530001
"77","2007-04-24",17.23
