"","date","HSKA"
"1","2007-01-03",17.200001
"2","2007-01-04",17.1
"3","2007-01-05",16.9
"4","2007-01-08",17.299999
"5","2007-01-09",17.200001
"6","2007-01-10",16.5
"7","2007-01-11",16.700001
"8","2007-01-12",16.5
"9","2007-01-16",16.4
"10","2007-01-17",16.799999
"11","2007-01-18",16.4
"12","2007-01-19",16.4
"13","2007-01-22",16
"14","2007-01-23",15.8
"15","2007-01-24",15.7
"16","2007-01-25",15.6
"17","2007-01-26",16
"18","2007-01-29",16.200001
"19","2007-01-30",16.200001
"20","2007-01-31",16.200001
"21","2007-02-01",16.700001
"22","2007-02-02",16.6
"23","2007-02-05",16.700001
"24","2007-02-06",16.5
"25","2007-02-07",16.6
"26","2007-02-08",16.6
"27","2007-02-09",16.5
"28","2007-02-12",16
"29","2007-02-13",16
"30","2007-02-14",16.700001
"31","2007-02-15",16.1
"32","2007-02-16",16.5
"33","2007-02-20",16
"34","2007-02-21",16.5
"35","2007-02-22",16.6
"36","2007-02-23",16.799999
"37","2007-02-26",16.6
"38","2007-02-27",16.200001
"39","2007-02-28",16.5
"40","2007-03-01",16.6
"41","2007-03-02",16.5
"42","2007-03-05",16.5
"43","2007-03-06",16.5
"44","2007-03-07",16.200001
"45","2007-03-08",16.700001
"46","2007-03-09",16.799999
"47","2007-03-12",17.200001
"48","2007-03-13",16.799999
"49","2007-03-14",17
"50","2007-03-15",16.9
"51","2007-03-16",17
"52","2007-03-19",16.9
"53","2007-03-20",17
"54","2007-03-21",17.1
"55","2007-03-22",17
"56","2007-03-23",16.9
"57","2007-03-26",17
"58","2007-03-27",17
"59","2007-03-28",16.9
"60","2007-03-29",16.799999
"61","2007-03-30",16.6
"62","2007-04-02",16.9
"63","2007-04-03",16.700001
"64","2007-04-04",16.9
"65","2007-04-05",17
"66","2007-04-09",16.700001
"67","2007-04-10",16.9
"68","2007-04-11",16.799999
"69","2007-04-12",17
"70","2007-04-13",18.200001
"71","2007-04-16",20.5
"72","2007-04-17",20.9
"73","2007-04-18",19.799999
"74","2007-04-19",21.1
"75","2007-04-20",21.200001
"76","2007-04-23",21.5
"77","2007-04-24",20.9
"78","2007-04-25",21.299999
"79","2007-04-26",21.299999
"80","2007-04-27",21.1
"81","2007-04-30",21.200001
"82","2007-05-01",21.299999
"83","2007-05-02",23.6
"84","2007-05-03",22.5
"85","2007-05-04",22.5
"86","2007-05-07",21.700001
"87","2007-05-08",23.9
"88","2007-05-09",23.700001
"89","2007-05-10",23
"90","2007-05-11",23
"91","2007-05-14",22.5
"92","2007-05-15",21.5
"93","2007-05-16",22.4
"94","2007-05-17",21.799999
"95","2007-05-18",21.4
"96","2007-05-21",20.799999
"97","2007-05-22",21.4
"98","2007-05-23",21.1
"99","2007-05-24",21.200001
"100","2007-05-25",21.200001
"101","2007-05-29",21.799999
"102","2007-05-30",21
"103","2007-05-31",22.200001
"104","2007-06-01",21.700001
"105","2007-06-04",21.799999
"106","2007-06-05",21.6
"107","2007-06-06",20.700001
"108","2007-06-07",21
"109","2007-06-08",20.700001
"110","2007-06-11",20.1
"111","2007-06-12",20.200001
"112","2007-06-13",21.4
"113","2007-06-14",22.4
"114","2007-06-15",23.200001
"115","2007-06-18",23.4
"116","2007-06-19",23.5
"117","2007-06-20",23.6
"118","2007-06-21",23.700001
"119","2007-06-22",24.299999
"120","2007-06-25",25.4
"121","2007-06-26",25
"122","2007-06-27",24.1
"123","2007-06-28",23.700001
"124","2007-06-29",23.299999
"125","2007-07-02",24.1
"126","2007-07-03",24.9
"127","2007-07-05",25
"128","2007-07-06",26.5
"129","2007-07-09",27.9
"130","2007-07-10",29
"131","2007-07-11",28.9
"132","2007-07-12",28.6
"133","2007-07-13",25.9
"134","2007-07-16",26.6
"135","2007-07-17",27
"136","2007-07-18",27
"137","2007-07-19",27
"138","2007-07-20",26.200001
"139","2007-07-23",26.1
"140","2007-07-24",22.9
"141","2007-07-25",21.1
"142","2007-07-26",22.200001
"143","2007-07-27",21.6
"144","2007-07-30",20.4
"145","2007-07-31",18.799999
"146","2007-08-01",19.1
"147","2007-08-02",21.799999
"148","2007-08-03",21
"149","2007-08-06",21.1
"150","2007-08-07",20.700001
"151","2007-08-08",22.200001
"152","2007-08-09",20.799999
"153","2007-08-10",20
"154","2007-08-13",20
"155","2007-08-14",21
"156","2007-08-15",20.299999
"157","2007-08-16",20.299999
"158","2007-08-17",20.700001
"159","2007-08-20",20.700001
"160","2007-08-21",20.6
"161","2007-08-22",20.6
"162","2007-08-23",21
"163","2007-08-24",20.5
"164","2007-08-27",20.6
"165","2007-08-28",20.5
"166","2007-08-29",20.700001
"167","2007-08-30",20.9
"168","2007-08-31",20.5
"169","2007-09-04",21.5
"170","2007-09-05",22.299999
"171","2007-09-06",21.6
"172","2007-09-07",21.200001
"173","2007-09-10",21.5
"174","2007-09-11",21.200001
"175","2007-09-12",20.799999
"176","2007-09-13",20.9
"177","2007-09-14",20.9
"178","2007-09-17",20.9
"179","2007-09-18",22
"180","2007-09-19",21.1
"181","2007-09-20",21.1
