"","date","BTAI"
"1","2018-03-08",11.03
"2","2018-03-09",11
"3","2018-03-12",10.43
"4","2018-03-13",10.31
"5","2018-03-14",10.47
"6","2018-03-15",10.85
"7","2018-03-16",10.87
"8","2018-03-19",10.25
"9","2018-03-20",10.25
"10","2018-03-21",10.41
"11","2018-03-22",10.25
"12","2018-03-23",10.31
"13","2018-03-26",10.46
"14","2018-03-27",9.99
"15","2018-03-28",9.83
"16","2018-03-29",10.24
"17","2018-04-02",10.84
"18","2018-04-03",10.59
"19","2018-04-04",10.5
"20","2018-04-05",11.06
"21","2018-04-06",11.05
"22","2018-04-09",10.17
"23","2018-04-10",9.79
"24","2018-04-11",8.94
"25","2018-04-12",8.94
"26","2018-04-13",9.23
"27","2018-04-16",9.26
"28","2018-04-17",8.95
"29","2018-04-18",8.82
"30","2018-04-19",8.86
"31","2018-04-20",9.28
"32","2018-04-23",9.04
"33","2018-04-24",7.54
"34","2018-04-25",7.63
"35","2018-04-26",7.75
"36","2018-04-27",7.5
"37","2018-04-30",7.6
"38","2018-05-01",7.47
"39","2018-05-02",7.02
"40","2018-05-03",8.4
"41","2018-05-04",7.7
"42","2018-05-07",8.105
"43","2018-05-08",8.15
"44","2018-05-09",8.8
"45","2018-05-10",9.93
"46","2018-05-11",9.99
"47","2018-05-14",9.5
"48","2018-05-15",9.8
"49","2018-05-16",9.99
"50","2018-05-17",10.54
"51","2018-05-18",10.35
"52","2018-05-21",10.79
"53","2018-05-22",11.18
"54","2018-05-23",10.54
"55","2018-05-24",10.9
"56","2018-05-25",10.81
"57","2018-05-29",11.26
"58","2018-05-30",11.23
"59","2018-05-31",10.99
"60","2018-06-01",11.13
"61","2018-06-04",10.98
"62","2018-06-05",10.76
"63","2018-06-06",10.81
"64","2018-06-07",10.86
"65","2018-06-08",10.35
"66","2018-06-11",10.72
"67","2018-06-12",9.87
"68","2018-06-13",9.8
"69","2018-06-14",9.89
"70","2018-06-15",8.5
"71","2018-06-18",8.85
"72","2018-06-19",8.68
"73","2018-06-20",9.03
"74","2018-06-21",9.08
"75","2018-06-22",8.76
"76","2018-06-25",9.1
"77","2018-06-26",9.21
"78","2018-06-27",9.03
"79","2018-06-28",9.08
"80","2018-06-29",9.2
"81","2018-07-02",9.18
"82","2018-07-03",9.05
"83","2018-07-05",9.3
"84","2018-07-06",9.83
"85","2018-07-09",11.03
"86","2018-07-10",12.99
"87","2018-07-11",11.85
"88","2018-07-12",11.7
"89","2018-07-13",10.94
"90","2018-07-16",11.41
"91","2018-07-17",11.74
"92","2018-07-18",11.01
"93","2018-07-19",10.76
"94","2018-07-20",10.32
"95","2018-07-23",10.24
"96","2018-07-24",9.1
"97","2018-07-25",10.09
"98","2018-07-26",10.28
"99","2018-07-27",9.5
"100","2018-07-30",9.49
"101","2018-07-31",10.05
"102","2018-08-01",10.225
"103","2018-08-02",10.765
"104","2018-08-03",10.116
"105","2018-08-06",10.13
"106","2018-08-07",10.18
"107","2018-08-08",9.7
"108","2018-08-09",10
"109","2018-08-10",9.25
"110","2018-08-13",9.2
"111","2018-08-14",8.6
"112","2018-08-15",8.51
"113","2018-08-16",8.19
"114","2018-08-17",8.14
"115","2018-08-20",8.04
"116","2018-08-21",7.94
"117","2018-08-22",7.85
"118","2018-08-23",7.71
"119","2018-08-24",7.973
"120","2018-08-27",8.45
"121","2018-08-28",8.25
"122","2018-08-29",8.96
"123","2018-08-30",9.29
"124","2018-08-31",9.2
"125","2018-09-04",9.88
"126","2018-09-05",9.55
"127","2018-09-06",9.1
"128","2018-09-07",9.31
"129","2018-09-10",9.16
"130","2018-09-11",8.8
"131","2018-09-12",8.66
"132","2018-09-13",8.15
"133","2018-09-14",8.25
"134","2018-09-17",8.09
"135","2018-09-18",8.06
"136","2018-09-19",7.59
"137","2018-09-20",7.51
"138","2018-09-21",7.54
"139","2018-09-24",7.6
"140","2018-09-25",7.71
"141","2018-09-26",7.74
"142","2018-09-27",7.74
"143","2018-09-28",7.66
"144","2018-10-01",7.61
"145","2018-10-02",7.58
"146","2018-10-03",7.59
"147","2018-10-04",7.45
"148","2018-10-05",7.28
"149","2018-10-08",6.85
"150","2018-10-09",6.76
"151","2018-10-10",5.9
"152","2018-10-11",5.85
"153","2018-10-12",6.24
"154","2018-10-15",6.36
"155","2018-10-16",6.25
"156","2018-10-17",6.56
"157","2018-10-18",6.334
"158","2018-10-19",6.27
"159","2018-10-22",5.66
"160","2018-10-23",5.798
