"","date","USB"
"1","2007-01-03",36.169998
"2","2007-01-04",36.200001
"3","2007-01-05",35.77
"4","2007-01-08",35.650002
"5","2007-01-09",35.630001
"6","2007-01-10",35.610001
"7","2007-01-11",35.509998
"8","2007-01-12",35.549999
"9","2007-01-16",35.75
"10","2007-01-17",35.759998
"11","2007-01-18",35.57
"12","2007-01-19",35.459999
"13","2007-01-22",35.290001
"14","2007-01-23",35.400002
"15","2007-01-24",35.52
"16","2007-01-25",35.27
"17","2007-01-26",35.540001
"18","2007-01-29",35.380001
"19","2007-01-30",35.330002
"20","2007-01-31",35.599998
"21","2007-02-01",35.59
"22","2007-02-02",35.810001
"23","2007-02-05",35.720001
"24","2007-02-06",36.02
"25","2007-02-07",36.009998
"26","2007-02-08",35.93
"27","2007-02-09",35.84
"28","2007-02-12",36.02
"29","2007-02-13",36.25
"30","2007-02-14",36.200001
"31","2007-02-15",36.349998
"32","2007-02-16",36.619999
"33","2007-02-20",36.68
"34","2007-02-21",36.630001
"35","2007-02-22",36.639999
"36","2007-02-23",36.549999
"37","2007-02-26",36.439999
"38","2007-02-27",35.610001
"39","2007-02-28",35.66
"40","2007-03-01",35.57
"41","2007-03-02",35.389999
"42","2007-03-05",35.139999
"43","2007-03-06",35.610001
"44","2007-03-07",35.470001
"45","2007-03-08",35.549999
"46","2007-03-09",35.529999
"47","2007-03-12",35.66
"48","2007-03-13",35
"49","2007-03-14",34.900002
"50","2007-03-15",35.200001
"51","2007-03-16",35.099998
"52","2007-03-19",35.419998
"53","2007-03-20",35.580002
"54","2007-03-21",36.029999
"55","2007-03-22",36
"56","2007-03-23",35.91
"57","2007-03-26",36.009998
"58","2007-03-27",35.599998
"59","2007-03-28",34.77
"60","2007-03-29",35.009998
"61","2007-03-30",34.970001
"62","2007-04-02",34.669998
"63","2007-04-03",35.029999
"64","2007-04-04",34.700001
"65","2007-04-05",34.720001
"66","2007-04-09",34.68
"67","2007-04-10",34.799999
"68","2007-04-11",34.48
"69","2007-04-12",34.41
"70","2007-04-13",34.470001
"71","2007-04-16",34.900002
"72","2007-04-17",34.560001
"73","2007-04-18",34.400002
"74","2007-04-19",34.330002
"75","2007-04-20",34.549999
"76","2007-04-23",34.34
"77","2007-04-24",34.130001
"78","2007-04-25",34.57
"79","2007-04-26",34.549999
"80","2007-04-27",34.549999
"81","2007-04-30",34.349998
"82","2007-05-01",34.389999
"83","2007-05-02",34.5
"84","2007-05-03",34.349998
"85","2007-05-04",34.490002
"86","2007-05-07",34.619999
"87","2007-05-08",34.630001
"88","2007-05-09",34.810001
"89","2007-05-10",34.400002
"90","2007-05-11",34.66
"91","2007-05-14",34.41
"92","2007-05-15",34.540001
"93","2007-05-16",34.580002
"94","2007-05-17",34.540001
"95","2007-05-18",34.779999
"96","2007-05-21",34.580002
"97","2007-05-22",34.419998
"98","2007-05-23",34.369999
"99","2007-05-24",34.18
"100","2007-05-25",34.389999
"101","2007-05-29",34.470001
"102","2007-05-30",34.709999
"103","2007-05-31",34.580002
"104","2007-06-01",34.630001
"105","2007-06-04",34.509998
"106","2007-06-05",34.5
"107","2007-06-06",34.310001
