"","date","STX"
"1","2007-01-03",26.07
"2","2007-01-04",26.4
"3","2007-01-05",26.01
"4","2007-01-08",25.860001
"5","2007-01-09",26.68
"6","2007-01-10",26.809999
"7","2007-01-11",26.809999
"8","2007-01-12",26.82
"9","2007-01-16",26.969999
"10","2007-01-17",27.379999
"11","2007-01-18",26.290001
"12","2007-01-19",25.950001
"13","2007-01-22",26.48
"14","2007-01-23",26.18
"15","2007-01-24",28.35
"16","2007-01-25",27.709999
"17","2007-01-26",27.35
"18","2007-01-29",27.459999
"19","2007-01-30",27.610001
"20","2007-01-31",27.09
"21","2007-02-01",26.75
"22","2007-02-02",26.34
"23","2007-02-05",26.4
"24","2007-02-06",26.08
"25","2007-02-07",26.34
"26","2007-02-08",26.33
"27","2007-02-09",26.059999
"28","2007-02-12",26.030001
"29","2007-02-13",26.07
"30","2007-02-14",26.6
"31","2007-02-15",26.66
"32","2007-02-16",26.540001
"33","2007-02-20",26.83
"34","2007-02-21",27.040001
"35","2007-02-22",27.530001
"36","2007-02-23",28
"37","2007-02-26",28.16
"38","2007-02-27",26.610001
"39","2007-02-28",26.9
"40","2007-03-01",26.43
"41","2007-03-02",24.639999
"42","2007-03-05",24.629999
"43","2007-03-06",24.790001
"44","2007-03-07",24.700001
"45","2007-03-08",24.299999
"46","2007-03-09",24.26
"47","2007-03-12",24.639999
"48","2007-03-13",24.049999
"49","2007-03-14",24.32
"50","2007-03-15",24.6
"51","2007-03-16",24.450001
"52","2007-03-19",24.48
"53","2007-03-20",24.620001
"54","2007-03-21",25.25
"55","2007-03-22",25.110001
"56","2007-03-23",25.040001
"57","2007-03-26",24.77
"58","2007-03-27",24.51
"59","2007-03-28",23.799999
"60","2007-03-29",23.42
"61","2007-03-30",23.299999
"62","2007-04-02",22.93
"63","2007-04-03",23.23
"64","2007-04-04",22.860001
"65","2007-04-05",23.27
"66","2007-04-09",23.459999
"67","2007-04-10",22
"68","2007-04-11",21.5
"69","2007-04-12",21.74
"70","2007-04-13",22.01
"71","2007-04-16",22.540001
"72","2007-04-17",22.15
"73","2007-04-18",21.299999
"74","2007-04-19",21.33
"75","2007-04-20",21.58
"76","2007-04-23",21.549999
"77","2007-04-24",22.09
"78","2007-04-25",22.07
"79","2007-04-26",22.450001
"80","2007-04-27",22.1
"81","2007-04-30",22.15
"82","2007-05-01",21.6
"83","2007-05-02",21.65
"84","2007-05-03",22.18
"85","2007-05-04",22.07
"86","2007-05-07",22.34
"87","2007-05-08",22.5
"88","2007-05-09",22.280001
"89","2007-05-10",21.700001
"90","2007-05-11",22.110001
"91","2007-05-14",21.709999
"92","2007-05-15",21.43
"93","2007-05-16",21.280001
"94","2007-05-17",20.709999
"95","2007-05-18",20.879999
"96","2007-05-21",20.860001
"97","2007-05-22",21.35
"98","2007-05-23",21.15
"99","2007-05-24",20.690001
"100","2007-05-25",20.299999
"101","2007-05-29",20.76
"102","2007-05-30",20.690001
"103","2007-05-31",20.59
"104","2007-06-01",20.73
"105","2007-06-04",20.75
"106","2007-06-05",20.4
"107","2007-06-06",20.58
"108","2007-06-07",20.360001
"109","2007-06-08",20.9
"110","2007-06-11",20.860001
"111","2007-06-12",20.83
"112","2007-06-13",20.700001
"113","2007-06-14",20.77
"114","2007-06-15",20.959999
"115","2007-06-18",21.01
"116","2007-06-19",21.67
"117","2007-06-20",21.379999
"118","2007-06-21",22.23
"119","2007-06-22",22.190001
"120","2007-06-25",21.83
"121","2007-06-26",22
"122","2007-06-27",22.309999
"123","2007-06-28",21.549999
"124","2007-06-29",21.77
"125","2007-07-02",22.34
"126","2007-07-03",22.74
"127","2007-07-05",23.120001
"128","2007-07-06",23.57
"129","2007-07-09",23.52
"130","2007-07-10",23
"131","2007-07-11",22.68
"132","2007-07-12",23.049999
"133","2007-07-13",22.799999
"134","2007-07-16",22.780001
"135","2007-07-17",23.200001
"136","2007-07-18",23.41
"137","2007-07-19",24.120001
"138","2007-07-20",24.629999
"139","2007-07-23",24.879999
"140","2007-07-24",24.33
"141","2007-07-25",24.959999
"142","2007-07-26",24.610001
"143","2007-07-27",23.809999
"144","2007-07-30",24.16
"145","2007-07-31",23.51
"146","2007-08-01",23.780001
"147","2007-08-02",24.15
"148","2007-08-03",23.48
"149","2007-08-06",23.93
"150","2007-08-07",23
"151","2007-08-08",23.860001
"152","2007-08-09",23.219999
"153","2007-08-10",23.85
"154","2007-08-13",24.299999
"155","2007-08-14",24.299999
"156","2007-08-15",23.360001
"157","2007-08-16",22.67
"158","2007-08-17",23.75
"159","2007-08-20",24.23
"160","2007-08-21",24.25
"161","2007-08-22",24.469999
"162","2007-08-23",24.700001
"163","2007-08-24",24.959999
"164","2007-08-27",24.889999
"165","2007-08-28",24.459999
"166","2007-08-29",25.389999
"167","2007-08-30",25.4
"168","2007-08-31",25.82
"169","2007-09-04",25.950001
"170","2007-09-05",25.48
"171","2007-09-06",25.99
"172","2007-09-07",25.139999
"173","2007-09-10",24.85
"174","2007-09-11",25.41
"175","2007-09-12",24.690001
"176","2007-09-13",24.76
"177","2007-09-14",24.67
"178","2007-09-17",24.66
"179","2007-09-18",25.030001
"180","2007-09-19",25.41
"181","2007-09-20",25.4
"182","2007-09-21",25.379999
"183","2007-09-24",25.91
"184","2007-09-25",26.559999
"185","2007-09-26",26.35
"186","2007-09-27",25.76
"187","2007-09-28",25.58
"188","2007-10-01",26.629999
"189","2007-10-02",26.66
