"","date","MGTX"
"1","2018-06-08",15
"2","2018-06-11",15
"3","2018-06-12",14.57
"4","2018-06-13",14.505
"5","2018-06-14",14.5
"6","2018-06-15",14.45
"7","2018-06-18",14.45
"8","2018-06-19",14.54
"9","2018-06-20",14.36
"10","2018-06-21",12.79
"11","2018-06-22",11.9
"12","2018-06-25",11.88
"13","2018-06-26",12.07
"14","2018-06-27",11.91
"15","2018-06-28",11.2
"16","2018-06-29",11.46
"17","2018-07-02",11.58
"18","2018-07-03",12.17
"19","2018-07-05",12.17
"20","2018-07-06",12.83
"21","2018-07-09",12.5
"22","2018-07-10",12.41
"23","2018-07-11",11.61
"24","2018-07-12",11.69
"25","2018-07-13",10.53
"26","2018-07-16",10.74
"27","2018-07-17",10.57
"28","2018-07-18",10.44
"29","2018-07-19",10.53
"30","2018-07-20",10.08
"31","2018-07-23",10.2
"32","2018-07-24",9.4
"33","2018-07-25",8.3
"34","2018-07-26",8.1
"35","2018-07-27",8.75
"36","2018-07-30",8.75
"37","2018-07-31",9.21
"38","2018-08-01",8.93
"39","2018-08-02",8.97
"40","2018-08-03",8.91
"41","2018-08-06",8.58
"42","2018-08-07",8.5
"43","2018-08-08",8.58
"44","2018-08-09",9.17
"45","2018-08-10",8.75
"46","2018-08-13",9.03
"47","2018-08-14",8.66
"48","2018-08-15",8.84
"49","2018-08-16",9.4
"50","2018-08-17",9.29
"51","2018-08-20",9.15
"52","2018-08-21",10.01
"53","2018-08-22",10.8
"54","2018-08-23",11.51
"55","2018-08-24",11.25
"56","2018-08-27",11.66
"57","2018-08-28",11.43
"58","2018-08-29",11.38
"59","2018-08-30",11.69
"60","2018-08-31",11.64
"61","2018-09-04",12.32
"62","2018-09-05",12.29
"63","2018-09-06",11.83
"64","2018-09-07",11.96
"65","2018-09-10",12.04
"66","2018-09-11",11.6
"67","2018-09-12",11.32
"68","2018-09-13",11.29
"69","2018-09-14",11.64
"70","2018-09-17",11.45
"71","2018-09-18",11.6
"72","2018-09-19",11.76
"73","2018-09-20",12.05
"74","2018-09-21",13.05
"75","2018-09-24",13.26
"76","2018-09-25",12.81
"77","2018-09-26",12.81
"78","2018-09-27",13.3
"79","2018-09-28",13.6
"80","2018-10-01",13.39
"81","2018-10-02",13.37
"82","2018-10-03",13.48
"83","2018-10-04",13.02
"84","2018-10-05",13.29
"85","2018-10-08",13.26
"86","2018-10-09",13.35
"87","2018-10-10",13.11
"88","2018-10-11",13.43
"89","2018-10-12",13.37
"90","2018-10-15",14
"91","2018-10-16",13.99
"92","2018-10-17",13.43
"93","2018-10-18",13.78
"94","2018-10-19",13.26
"95","2018-10-22",13.01
"96","2018-10-23",13.2
"97","2018-10-24",13
"98","2018-10-25",13.39
"99","2018-10-26",13.05
"100","2018-10-29",13.07
"101","2018-10-30",13.18
