"","date","STCN"
"1","2007-01-03",13.6
"2","2007-01-04",13.7
"3","2007-01-05",13.1
"4","2007-01-08",13.7
"5","2007-01-09",13.4
"6","2007-01-10",13.4
"7","2007-01-11",13.5
"8","2007-01-12",13.7
"9","2007-01-16",13.4
"10","2007-01-17",13.2
"11","2007-01-18",12.9
"12","2007-01-19",13
"13","2007-01-22",12.5
"14","2007-01-23",12.5
"15","2007-01-24",12.9
"16","2007-01-25",12.7
"17","2007-01-26",12.7
"18","2007-01-29",12.7
"19","2007-01-30",12.7
"20","2007-01-31",12.7
"21","2007-02-01",12.7
"22","2007-02-02",12.7
"23","2007-02-05",12.6
"24","2007-02-06",12.4
"25","2007-02-07",12.4
"26","2007-02-08",13.9
"27","2007-02-09",13.3
"28","2007-02-12",13.2
"29","2007-02-13",13.6
"30","2007-02-14",13.6
"31","2007-02-15",13.3
"32","2007-02-16",13.7
"33","2007-02-20",13.9
"34","2007-02-21",14.4
"35","2007-02-22",15.4
"36","2007-02-23",15.5
"37","2007-02-26",15.5
"38","2007-02-27",13.8
"39","2007-02-28",15.4
"40","2007-03-01",16.700001
"41","2007-03-02",16.6
"42","2007-03-05",16
"43","2007-03-06",16.200001
"44","2007-03-07",15.9
"45","2007-03-08",15.9
"46","2007-03-09",17
"47","2007-03-12",17.799999
"48","2007-03-13",17.6
"49","2007-03-14",18
"50","2007-03-15",19.200001
"51","2007-03-16",18.799999
"52","2007-03-19",18.299999
"53","2007-03-20",18.5
"54","2007-03-21",19.200001
"55","2007-03-22",21.799999
"56","2007-03-23",22
"57","2007-03-26",24.9
"58","2007-03-27",24.200001
"59","2007-03-28",22.799999
"60","2007-03-29",22.6
"61","2007-03-30",21.200001
"62","2007-04-02",21.6
"63","2007-04-03",22.5
"64","2007-04-04",22
"65","2007-04-05",22.799999
"66","2007-04-09",22.200001
"67","2007-04-10",21.9
"68","2007-04-11",21.299999
"69","2007-04-12",22
"70","2007-04-13",22
"71","2007-04-16",22.700001
"72","2007-04-17",22.299999
"73","2007-04-18",22
"74","2007-04-19",21.700001
"75","2007-04-20",21.5
"76","2007-04-23",21.700001
"77","2007-04-24",21.4
"78","2007-04-25",21.1
"79","2007-04-26",21.5
"80","2007-04-27",21.200001
"81","2007-04-30",21
"82","2007-05-01",21.1
"83","2007-05-02",22.4
"84","2007-05-03",22
"85","2007-05-04",22.4
"86","2007-05-07",22.799999
"87","2007-05-08",23.9
"88","2007-05-09",24.1
"89","2007-05-10",23.9
"90","2007-05-11",24.200001
"91","2007-05-14",24.4
"92","2007-05-15",23.799999
"93","2007-05-16",22.6
"94","2007-05-17",22.9
"95","2007-05-18",22.700001
"96","2007-05-21",23
"97","2007-05-22",24.200001
"98","2007-05-23",23.799999
"99","2007-05-24",23.799999
"100","2007-05-25",23.799999
"101","2007-05-29",24
"102","2007-05-30",25
"103","2007-05-31",25
"104","2007-06-01",25.799999
"105","2007-06-04",24.799999
"106","2007-06-05",22
"107","2007-06-06",22.4
"108","2007-06-07",21.4
"109","2007-06-08",21.200001
"110","2007-06-11",20.6
"111","2007-06-12",19.299999
"112","2007-06-13",20.4
"113","2007-06-14",20.200001
"114","2007-06-15",20.1
"115","2007-06-18",19.9
"116","2007-06-19",19.9
"117","2007-06-20",19.9
"118","2007-06-21",19.4
"119","2007-06-22",18.9
"120","2007-06-25",18.299999
"121","2007-06-26",18.6
"122","2007-06-27",18.700001
"123","2007-06-28",19.299999
"124","2007-06-29",19.5
"125","2007-07-02",19.6
"126","2007-07-03",19.700001
"127","2007-07-05",19.6
"128","2007-07-06",19.5
"129","2007-07-09",19.6
"130","2007-07-10",18.799999
"131","2007-07-11",18.799999
"132","2007-07-12",18.6
"133","2007-07-13",18.9
"134","2007-07-16",18.6
"135","2007-07-17",18.299999
"136","2007-07-18",18.1
"137","2007-07-19",18.5
"138","2007-07-20",18.1
"139","2007-07-23",17.799999
"140","2007-07-24",17
"141","2007-07-25",16
"142","2007-07-26",16.1
"143","2007-07-27",16.1
"144","2007-07-30",15.6
"145","2007-07-31",15.8
"146","2007-08-01",15.8
"147","2007-08-02",15.3
"148","2007-08-03",14.2
"149","2007-08-06",14.1
"150","2007-08-07",13.6
"151","2007-08-08",14.6
"152","2007-08-09",13.6
"153","2007-08-10",13.9
"154","2007-08-13",14.3
"155","2007-08-14",13.9
"156","2007-08-15",14.5
"157","2007-08-16",15.4
"158","2007-08-17",15.8
"159","2007-08-20",15.8
"160","2007-08-21",15.7
"161","2007-08-22",16.4
"162","2007-08-23",16.1
"163","2007-08-24",15.9
"164","2007-08-27",15.8
"165","2007-08-28",14.8
"166","2007-08-29",15
"167","2007-08-30",15.1
"168","2007-08-31",15.6
"169","2007-09-04",15.5
"170","2007-09-05",14.8
"171","2007-09-06",14.9
"172","2007-09-07",14.3
"173","2007-09-10",14.1
"174","2007-09-11",15
"175","2007-09-12",14.8
"176","2007-09-13",14.6
"177","2007-09-14",14.6
"178","2007-09-17",14.4
"179","2007-09-18",15
"180","2007-09-19",15.3
"181","2007-09-20",15.6
"182","2007-09-21",16.200001
"183","2007-09-24",15.9
"184","2007-09-25",16
"185","2007-09-26",13.9
"186","2007-09-27",14
"187","2007-09-28",13.6
"188","2007-10-01",14
"189","2007-10-02",13.7
"190","2007-10-03",13.4
"191","2007-10-04",13.5
"192","2007-10-05",14.4
"193","2007-10-08",14.7
"194","2007-10-09",14.4
"195","2007-10-10",14.3
"196","2007-10-11",13.8
"197","2007-10-12",14.3
"198","2007-10-15",14.1
"199","2007-10-16",14
"200","2007-10-17",13.9
"201","2007-10-18",13.8
"202","2007-10-19",13.4
"203","2007-10-22",13.3
"204","2007-10-23",13.2
"205","2007-10-24",13.3
"206","2007-10-25",13.2
"207","2007-10-26",13
"208","2007-10-29",13.3
"209","2007-10-30",13.4
"210","2007-10-31",14.1
"211","2007-11-01",15.1
"212","2007-11-02",13.44
"213","2007-11-05",12.22
"214","2007-11-06",13.43
"215","2007-11-07",12.36
"216","2007-11-08",12.15
"217","2007-11-09",11.67
"218","2007-11-12",11.43
"219","2007-11-13",12
"220","2007-11-14",11.43
"221","2007-11-15",10.68
"222","2007-11-16",10.49
"223","2007-11-19",9.96
"224","2007-11-20",9.98
"225","2007-11-21",9.68
"226","2007-11-23",10.26
"227","2007-11-26",9.97
