"","date","FENG"
"1","2011-05-16",12.3
"2","2011-05-17",12.13
"3","2011-05-18",12.45
"4","2011-05-19",12.29
"5","2011-05-20",12.5
"6","2011-05-23",11.85
"7","2011-05-24",11.45
"8","2011-05-25",11.31
"9","2011-05-26",11.5
"10","2011-05-27",11.37
"11","2011-05-31",11.51
"12","2011-06-01",11.87
"13","2011-06-02",12.83
"14","2011-06-03",13.3
"15","2011-06-06",13.2
"16","2011-06-07",11.81
"17","2011-06-08",11.55
"18","2011-06-09",11.67
"19","2011-06-10",11.36
"20","2011-06-13",11.21
"21","2011-06-14",11.17
"22","2011-06-15",11.15
"23","2011-06-16",10.27
"24","2011-06-17",9.94
"25","2011-06-20",9.04
"26","2011-06-21",8.76
"27","2011-06-22",9.11
"28","2011-06-23",8.92
"29","2011-06-24",8
"30","2011-06-27",9.1
"31","2011-06-28",9.51
"32","2011-06-29",8.82
"33","2011-06-30",8.97
"34","2011-07-01",9.56
"35","2011-07-05",10.1
"36","2011-07-06",10.13
"37","2011-07-07",10.1
"38","2011-07-08",9.87
"39","2011-07-11",9.16
"40","2011-07-12",9.6
"41","2011-07-13",9.33
"42","2011-07-14",9.38
"43","2011-07-15",9.68
"44","2011-07-18",9.73
"45","2011-07-19",10.18
"46","2011-07-20",10.14
"47","2011-07-21",10
"48","2011-07-22",10.35
"49","2011-07-25",10.7
"50","2011-07-26",10.52
"51","2011-07-27",10.2
"52","2011-07-28",10.41
"53","2011-07-29",10.34
"54","2011-08-01",10.39
"55","2011-08-02",10.29
"56","2011-08-03",9.26
"57","2011-08-04",9.11
"58","2011-08-05",9.12
"59","2011-08-08",8.75
"60","2011-08-09",9.05
"61","2011-08-10",8.55
"62","2011-08-11",8.78
"63","2011-08-12",8.74
"64","2011-08-15",8.97
"65","2011-08-16",9.06
"66","2011-08-17",8.95
"67","2011-08-18",7.4
"68","2011-08-19",7.46
"69","2011-08-22",7.47
"70","2011-08-23",7.4
"71","2011-08-24",7.1
"72","2011-08-25",6.71
"73","2011-08-26",6.65
"74","2011-08-29",6.97
"75","2011-08-30",6.65
"76","2011-08-31",6.62
"77","2011-09-01",6.16
"78","2011-09-02",6
"79","2011-09-06",6
"80","2011-09-07",6.26
"81","2011-09-08",6.2
"82","2011-09-09",5.82
"83","2011-09-12",5.5
"84","2011-09-13",5.8
"85","2011-09-14",5.71
"86","2011-09-15",5.7
"87","2011-09-16",5.7
"88","2011-09-19",5.89
"89","2011-09-20",5.8
"90","2011-09-21",5.73
"91","2011-09-22",5.1
"92","2011-09-23",4.9
"93","2011-09-26",4.95
"94","2011-09-27",5.28
"95","2011-09-28",5.38
"96","2011-09-29",5.5
"97","2011-09-30",5.68
"98","2011-10-03",5.71
"99","2011-10-04",5.2
"100","2011-10-05",5.22
"101","2011-10-06",5.5
"102","2011-10-07",5
"103","2011-10-10",4.31
"104","2011-10-11",4.6
"105","2011-10-12",4.63
"106","2011-10-13",4.77
"107","2011-10-14",4.6
"108","2011-10-17",4.41
"109","2011-10-18",4.48
"110","2011-10-19",4.42
"111","2011-10-20",4.66
"112","2011-10-21",4.85
"113","2011-10-24",4.81
"114","2011-10-25",4.6
"115","2011-10-26",4.7
"116","2011-10-27",5.14
"117","2011-10-28",5.24
"118","2011-10-31",5.2
"119","2011-11-01",4.88
"120","2011-11-02",5.24
"121","2011-11-03",5.11
"122","2011-11-04",4.7
"123","2011-11-07",5.01
"124","2011-11-08",5.2
"125","2011-11-09",5.11
"126","2011-11-10",5.01
"127","2011-11-11",5.09
"128","2011-11-14",5.06
"129","2011-11-15",5.12
"130","2011-11-16",5.22
"131","2011-11-17",5.34
"132","2011-11-18",5.45
"133","2011-11-21",5.48
"134","2011-11-22",5.88
"135","2011-11-23",5.01
"136","2011-11-25",5.44
"137","2011-11-28",5.58
"138","2011-11-29",5.21
"139","2011-11-30",6.16
"140","2011-12-01",6.5
"141","2011-12-02",6.36
"142","2011-12-05",7.13
"143","2011-12-06",7.13
"144","2011-12-07",6.57
"145","2011-12-08",6.12
"146","2011-12-09",6.21
"147","2011-12-12",5.81
"148","2011-12-13",5.99
"149","2011-12-14",5.93
"150","2011-12-15",5.47
"151","2011-12-16",5.78
"152","2011-12-19",5.31
"153","2011-12-20",5.46
"154","2011-12-21",5.42
"155","2011-12-22",5.46
"156","2011-12-23",5.49
"157","2011-12-27",5.43
"158","2011-12-28",5.29
"159","2011-12-29",5.58
"160","2011-12-30",5.63
"161","2012-01-03",5.77
"162","2012-01-04",5.58
"163","2012-01-05",5.85
"164","2012-01-06",5.72
"165","2012-01-09",5.9
"166","2012-01-10",6.11
"167","2012-01-11",6.18
"168","2012-01-12",6.25
"169","2012-01-13",6.15
"170","2012-01-17",6.3
"171","2012-01-18",6.34
"172","2012-01-19",6.34
"173","2012-01-20",6.33
"174","2012-01-23",6.53
"175","2012-01-24",6.59
"176","2012-01-25",6.63
"177","2012-01-26",6.88
"178","2012-01-27",7.04
