"","date","SCHW"
"1","2007-01-03",19.76
"2","2007-01-04",19.610001
"3","2007-01-05",19.200001
"4","2007-01-08",19.440001
"5","2007-01-09",19.75
"6","2007-01-10",19.969999
"7","2007-01-11",20.280001
"8","2007-01-12",20.35
"9","2007-01-16",20.18
"10","2007-01-17",19.690001
"11","2007-01-18",19.190001
"12","2007-01-19",19.049999
"13","2007-01-22",18.9
"14","2007-01-23",18.84
"15","2007-01-24",18.91
"16","2007-01-25",18.35
"17","2007-01-26",18.780001
"18","2007-01-29",18.049999
"19","2007-01-30",18.43
"20","2007-01-31",18.92
"21","2007-02-01",19.24
"22","2007-02-02",19.33
"23","2007-02-05",19.4
"24","2007-02-06",19.190001
"25","2007-02-07",19.370001
"26","2007-02-08",19.35
"27","2007-02-09",18.700001
"28","2007-02-12",18.790001
"29","2007-02-13",18.790001
"30","2007-02-14",19.299999
"31","2007-02-15",19.530001
"32","2007-02-16",19.530001
"33","2007-02-20",19.559999
"34","2007-02-21",19.690001
"35","2007-02-22",19.75
"36","2007-02-23",19.23
"37","2007-02-26",18.870001
"38","2007-02-27",18.360001
"39","2007-02-28",18.48
"40","2007-03-01",18.27
"41","2007-03-02",18.110001
"42","2007-03-05",17.76
"43","2007-03-06",18.040001
"44","2007-03-07",17.99
"45","2007-03-08",18.18
"46","2007-03-09",18.4
"47","2007-03-12",18.459999
"48","2007-03-13",17.92
"49","2007-03-14",18.190001
"50","2007-03-15",18.110001
"51","2007-03-16",17.969999
"52","2007-03-19",18.41
"53","2007-03-20",18.25
"54","2007-03-21",18.700001
"55","2007-03-22",18.6
"56","2007-03-23",19
"57","2007-03-26",18.790001
"58","2007-03-27",18.6
"59","2007-03-28",18.41
"60","2007-03-29",18.360001
"61","2007-03-30",18.290001
"62","2007-04-02",18.549999
"63","2007-04-03",19.02
"64","2007-04-04",19.059999
"65","2007-04-05",19.129999
"66","2007-04-09",19.190001
"67","2007-04-10",19.110001
"68","2007-04-11",18.860001
"69","2007-04-12",18.9
"70","2007-04-13",19.01
"71","2007-04-16",19.51
"72","2007-04-17",19.049999
"73","2007-04-18",19.290001
"74","2007-04-19",19.309999
