"","date","CMD"
"1","2007-01-03",7.111111
"2","2007-01-04",7.106667
"3","2007-01-05",6.942222
"4","2007-01-08",6.911111
"5","2007-01-09",6.875556
"6","2007-01-10",6.84
"7","2007-01-11",6.906667
"8","2007-01-12",6.848889
"9","2007-01-16",7.097778
"10","2007-01-17",7.008889
"11","2007-01-18",7.124444
"12","2007-01-19",7.102222
"13","2007-01-22",7.373333
"14","2007-01-23",7.231111
"15","2007-01-24",7.328889
"16","2007-01-25",7.275556
"17","2007-01-26",7.173333
"18","2007-01-29",7.2
"19","2007-01-30",7.204444
"20","2007-01-31",7.213333
"21","2007-02-01",7.222222
"22","2007-02-02",7.155556
"23","2007-02-05",7.155556
"24","2007-02-06",7.128889
"25","2007-02-07",7.137778
"26","2007-02-08",7.128889
"27","2007-02-09",7.12
"28","2007-02-12",7.137778
"29","2007-02-13",7.235556
"30","2007-02-14",7.351111
"31","2007-02-15",7.493333
"32","2007-02-16",7.515555
"33","2007-02-20",7.377778
"34","2007-02-21",7.266667
"35","2007-02-22",7.28
"36","2007-02-23",7.333333
"37","2007-02-26",7.342222
"38","2007-02-27",6.884444
"39","2007-02-28",6.84
"40","2007-03-01",6.924445
"41","2007-03-02",7.226666
"42","2007-03-05",6.831111
"43","2007-03-06",6.928889
"44","2007-03-07",6.924445
"45","2007-03-08",7.093333
"46","2007-03-09",7.306667
"47","2007-03-12",7.48
"48","2007-03-13",7.217778
"49","2007-03-14",7.128889
"50","2007-03-15",7.222222
"51","2007-03-16",7.195556
"52","2007-03-19",6.982222
"53","2007-03-20",6.911111
"54","2007-03-21",6.951111
"55","2007-03-22",6.977778
"56","2007-03-23",6.955555
"57","2007-03-26",6.937778
"58","2007-03-27",6.915555
"59","2007-03-28",6.888889
"60","2007-03-29",6.92
"61","2007-03-30",6.84
"62","2007-04-02",6.84
"63","2007-04-03",7.244444
"64","2007-04-04",7.262222
"65","2007-04-05",7.262222
"66","2007-04-09",7.466667
"67","2007-04-10",7.395555
"68","2007-04-11",7.466667
"69","2007-04-12",7.497778
"70","2007-04-13",7.515555
"71","2007-04-16",7.84
"72","2007-04-17",7.986667
"73","2007-04-18",8.062222
"74","2007-04-19",8.155556
"75","2007-04-20",8.168889
"76","2007-04-23",8.355556
"77","2007-04-24",8.293333
"78","2007-04-25",8.608889
"79","2007-04-26",8.355556
"80","2007-04-27",8.404445
"81","2007-04-30",8.142222
