"","date","IPDN"
"1","2013-03-05",61.360001
"2","2013-03-06",57.599998
"3","2013-03-07",57.759998
"4","2013-03-08",57.52
"5","2013-03-11",57.52
"6","2013-03-12",57.119999
"7","2013-03-13",57.119999
"8","2013-03-14",54.560001
"9","2013-03-15",56.080002
"10","2013-03-18",53.360001
"11","2013-03-19",53.52
"12","2013-03-20",53.599998
"13","2013-03-21",52.080002
"14","2013-03-22",54.639999
"15","2013-03-25",53.200001
"16","2013-03-26",52.959999
"17","2013-03-27",53.599998
"18","2013-03-28",53.919998
"19","2013-04-01",53.919998
"20","2013-04-02",53.599998
"21","2013-04-03",48.799999
"22","2013-04-04",49.68
"23","2013-04-05",51.68
"24","2013-04-08",48.400002
"25","2013-04-09",48
"26","2013-04-10",46.240002
"27","2013-04-11",46.48
"28","2013-04-12",45.68
"29","2013-04-15",42.799999
"30","2013-04-16",44
"31","2013-04-17",40.080002
"32","2013-04-18",40.720001
"33","2013-04-19",39.919998
"34","2013-04-22",40.16
"35","2013-04-23",37.279999
"36","2013-04-24",36
"37","2013-04-25",32.400002
"38","2013-04-26",31.6
"39","2013-04-29",36.400002
"40","2013-04-30",36
"41","2013-05-01",35.360001
"42","2013-05-02",35.279999
"43","2013-05-03",36.080002
"44","2013-05-06",38.48
"45","2013-05-07",40.16
"46","2013-05-08",39.279999
"47","2013-05-09",39.200001
"48","2013-05-10",39.68
"49","2013-05-13",36.799999
"50","2013-05-14",36.080002
"51","2013-05-15",39.599998
"52","2013-05-16",36
"53","2013-05-17",36.400002
"54","2013-05-20",40.400002
"55","2013-05-21",42.400002
"56","2013-05-22",42.560001
"57","2013-05-23",43.200001
"58","2013-05-24",41.68
"59","2013-05-28",44.400002
"60","2013-05-29",41.759998
"61","2013-05-30",40
"62","2013-05-31",39.200001
"63","2013-06-03",39.84
"64","2013-06-04",36.16
"65","2013-06-05",34.799999
"66","2013-06-06",36.400002
"67","2013-06-07",36.400002
"68","2013-06-10",37.360001
"69","2013-06-11",38.080002
"70","2013-06-12",35.919998
"71","2013-06-13",37.919998
"72","2013-06-14",38.16
"73","2013-06-17",36.799999
"74","2013-06-18",36
"75","2013-06-19",35.599998
"76","2013-06-20",34.240002
"77","2013-06-21",33.68
"78","2013-06-24",32.240002
"79","2013-06-25",31.200001
"80","2013-06-26",32.639999
"81","2013-06-27",32.400002
"82","2013-06-28",33.52
"83","2013-07-01",33.360001
"84","2013-07-02",33.040001
"85","2013-07-03",32.799999
"86","2013-07-05",32.799999
"87","2013-07-08",32.799999
"88","2013-07-09",32.16
"89","2013-07-10",34.080002
"90","2013-07-11",36
"91","2013-07-12",37.040001
"92","2013-07-15",38
"93","2013-07-16",37.200001
"94","2013-07-17",36.799999
"95","2013-07-18",36.799999
"96","2013-07-19",36.799999
"97","2013-07-22",36.799999
"98","2013-07-23",36
"99","2013-07-24",34.400002
"100","2013-07-25",34
"101","2013-07-26",37.52
"102","2013-07-29",37.52
"103","2013-07-30",36.16
"104","2013-07-31",37.439999
"105","2013-08-01",37.279999
"106","2013-08-02",37.360001
"107","2013-08-05",41.279999
"108","2013-08-06",39.52
"109","2013-08-07",39.599998
"110","2013-08-08",40
"111","2013-08-09",40
"112","2013-08-12",41.599998
"113","2013-08-13",39.360001
"114","2013-08-14",39.200001
"115","2013-08-15",42.16
"116","2013-08-16",39.84
"117","2013-08-19",40.639999
"118","2013-08-20",40.16
"119","2013-08-21",39.52
"120","2013-08-22",38.880001
"121","2013-08-23",39.200001
"122","2013-08-26",39.040001
"123","2013-08-27",38
"124","2013-08-28",38
"125","2013-08-29",34.799999
"126","2013-08-30",35.599998
"127","2013-09-03",38
