"","date","RRBI"
"1","2019-05-03",50.25
"2","2019-05-06",48.389999
"3","2019-05-07",48.25
"4","2019-05-08",50.110001
"5","2019-05-09",49.549999
"6","2019-05-10",50.75
"7","2019-05-13",50.689999
"8","2019-05-14",50.490002
"9","2019-05-15",50.529999
"10","2019-05-16",50.599998
"11","2019-05-17",49.759998
"12","2019-05-20",49.939999
"13","2019-05-21",49.720001
"14","2019-05-22",49.759998
"15","2019-05-23",48.200001
"16","2019-05-24",48.439999
"17","2019-05-28",49
"18","2019-05-29",49
"19","2019-05-30",49
"20","2019-05-31",48.779999
"21","2019-06-03",48.970001
"22","2019-06-04",48.009998
"23","2019-06-05",48.060001
"24","2019-06-06",48.400002
"25","2019-06-07",48.259998
"26","2019-06-10",48.305
"27","2019-06-11",48.049999
"28","2019-06-12",49
"29","2019-06-13",48.25
"30","2019-06-14",48.099998
"31","2019-06-17",47.82
"32","2019-06-18",47.860001
"33","2019-06-19",48.049999
"34","2019-06-20",47.82
"35","2019-06-21",47.799999
"36","2019-06-24",47.900002
"37","2019-06-25",48.25
"38","2019-06-26",48.099998
"39","2019-06-27",48
"40","2019-06-28",48.450001
"41","2019-07-01",48.150002
"42","2019-07-02",48.919998
"43","2019-07-03",47.849998
"44","2019-07-05",48.740002
"45","2019-07-08",48.220001
"46","2019-07-09",48.490002
"47","2019-07-10",48.119999
"48","2019-07-11",48.490002
"49","2019-07-12",48.490002
"50","2019-07-15",47.959999
"51","2019-07-16",48.09
"52","2019-07-17",47.82
"53","2019-07-18",48
"54","2019-07-19",48
"55","2019-07-22",48
"56","2019-07-23",48.049999
"57","2019-07-24",48
"58","2019-07-25",47.709999
"59","2019-07-26",47.400002
"60","2019-07-29",48
"61","2019-07-30",47.740002
"62","2019-07-31",47.119999
"63","2019-08-01",47.049999
"64","2019-08-02",47.099998
"65","2019-08-05",46.5
"66","2019-08-06",46.349998
"67","2019-08-07",46.07
"68","2019-08-08",46.259998
"69","2019-08-09",45.862999
"70","2019-08-12",45.16
"71","2019-08-13",46.34
"72","2019-08-14",45.889999
"73","2019-08-15",45.099998
"74","2019-08-16",45.099998
"75","2019-08-19",45.299999
"76","2019-08-20",45.189999
"77","2019-08-21",45.25
"78","2019-08-22",45.25
"79","2019-08-23",45.200001
"80","2019-08-26",45.400002
"81","2019-08-27",44.860001
"82","2019-08-28",45
"83","2019-08-29",44.119999
"84","2019-08-30",42.75
"85","2019-09-03",42.82
"86","2019-09-04",43.799999
"87","2019-09-05",43
"88","2019-09-06",44.099998
"89","2019-09-09",43.625
"90","2019-09-10",43.75
"91","2019-09-11",43.099998
"92","2019-09-12",43.200001
"93","2019-09-13",43.02
