"","date","AXTI"
"1","2007-01-03",4.71
"2","2007-01-04",4.68
"3","2007-01-05",4.58
"4","2007-01-08",4.61
"5","2007-01-09",4.52
"6","2007-01-10",4.52
"7","2007-01-11",4.68
"8","2007-01-12",4.84
"9","2007-01-16",4.87
"10","2007-01-17",4.72
"11","2007-01-18",4.43
"12","2007-01-19",4.7
"13","2007-01-22",4.66
"14","2007-01-23",4.72
"15","2007-01-24",4.71
"16","2007-01-25",4.74
"17","2007-01-26",4.73
"18","2007-01-29",4.77
"19","2007-01-30",4.73
"20","2007-01-31",4.78
"21","2007-02-01",4.86
"22","2007-02-02",4.88
"23","2007-02-05",5.02
"24","2007-02-06",5
"25","2007-02-07",5.02
"26","2007-02-08",5
"27","2007-02-09",4.94
"28","2007-02-12",4.88
"29","2007-02-13",5.05
"30","2007-02-14",5.12
"31","2007-02-15",5.31
"32","2007-02-16",5.3
"33","2007-02-20",5.34
"34","2007-02-21",5.33
"35","2007-02-22",5.13
"36","2007-02-23",5.18
"37","2007-02-26",5.23
"38","2007-02-27",4.92
"39","2007-02-28",4.91
"40","2007-03-01",4.72
"41","2007-03-02",4.77
"42","2007-03-05",4.81
"43","2007-03-06",4.93
"44","2007-03-07",4.88
"45","2007-03-08",4.87
"46","2007-03-09",5.02
"47","2007-03-12",5.16
"48","2007-03-13",5.2
"49","2007-03-14",5.09
"50","2007-03-15",4.99
"51","2007-03-16",5.03
"52","2007-03-19",5.11
"53","2007-03-20",5.06
"54","2007-03-21",5.03
"55","2007-03-22",5.11
"56","2007-03-23",5.08
"57","2007-03-26",5.12
"58","2007-03-27",5.1
"59","2007-03-28",4.94
"60","2007-03-29",4.95
"61","2007-03-30",4.79
"62","2007-04-02",4.95
"63","2007-04-03",5.05
"64","2007-04-04",4.84
"65","2007-04-05",4.6
"66","2007-04-09",4.45
"67","2007-04-10",4.34
"68","2007-04-11",4.26
"69","2007-04-12",4.23
"70","2007-04-13",4.21
"71","2007-04-16",3.97
"72","2007-04-17",3.89
"73","2007-04-18",3.93
"74","2007-04-19",3.95
"75","2007-04-20",4.02
"76","2007-04-23",3.96
"77","2007-04-24",4
"78","2007-04-25",4
"79","2007-04-26",4.09
"80","2007-04-27",3.98
"81","2007-04-30",4.01
"82","2007-05-01",3.88
"83","2007-05-02",3.83
"84","2007-05-03",4.15
"85","2007-05-04",4.09
"86","2007-05-07",4.05
"87","2007-05-08",3.99
"88","2007-05-09",3.95
"89","2007-05-10",3.91
"90","2007-05-11",3.99
"91","2007-05-14",4.02
"92","2007-05-15",4.01
"93","2007-05-16",3.93
"94","2007-05-17",3.89
"95","2007-05-18",3.81
"96","2007-05-21",3.8
"97","2007-05-22",3.81
"98","2007-05-23",3.9
"99","2007-05-24",3.77
"100","2007-05-25",3.85
"101","2007-05-29",3.79
"102","2007-05-30",3.77
"103","2007-05-31",3.85
"104","2007-06-01",3.95
"105","2007-06-04",4.06
"106","2007-06-05",4.1
"107","2007-06-06",4.14
"108","2007-06-07",4.12
"109","2007-06-08",4.14
"110","2007-06-11",4.08
"111","2007-06-12",4.04
"112","2007-06-13",4.05
"113","2007-06-14",4.07
"114","2007-06-15",4.12
"115","2007-06-18",4.1
"116","2007-06-19",4.13
"117","2007-06-20",4.15
"118","2007-06-21",4.12
"119","2007-06-22",4.03
"120","2007-06-25",4.06
"121","2007-06-26",4.09
"122","2007-06-27",4.24
"123","2007-06-28",4.19
"124","2007-06-29",4.33
"125","2007-07-02",4.39
"126","2007-07-03",4.43
"127","2007-07-05",4.58
"128","2007-07-06",4.77
"129","2007-07-09",4.7
"130","2007-07-10",4.63
"131","2007-07-11",4.72
"132","2007-07-12",4.72
"133","2007-07-13",4.74
"134","2007-07-16",4.67
"135","2007-07-17",4.73
"136","2007-07-18",4.75
"137","2007-07-19",4.78
"138","2007-07-20",4.72
"139","2007-07-23",4.68
"140","2007-07-24",4.71
"141","2007-07-25",4.7
"142","2007-07-26",4.71
"143","2007-07-27",4.71
"144","2007-07-30",4.92
"145","2007-07-31",4.85
"146","2007-08-01",4.78
"147","2007-08-02",4.83
"148","2007-08-03",4.71
"149","2007-08-06",4.66
"150","2007-08-07",4.57
"151","2007-08-08",4.75
"152","2007-08-09",4.91
"153","2007-08-10",4.92
"154","2007-08-13",4.75
"155","2007-08-14",4.7
"156","2007-08-15",4.69
"157","2007-08-16",4.67
"158","2007-08-17",4.68
"159","2007-08-20",4.75
"160","2007-08-21",4.72
"161","2007-08-22",4.79
"162","2007-08-23",4.81
"163","2007-08-24",4.77
"164","2007-08-27",4.74
"165","2007-08-28",4.6
"166","2007-08-29",4.65
"167","2007-08-30",4.56
"168","2007-08-31",4.61
"169","2007-09-04",4.67
"170","2007-09-05",4.74
"171","2007-09-06",4.88
"172","2007-09-07",4.92
"173","2007-09-10",4.87
"174","2007-09-11",4.96
"175","2007-09-12",5.07
"176","2007-09-13",5
"177","2007-09-14",4.92
"178","2007-09-17",4.71
"179","2007-09-18",5.16
"180","2007-09-19",5.19
"181","2007-09-20",5.35
"182","2007-09-21",5.69
"183","2007-09-24",5.93
"184","2007-09-25",5.92
"185","2007-09-26",5.92
"186","2007-09-27",6.05
"187","2007-09-28",6.19
"188","2007-10-01",6.4
"189","2007-10-02",6.22
"190","2007-10-03",6.3
