"","date","NOAH"
"1","2010-11-10",15.99
"2","2010-11-11",15.5
"3","2010-11-12",16.549999
"4","2010-11-15",16.5
"5","2010-11-16",15.5
"6","2010-11-17",16.5
"7","2010-11-18",16.809999
"8","2010-11-19",18
"9","2010-11-22",20.620001
"10","2010-11-23",19.77
"11","2010-11-24",19.07
"12","2010-11-26",18.4
"13","2010-11-29",17.16
"14","2010-11-30",16.16
"15","2010-12-01",17.450001
"16","2010-12-02",19.389999
"17","2010-12-03",19.07
"18","2010-12-06",18
"19","2010-12-07",18.66
"20","2010-12-08",18
"21","2010-12-09",16.860001
"22","2010-12-10",17.15
"23","2010-12-13",17.91
"24","2010-12-14",17.440001
"25","2010-12-15",16.9
"26","2010-12-16",16.9
"27","2010-12-17",17.65
"28","2010-12-20",18.549999
"29","2010-12-21",19
"30","2010-12-22",20.040001
"31","2010-12-23",20.059999
"32","2010-12-27",20.030001
"33","2010-12-28",19.700001
"34","2010-12-29",19.040001
"35","2010-12-30",19.35
"36","2010-12-31",19.549999
"37","2011-01-03",19.07
"38","2011-01-04",17.9
"39","2011-01-05",18
"40","2011-01-06",18.049999
"41","2011-01-07",18.08
"42","2011-01-10",18.379999
"43","2011-01-11",19.030001
"44","2011-01-12",18.85
"45","2011-01-13",18.5
"46","2011-01-14",18.15
"47","2011-01-18",18.219999
"48","2011-01-19",18.67
"49","2011-01-20",18.15
"50","2011-01-21",16.969999
"51","2011-01-24",16.6
"52","2011-01-25",16.450001
"53","2011-01-26",16.610001
"54","2011-01-27",16.309999
"55","2011-01-28",16.040001
"56","2011-01-31",16.129999
"57","2011-02-01",16.24
"58","2011-02-02",16.01
"59","2011-02-03",16
"60","2011-02-04",16.01
"61","2011-02-07",16
"62","2011-02-08",16.040001
"63","2011-02-09",16.02
"64","2011-02-10",16
"65","2011-02-11",16.030001
"66","2011-02-14",16.16
"67","2011-02-15",16.299999
"68","2011-02-16",16.379999
"69","2011-02-17",16.440001
"70","2011-02-18",16.43
"71","2011-02-22",16.280001
"72","2011-02-23",16.059999
"73","2011-02-24",15.43
"74","2011-02-25",13.63
"75","2011-02-28",12.96
"76","2011-03-01",13
"77","2011-03-02",14.53
"78","2011-03-03",14.47
"79","2011-03-04",14.04
"80","2011-03-07",13.99
"81","2011-03-08",13.37
"82","2011-03-09",13.68
"83","2011-03-10",14.2
"84","2011-03-11",14.2
"85","2011-03-14",14.09
"86","2011-03-15",13.97
"87","2011-03-16",13.66
"88","2011-03-17",13.5
"89","2011-03-18",13.48
"90","2011-03-21",14.16
"91","2011-03-22",14.21
"92","2011-03-23",14.2
"93","2011-03-24",15.19
"94","2011-03-25",15.7
"95","2011-03-28",15.97
"96","2011-03-29",15.7
"97","2011-03-30",15.34
"98","2011-03-31",14.63
"99","2011-04-01",15.4
"100","2011-04-04",15.37
"101","2011-04-05",15.34
"102","2011-04-06",15.57
"103","2011-04-07",16.219999
"104","2011-04-08",16.370001
"105","2011-04-11",16.200001
"106","2011-04-12",14.92
"107","2011-04-13",15.06
"108","2011-04-14",15.9
"109","2011-04-15",16.450001
"110","2011-04-18",16.610001
"111","2011-04-19",17.01
"112","2011-04-20",16.85
"113","2011-04-21",17.52
"114","2011-04-25",17.98
