"","date","TRVG"
"1","2016-12-16",11.85
"2","2016-12-19",12.15
"3","2016-12-20",11.81
"4","2016-12-21",11.8
"5","2016-12-22",11.71
"6","2016-12-23",11.83
"7","2016-12-27",11.7
"8","2016-12-28",11.59
"9","2016-12-29",11.66
"10","2016-12-30",11.75
"11","2017-01-03",12.14
"12","2017-01-04",12.16
"13","2017-01-05",12.09
"14","2017-01-06",11.91
"15","2017-01-09",11.89
"16","2017-01-10",11.84
"17","2017-01-11",11.8
"18","2017-01-12",11.52
"19","2017-01-13",11.77
"20","2017-01-17",11.71
"21","2017-01-18",11.65
"22","2017-01-19",11.67
"23","2017-01-20",11.5
"24","2017-01-23",11.41
"25","2017-01-24",11.23
"26","2017-01-25",11.53
"27","2017-01-26",11.34
"28","2017-01-27",11.12
"29","2017-01-30",11.35
"30","2017-01-31",11.6
"31","2017-02-01",11.48
"32","2017-02-02",11.43
"33","2017-02-03",11.45
"34","2017-02-06",11.55
"35","2017-02-07",11.48
"36","2017-02-08",11.44
"37","2017-02-09",11.51
"38","2017-02-10",12.38
"39","2017-02-13",13.03
"40","2017-02-14",13.52
"41","2017-02-15",13.3
"42","2017-02-16",13.57
"43","2017-02-17",13.86
"44","2017-02-21",13.29
"45","2017-02-22",13.03
"46","2017-02-23",12.98
"47","2017-02-24",12.85
"48","2017-02-27",12.06
"49","2017-02-28",11.71
"50","2017-03-01",11.54
"51","2017-03-02",11.73
"52","2017-03-03",12.34
"53","2017-03-06",12.08
"54","2017-03-07",11.94
"55","2017-03-08",12.15
"56","2017-03-09",11.96
"57","2017-03-10",12.48
"58","2017-03-13",12.23
"59","2017-03-14",12.03
"60","2017-03-15",12
"61","2017-03-16",11.94
"62","2017-03-17",12.13
"63","2017-03-20",12.16
"64","2017-03-21",12.31
"65","2017-03-22",12.5
"66","2017-03-23",12.25
"67","2017-03-24",12.18
"68","2017-03-27",12.24
"69","2017-03-28",12.28
"70","2017-03-29",12.77
"71","2017-03-30",12.88
"72","2017-03-31",13.03
"73","2017-04-03",12.96
"74","2017-04-04",13.02
"75","2017-04-05",12.81
"76","2017-04-06",13.02
