"","date","NYMTN"
"1","2017-10-30",24.639999
"2","2017-10-31",24.889999
"3","2017-11-01",24.9
"4","2017-11-02",24.9
"5","2017-11-03",24.790001
"6","2017-11-06",24.65
"7","2017-11-07",24.74
"8","2017-11-08",24.67
"9","2017-11-09",24.503
"10","2017-11-10",24.59
"11","2017-11-13",24.530001
"12","2017-11-14",24.549999
"13","2017-11-15",24.549999
"14","2017-11-16",24.547001
"15","2017-11-17",24.620001
"16","2017-11-20",24.5
"17","2017-11-21",24.5
"18","2017-11-22",24.540001
"19","2017-11-24",24.52
"20","2017-11-27",24.530001
"21","2017-11-28",24.549999
"22","2017-11-29",24.42
"23","2017-11-30",24.129999
"24","2017-12-01",24.360001
"25","2017-12-04",24.42
"26","2017-12-05",24.290001
"27","2017-12-06",24.139999
"28","2017-12-07",24.389999
"29","2017-12-08",24.49
"30","2017-12-11",24.57
"31","2017-12-12",24.719999
"32","2017-12-13",24.76
"33","2017-12-14",24.799999
"34","2017-12-15",24.91
"35","2017-12-18",24.879999
"36","2017-12-19",24.879999
"37","2017-12-20",24.799999
"38","2017-12-21",24.870001
"39","2017-12-22",24.950001
"40","2017-12-26",24.870001
"41","2017-12-27",24.98
"42","2017-12-28",24.58
"43","2017-12-29",24.690001
"44","2018-01-02",24.75
"45","2018-01-03",24.700001
"46","2018-01-04",24.82
"47","2018-01-05",24.83
"48","2018-01-08",24.690001
"49","2018-01-09",24.610001
"50","2018-01-10",24.68
"51","2018-01-11",24.65
"52","2018-01-12",24.73
"53","2018-01-16",24.74
"54","2018-01-17",24.690001
"55","2018-01-18",24.629999
"56","2018-01-19",24.65
"57","2018-01-22",24.52
"58","2018-01-23",24.48
"59","2018-01-24",24.700001
"60","2018-01-25",24.690001
"61","2018-01-26",24.74
"62","2018-01-29",24.809999
"63","2018-01-30",24.68
"64","2018-01-31",24.625
"65","2018-02-01",24.42
"66","2018-02-02",24.190001
"67","2018-02-05",24.049999
"68","2018-02-06",23.83
"69","2018-02-07",24.1
"70","2018-02-08",23.5
"71","2018-02-09",23.83
"72","2018-02-12",23.57
"73","2018-02-13",23.42
"74","2018-02-14",23.452
"75","2018-02-15",23.389999
"76","2018-02-16",23.57
"77","2018-02-20",23.6
