"","date","LTRN"
"1","2020-06-11",14.95
"2","2020-06-12",14.75
"3","2020-06-15",14.68
"4","2020-06-16",13.29
"5","2020-06-17",11.99
"6","2020-06-18",12.9
"7","2020-06-19",13.1
"8","2020-06-22",13.02
"9","2020-06-23",11.54
"10","2020-06-24",11.98
"11","2020-06-25",12.1
"12","2020-06-26",11.7
"13","2020-06-29",12.3
"14","2020-06-30",12.7
"15","2020-07-01",12.95
"16","2020-07-02",13.13
"17","2020-07-06",13.1
"18","2020-07-07",13.08
"19","2020-07-08",12.88
"20","2020-07-09",13.15
"21","2020-07-10",12.69
"22","2020-07-13",12.71
"23","2020-07-14",12.65
"24","2020-07-15",12.64
"25","2020-07-16",12.78
"26","2020-07-17",13.2
"27","2020-07-20",12.395
"28","2020-07-21",12.35
"29","2020-07-22",12.98
"30","2020-07-23",12.93
"31","2020-07-24",12.559
"32","2020-07-27",12.645
"33","2020-07-28",12.23
"34","2020-07-29",12.38
"35","2020-07-30",12.22
"36","2020-07-31",12.319
"37","2020-08-03",12.51
"38","2020-08-04",12.5
"39","2020-08-05",12.35
"40","2020-08-06",12.3
"41","2020-08-07",11.7
"42","2020-08-10",11.32
"43","2020-08-11",11.6
"44","2020-08-12",10.885
"45","2020-08-13",10.7
"46","2020-08-14",10.78
"47","2020-08-17",11
"48","2020-08-18",11.855
"49","2020-08-19",14.4
"50","2020-08-20",14.93
"51","2020-08-21",16.6
"52","2020-08-24",14.31
"53","2020-08-25",17.5
"54","2020-08-26",17.200001
"55","2020-08-27",17.25
"56","2020-08-28",17.07
"57","2020-08-31",16.6
"58","2020-09-01",17.17
"59","2020-09-02",15.75
"60","2020-09-03",14.76
"61","2020-09-04",14.2
"62","2020-09-08",15.09
"63","2020-09-09",14.73
"64","2020-09-10",15.37
"65","2020-09-11",19.24
"66","2020-09-14",18.700001
"67","2020-09-15",17.84
"68","2020-09-16",17.700001
"69","2020-09-17",16.82
"70","2020-09-18",16.469999
"71","2020-09-21",16.01
"72","2020-09-22",16.51
"73","2020-09-23",17.48
"74","2020-09-24",18.200001
"75","2020-09-25",18.360001
"76","2020-09-28",21.25
"77","2020-09-29",20.4
"78","2020-09-30",18.84
"79","2020-10-01",20.690001
"80","2020-10-02",20.5
"81","2020-10-05",19.790001
"82","2020-10-06",18.9
"83","2020-10-07",19.530001
"84","2020-10-08",19.674999
"85","2020-10-09",20.110001
"86","2020-10-12",19.209999
"87","2020-10-13",19.49
"88","2020-10-14",19.959999
"89","2020-10-15",19.245001
"90","2020-10-16",19.780001
"91","2020-10-19",17.59
"92","2020-10-20",17.5
"93","2020-10-21",16.66
"94","2020-10-22",17.709999
"95","2020-10-23",17.5
"96","2020-10-26",17
"97","2020-10-27",16.6
"98","2020-10-28",15.17
"99","2020-10-29",15.25
"100","2020-10-30",15.1
"101","2020-11-02",15.2
"102","2020-11-03",15.43
"103","2020-11-04",17.25
"104","2020-11-05",16.889999
"105","2020-11-06",16.35
"106","2020-11-09",15.48
"107","2020-11-10",15.3
"108","2020-11-11",15.51
"109","2020-11-12",15.16
"110","2020-11-13",15.32
"111","2020-11-16",15.83
"112","2020-11-17",15.51
"113","2020-11-18",16.35
"114","2020-11-19",16.139999
"115","2020-11-20",16.049999
"116","2020-11-23",15.73
"117","2020-11-24",15.3
"118","2020-11-25",15.43
"119","2020-11-27",16.4
