"","date","AM"
"1","2017-05-04",22
"2","2017-05-05",22.280001
"3","2017-05-08",22.030001
"4","2017-05-09",22
"5","2017-05-10",21.540001
"6","2017-05-11",21.25
"7","2017-05-12",21.5
"8","2017-05-15",21.290001
"9","2017-05-16",21.35
"10","2017-05-17",21
"11","2017-05-18",21.01
"12","2017-05-19",21
"13","2017-05-22",21.91
"14","2017-05-23",22.030001
"15","2017-05-24",21.68
"16","2017-05-25",22.059999
"17","2017-05-26",21.969999
"18","2017-05-30",22.110001
"19","2017-05-31",22.08
"20","2017-06-01",22.57
"21","2017-06-02",22.280001
"22","2017-06-05",22.299999
"23","2017-06-06",22.549999
"24","2017-06-07",22.24
"25","2017-06-08",22.01
"26","2017-06-09",21.98
"27","2017-06-12",21.629999
"28","2017-06-13",22.07
"29","2017-06-14",22.040001
"30","2017-06-15",20.98
"31","2017-06-16",21.379999
"32","2017-06-19",21.280001
"33","2017-06-20",20.549999
"34","2017-06-21",20.450001
"35","2017-06-22",20.620001
"36","2017-06-23",20.879999
"37","2017-06-26",21.32
"38","2017-06-27",21.469999
"39","2017-06-28",22.02
"40","2017-06-29",21.65
"41","2017-06-30",21.98
"42","2017-07-03",21.91
"43","2017-07-05",21.120001
"44","2017-07-06",21.32
"45","2017-07-07",21.18
"46","2017-07-10",21.049999
"47","2017-07-11",21.35
"48","2017-07-12",21.49
"49","2017-07-13",21.700001
"50","2017-07-14",21.51
"51","2017-07-17",21.76
"52","2017-07-18",21.57
"53","2017-07-19",21.379999
"54","2017-07-20",21.299999
"55","2017-07-21",21.120001
"56","2017-07-24",21.02
"57","2017-07-25",21.01
"58","2017-07-26",21.01
"59","2017-07-27",21.02
"60","2017-07-28",21.09
"61","2017-07-31",21.23
"62","2017-08-01",21.530001
"63","2017-08-02",20.959999
"64","2017-08-03",20.290001
"65","2017-08-04",20.33
"66","2017-08-07",20.01
"67","2017-08-08",19.5
"68","2017-08-09",19.370001
"69","2017-08-10",18.940001
"70","2017-08-11",18.969999
"71","2017-08-14",19.07
"72","2017-08-15",18.709999
"73","2017-08-16",18.629999
"74","2017-08-17",18.48
"75","2017-08-18",18.370001
"76","2017-08-21",18.139999
"77","2017-08-22",18.16
"78","2017-08-23",18.43
"79","2017-08-24",18.48
"80","2017-08-25",18.379999
"81","2017-08-28",18.07
"82","2017-08-29",17.940001
"83","2017-08-30",18.450001
"84","2017-08-31",19.059999
"85","2017-09-01",19.299999
"86","2017-09-05",19.6
"87","2017-09-06",19.85
"88","2017-09-07",19.790001
"89","2017-09-08",19.23
"90","2017-09-11",19.16
"91","2017-09-12",19.34
"92","2017-09-13",19.43
"93","2017-09-14",19.42
"94","2017-09-15",19.5
"95","2017-09-18",19.459999
"96","2017-09-19",19.389999
"97","2017-09-20",19.620001
"98","2017-09-21",19.540001
"99","2017-09-22",19.59
"100","2017-09-25",20.09
"101","2017-09-26",20.35
"102","2017-09-27",20.1
"103","2017-09-28",20.139999
"104","2017-09-29",20.469999
"105","2017-10-02",20.389999
"106","2017-10-03",20.23
"107","2017-10-04",20.02
"108","2017-10-05",20.190001
"109","2017-10-06",20.07
"110","2017-10-09",20.120001
"111","2017-10-10",20.459999
"112","2017-10-11",20.459999
"113","2017-10-12",20.27
"114","2017-10-13",20.09
"115","2017-10-16",19.75
"116","2017-10-17",19.67
"117","2017-10-18",19.360001
"118","2017-10-19",19.02
"119","2017-10-20",19.1
"120","2017-10-23",18.41
"121","2017-10-24",18.41
"122","2017-10-25",18.389999
"123","2017-10-26",18.41
"124","2017-10-27",18.299999
"125","2017-10-30",18.33
"126","2017-10-31",18.709999
"127","2017-11-01",19.15
"128","2017-11-02",18.18
"129","2017-11-03",18.32
"130","2017-11-06",18.23
"131","2017-11-07",18.07
"132","2017-11-08",17.9
"133","2017-11-09",17.84
"134","2017-11-10",17.700001
"135","2017-11-13",17.290001
"136","2017-11-14",16.879999
"137","2017-11-15",17.23
"138","2017-11-16",17
"139","2017-11-17",17.24
"140","2017-11-20",17.040001
"141","2017-11-21",16.780001
"142","2017-11-22",16.93
"143","2017-11-24",17.42
"144","2017-11-27",17.309999
"145","2017-11-28",17.379999
"146","2017-11-29",17.41
"147","2017-11-30",17.75
"148","2017-12-01",18.01
"149","2017-12-04",17.950001
"150","2017-12-05",17.879999
"151","2017-12-06",17.93
"152","2017-12-07",18.41
"153","2017-12-08",18.6
"154","2017-12-11",18.82
"155","2017-12-12",18.959999
"156","2017-12-13",18.889999
"157","2017-12-14",19
"158","2017-12-15",19.32
"159","2017-12-18",19.33
"160","2017-12-19",19.209999
"161","2017-12-20",18.809999
"162","2017-12-21",18.549999
"163","2017-12-22",18.549999
"164","2017-12-26",18.790001
"165","2017-12-27",18.4
"166","2017-12-28",18.940001
"167","2017-12-29",19.719999
"168","2018-01-02",20.709999
"169","2018-01-03",21
"170","2018-01-04",20.93
"171","2018-01-05",20.809999
"172","2018-01-08",20.6
"173","2018-01-09",20.719999
"174","2018-01-10",20.959999
"175","2018-01-11",20.950001
"176","2018-01-12",21.040001
"177","2018-01-16",21
"178","2018-01-17",20.889999
"179","2018-01-18",20.91
