"","date","MGEN"
"1","2014-06-18",2045.25
"2","2014-06-19",1901.25
"3","2014-06-20",1881
"4","2014-06-23",1764
"5","2014-06-24",1777.5
"6","2014-06-25",1676.25
"7","2014-06-26",1642.5
"8","2014-06-27",1613.474976
"9","2014-06-30",1586.25
"10","2014-07-01",1489.050049
"11","2014-07-02",1577.25
"12","2014-07-03",1662.75
"13","2014-07-07",1561.5
"14","2014-07-08",1417.5
"15","2014-07-09",1359
"16","2014-07-10",1327.724976
"17","2014-07-11",1332
"18","2014-07-14",1197
"19","2014-07-15",1287
"20","2014-07-16",1257.75
"21","2014-07-17",1260
"22","2014-07-18",1260
"23","2014-07-21",1260
"24","2014-07-22",1260
"25","2014-07-23",1446.75
"26","2014-07-24",1433.25
"27","2014-07-25",1354.5
"28","2014-07-28",1379.25
"29","2014-07-29",1417.050049
"30","2014-07-30",1347.75
"31","2014-07-31",1332
"32","2014-08-01",1239.75
"33","2014-08-04",1145.25
"34","2014-08-05",1071
"35","2014-08-06",1041.75
"36","2014-08-07",978.75
"37","2014-08-08",1012.5
"38","2014-08-11",947.25
"39","2014-08-12",1068.75
"40","2014-08-13",1068.75
"41","2014-08-14",1102.5
"42","2014-08-15",1170
"43","2014-08-18",1252.125
"44","2014-08-19",1084.949951
"45","2014-08-20",1188
"46","2014-08-21",1183.5
"47","2014-08-22",1106.324951
"48","2014-08-25",1064.25
"49","2014-08-26",1014.75
"50","2014-08-27",1064.25
"51","2014-08-28",1005.75
"52","2014-08-29",1021.5
"53","2014-09-02",1064.25
"54","2014-09-03",1048.5
"55","2014-09-04",1030.5
"56","2014-09-05",990
"57","2014-09-08",1057.5
"58","2014-09-09",1215
"59","2014-09-10",1174.5
"60","2014-09-11",1086.75
"61","2014-09-12",1122.75
"62","2014-09-15",1104.75
"63","2014-09-16",1089
"64","2014-09-17",1111.5
"65","2014-09-18",1055.25
"66","2014-09-19",1012.5
"67","2014-09-22",1066.5
"68","2014-09-23",1035
"69","2014-09-24",1062
"70","2014-09-25",1073.25
"71","2014-09-26",1030.5
"72","2014-09-29",1035.224976
"73","2014-09-30",1012.5
"74","2014-10-01",1125
"75","2014-10-02",1014.75
"76","2014-10-03",1072.800049
"77","2014-10-06",1012.5
"78","2014-10-07",1012.5
"79","2014-10-08",1012.5
"80","2014-10-09",1012.5
"81","2014-10-10",965.25
"82","2014-10-13",902.25
"83","2014-10-14",776.25
"84","2014-10-15",731.25
"85","2014-10-16",756
"86","2014-10-17",776.25
"87","2014-10-20",744.75
