"","date","KRKR"
"1","2019-11-08",13.06
"2","2019-11-11",10.74
"3","2019-11-12",8.92
"4","2019-11-13",9.21
"5","2019-11-14",9.2
"6","2019-11-15",9.98
"7","2019-11-18",9.6
"8","2019-11-19",9.35
"9","2019-11-20",9.03
"10","2019-11-21",8.73
"11","2019-11-22",8.8
"12","2019-11-25",8.61
"13","2019-11-26",8.35
"14","2019-11-27",8.64
"15","2019-11-29",8.47
"16","2019-12-02",8.5
"17","2019-12-03",8.68
"18","2019-12-04",9.43
"19","2019-12-05",9.11
"20","2019-12-06",8.84
"21","2019-12-09",9
"22","2019-12-10",8.8
"23","2019-12-11",8.71
"24","2019-12-12",8.795
"25","2019-12-13",8.72
"26","2019-12-16",8.1
"27","2019-12-17",8.1
"28","2019-12-18",8.07
"29","2019-12-19",8.08
"30","2019-12-20",7.628
"31","2019-12-23",7.7
"32","2019-12-24",7.67
"33","2019-12-26",7.52
"34","2019-12-27",7.62
"35","2019-12-30",7.37
"36","2019-12-31",7.39
"37","2020-01-02",7.53
"38","2020-01-03",7.43
"39","2020-01-06",7.493
"40","2020-01-07",8.5
"41","2020-01-08",7.88
"42","2020-01-09",7.88
"43","2020-01-10",7.981
"44","2020-01-13",7.935
"45","2020-01-14",8.05
"46","2020-01-15",7.9
"47","2020-01-16",7.91
"48","2020-01-17",7.929
"49","2020-01-21",7.31
"50","2020-01-22",7.463
"51","2020-01-23",7.4
"52","2020-01-24",7.401
"53","2020-01-27",7.399
"54","2020-01-28",7.32
"55","2020-01-29",6.996
"56","2020-01-30",6.755
"57","2020-01-31",6.55
"58","2020-02-03",6.477
"59","2020-02-04",6.35
"60","2020-02-05",6.37
"61","2020-02-06",6.16
"62","2020-02-07",5.9
"63","2020-02-10",5.83
"64","2020-02-11",5.9
"65","2020-02-12",6.1
"66","2020-02-13",6.075
"67","2020-02-14",6.1
"68","2020-02-18",5.93
"69","2020-02-19",5.88
"70","2020-02-20",5.7
"71","2020-02-21",5.7
"72","2020-02-24",5.51
"73","2020-02-25",5.6
"74","2020-02-26",5.45
"75","2020-02-27",5.317
"76","2020-02-28",5.23
"77","2020-03-02",5.02
"78","2020-03-03",5.03
"79","2020-03-04",5.05
"80","2020-03-05",5.09
"81","2020-03-06",5.06
"82","2020-03-09",4.71
"83","2020-03-10",5
"84","2020-03-11",4.76
"85","2020-03-12",4.33
"86","2020-03-13",4.55
"87","2020-03-16",4.24
"88","2020-03-17",4.32
"89","2020-03-18",4.16
"90","2020-03-19",4.18
"91","2020-03-20",4.2
"92","2020-03-23",4.18
"93","2020-03-24",4.13
"94","2020-03-25",4.15
"95","2020-03-26",4.45
"96","2020-03-27",4.413
"97","2020-03-30",4.25
"98","2020-03-31",4.45
"99","2020-04-01",4.43
"100","2020-04-02",4.11
"101","2020-04-03",4.13
"102","2020-04-06",3.9
"103","2020-04-07",3.72
"104","2020-04-08",3.6
"105","2020-04-09",3.6
"106","2020-04-13",3.53
"107","2020-04-14",3.51
"108","2020-04-15",3.5
"109","2020-04-16",3.42
"110","2020-04-17",3.97
"111","2020-04-20",3.6
"112","2020-04-21",3.596
"113","2020-04-22",3.6
"114","2020-04-23",3.6
"115","2020-04-24",3.5
"116","2020-04-27",3.56
"117","2020-04-28",3.37
"118","2020-04-29",3.55
"119","2020-04-30",3.68
"120","2020-05-01",3.53
"121","2020-05-04",3.47
"122","2020-05-05",3.741
"123","2020-05-06",3.65
"124","2020-05-07",3.78
"125","2020-05-08",4.45
"126","2020-05-11",4.35
"127","2020-05-12",4.25
"128","2020-05-13",4.017
"129","2020-05-14",3.86
"130","2020-05-15",3.86
"131","2020-05-18",4.05
"132","2020-05-19",4.09
"133","2020-05-20",4.12
"134","2020-05-21",4.21
"135","2020-05-22",4.95
"136","2020-05-26",4.5
"137","2020-05-27",6.8
"138","2020-05-28",5.88
"139","2020-05-29",5.765
"140","2020-06-01",5.26
"141","2020-06-02",5.625
"142","2020-06-03",5.398
"143","2020-06-04",5.59
"144","2020-06-05",5.79
"145","2020-06-08",5.95
"146","2020-06-09",5.94
"147","2020-06-10",5.95
"148","2020-06-11",5.82
"149","2020-06-12",5.31
"150","2020-06-15",5.24
"151","2020-06-16",5.05
"152","2020-06-17",4.65
"153","2020-06-18",4.48
"154","2020-06-19",4.22
"155","2020-06-22",3.71
"156","2020-06-23",3.6
"157","2020-06-24",3.83
"158","2020-06-25",3.71
"159","2020-06-26",3.51
"160","2020-06-29",3.51
"161","2020-06-30",3.33
"162","2020-07-01",3.43
"163","2020-07-02",3.37
"164","2020-07-06",3.414
"165","2020-07-07",3.83
"166","2020-07-08",4.08
"167","2020-07-09",4.07
"168","2020-07-10",3.53
"169","2020-07-13",3.68
"170","2020-07-14",3.48
"171","2020-07-15",3.52
"172","2020-07-16",3.61
"173","2020-07-17",3.45
"174","2020-07-20",3.62
"175","2020-07-21",3.63
"176","2020-07-22",3.48
"177","2020-07-23",3.43
"178","2020-07-24",3.47
"179","2020-07-27",3.45
"180","2020-07-28",3.347
"181","2020-07-29",3.32
"182","2020-07-30",3.22
"183","2020-07-31",3.21
"184","2020-08-03",3.33
"185","2020-08-04",3.26
"186","2020-08-05",3.37
"187","2020-08-06",3.3
"188","2020-08-07",3.25
"189","2020-08-10",3.32
"190","2020-08-11",3.36
"191","2020-08-12",3.79
"192","2020-08-13",3.79
"193","2020-08-14",3.54
"194","2020-08-17",3.66
"195","2020-08-18",3.91
"196","2020-08-19",3.61
"197","2020-08-20",3.59
"198","2020-08-21",3.61
"199","2020-08-24",3.67
"200","2020-08-25",3.78
"201","2020-08-26",3.41
"202","2020-08-27",3.46
"203","2020-08-28",3.56
"204","2020-08-31",3.46
"205","2020-09-01",3.45
"206","2020-09-02",3.43
"207","2020-09-03",3.37
"208","2020-09-04",3.23
"209","2020-09-08",2.9
"210","2020-09-09",2.805
"211","2020-09-10",2.78
"212","2020-09-11",2.79
"213","2020-09-14",2.7
"214","2020-09-15",2.77
"215","2020-09-16",2.73
"216","2020-09-17",2.73
"217","2020-09-18",2.69
"218","2020-09-21",2.7
"219","2020-09-22",2.52
"220","2020-09-23",2.48
"221","2020-09-24",2.35
"222","2020-09-25",2.42
"223","2020-09-28",2.47
"224","2020-09-29",2.41
"225","2020-09-30",2.53
"226","2020-10-01",2.53
"227","2020-10-02",2.66
"228","2020-10-05",2.62
"229","2020-10-06",2.68
"230","2020-10-07",2.68
"231","2020-10-08",2.66
"232","2020-10-09",2.96
"233","2020-10-12",2.88
"234","2020-10-13",2.7
"235","2020-10-14",2.69
"236","2020-10-15",2.84
"237","2020-10-16",2.89
"238","2020-10-19",3.01
"239","2020-10-20",2.89
"240","2020-10-21",2.94
"241","2020-10-22",2.97
"242","2020-10-23",2.8
"243","2020-10-26",2.89
"244","2020-10-27",2.95
"245","2020-10-28",2.88
"246","2020-10-29",2.87
"247","2020-10-30",2.81
"248","2020-11-02",2.72
"249","2020-11-03",2.76
"250","2020-11-04",2.73
"251","2020-11-05",2.784
"252","2020-11-06",2.99
"253","2020-11-09",2.83
"254","2020-11-10",2.84
"255","2020-11-11",2.85
"256","2020-11-12",2.85
"257","2020-11-13",2.95
"258","2020-11-16",2.983
"259","2020-11-17",3.11
"260","2020-11-18",3.09
"261","2020-11-19",3.125
"262","2020-11-20",3.23
"263","2020-11-23",3.43
"264","2020-11-24",3.45
"265","2020-11-25",3.45
"266","2020-11-27",3.45
