"","date","MYRG"
"1","2008-08-13",16.6
"2","2008-08-14",16.450001
"3","2008-08-15",16.35
"4","2008-08-18",16.25
"5","2008-08-19",16.25
"6","2008-08-20",16.200001
"7","2008-08-21",16
"8","2008-08-22",16
"9","2008-08-25",16
"10","2008-08-26",16
"11","2008-08-27",16
"12","2008-08-28",15.75
"13","2008-08-29",15.9
"14","2008-09-02",16.23
"15","2008-09-03",16
"16","2008-09-04",16
"17","2008-09-05",16
"18","2008-09-08",16
"19","2008-09-09",15.72
"20","2008-09-10",14.5
"21","2008-09-11",14.5
"22","2008-09-12",14.5
"23","2008-09-15",14.73
"24","2008-09-16",14.45
"25","2008-09-17",13.9
"26","2008-09-18",13.9
"27","2008-09-19",13.62
"28","2008-09-22",13.75
"29","2008-09-23",13.07
"30","2008-09-24",12.79
"31","2008-09-25",12.9
"32","2008-09-26",12.8
"33","2008-09-29",12.55
"34","2008-09-30",12.66
"35","2008-10-01",12.8
"36","2008-10-02",11.78
"37","2008-10-03",11.8
"38","2008-10-06",11.94
"39","2008-10-07",11.49
"40","2008-10-08",11.24
"41","2008-10-09",10.94
"42","2008-10-10",10.14
"43","2008-10-13",9.98
"44","2008-10-14",9.7
"45","2008-10-15",9.99
"46","2008-10-16",9.99
"47","2008-10-17",9.92
"48","2008-10-20",10
"49","2008-10-21",10.87
"50","2008-10-22",10.01
"51","2008-10-23",10
"52","2008-10-24",10
"53","2008-10-27",9.82
"54","2008-10-28",9.6
"55","2008-10-29",9.2
"56","2008-10-30",9.51
"57","2008-10-31",9.46
"58","2008-11-03",9.44
"59","2008-11-04",9.44
"60","2008-11-05",9
"61","2008-11-06",9
"62","2008-11-07",8.38
"63","2008-11-10",8.51
"64","2008-11-11",7.98
"65","2008-11-12",7.04
"66","2008-11-13",5.9
"67","2008-11-14",6.9
"68","2008-11-17",6.9
"69","2008-11-18",7
"70","2008-11-19",7.28
"71","2008-11-20",7
"72","2008-11-21",6.75
"73","2008-11-24",7.31
"74","2008-11-25",7.61
"75","2008-11-26",8.81
"76","2008-11-28",10.12
"77","2008-12-01",9.34
"78","2008-12-02",9.39
"79","2008-12-03",9.37
"80","2008-12-04",8.2
"81","2008-12-05",8.02
"82","2008-12-08",9
"83","2008-12-09",9.7
"84","2008-12-10",9.75
"85","2008-12-11",10.12
"86","2008-12-12",9.63
"87","2008-12-15",9.99
"88","2008-12-16",9.9
"89","2008-12-17",9.97
"90","2008-12-18",10
"91","2008-12-19",10.04
"92","2008-12-22",9.86
"93","2008-12-23",9.89
"94","2008-12-24",9.89
"95","2008-12-26",9.9
"96","2008-12-29",10
"97","2008-12-30",10
"98","2008-12-31",10
"99","2009-01-02",10
"100","2009-01-05",10.02
"101","2009-01-06",11.39
"102","2009-01-07",11.38
"103","2009-01-08",13
"104","2009-01-09",13
"105","2009-01-12",12.81
"106","2009-01-13",12.7
"107","2009-01-14",12.62
"108","2009-01-15",12.94
"109","2009-01-16",13.75
"110","2009-01-20",13.56
"111","2009-01-21",14.07
"112","2009-01-22",13.5
"113","2009-01-23",13.35
"114","2009-01-26",14.48
"115","2009-01-27",14.81
"116","2009-01-28",14.9
"117","2009-01-29",13.75
"118","2009-01-30",14.4
"119","2009-02-02",14.42
"120","2009-02-03",14.6
"121","2009-02-04",14.8
"122","2009-02-05",14.64
"123","2009-02-06",14.51
"124","2009-02-09",14.24
"125","2009-02-10",14.01
"126","2009-02-11",13.88
"127","2009-02-12",13.52
"128","2009-02-13",13.5
"129","2009-02-17",13.52
"130","2009-02-18",13.46
"131","2009-02-19",13.44
"132","2009-02-20",13.4
"133","2009-02-23",12.84
"134","2009-02-24",14.03
