"","date","VRTU"
"1","2007-08-03",11.86
"2","2007-08-06",12.4
"3","2007-08-07",12.74
"4","2007-08-08",13.34
"5","2007-08-09",13.8
"6","2007-08-10",13.22
"7","2007-08-13",13.38
"8","2007-08-14",13.78
"9","2007-08-15",12.09
"10","2007-08-16",11.65
"11","2007-08-17",11.99
"12","2007-08-20",11.85
"13","2007-08-21",13.75
"14","2007-08-22",13.72
"15","2007-08-23",14.1
"16","2007-08-24",14.16
"17","2007-08-27",13.83
"18","2007-08-28",13.36
"19","2007-08-29",13.3
"20","2007-08-30",14.19
"21","2007-08-31",14.18
"22","2007-09-04",15.49
"23","2007-09-05",14.3
"24","2007-09-06",14
"25","2007-09-07",13.4
"26","2007-09-10",13.26
"27","2007-09-11",13.21
"28","2007-09-12",14.31
"29","2007-09-13",14.5
"30","2007-09-14",14.35
"31","2007-09-17",15.09
"32","2007-09-18",14.83
"33","2007-09-19",14.85
"34","2007-09-20",15.13
"35","2007-09-21",15.5
"36","2007-09-24",15.01
"37","2007-09-25",14.65
"38","2007-09-26",15.14
"39","2007-09-27",14.75
"40","2007-09-28",15
"41","2007-10-01",15.04
"42","2007-10-02",16.25
"43","2007-10-03",16.91
"44","2007-10-04",17.02
"45","2007-10-05",16.549999
"46","2007-10-08",16.5
"47","2007-10-09",16.27
"48","2007-10-10",16.65
"49","2007-10-11",16.42
"50","2007-10-12",15.71
"51","2007-10-15",15.54
"52","2007-10-16",16.299999
"53","2007-10-17",16.52
"54","2007-10-18",16.57
"55","2007-10-19",16.34
"56","2007-10-22",15.96
"57","2007-10-23",16.959999
"58","2007-10-24",16.610001
"59","2007-10-25",16.23
"60","2007-10-26",17.129999
"61","2007-10-29",17.299999
"62","2007-10-30",17.309999
"63","2007-10-31",19.139999
"64","2007-11-01",18.74
"65","2007-11-02",18.370001
"66","2007-11-05",18.309999
"67","2007-11-06",18.41
"68","2007-11-07",18.110001
"69","2007-11-08",18.49
"70","2007-11-09",18.34
"71","2007-11-12",18.620001
"72","2007-11-13",19.6
"73","2007-11-14",18.82
"74","2007-11-15",18.440001
"75","2007-11-16",18.530001
"76","2007-11-19",18.440001
"77","2007-11-20",18.360001
"78","2007-11-21",18.139999
"79","2007-11-23",17.68
"80","2007-11-26",17.42
"81","2007-11-27",17
"82","2007-11-28",18.26
"83","2007-11-29",18.16
"84","2007-11-30",17.67
"85","2007-12-03",16.879999
"86","2007-12-04",15.33
"87","2007-12-05",14.89
"88","2007-12-06",15.22
"89","2007-12-07",14.05
"90","2007-12-10",13.31
"91","2007-12-11",12.84
"92","2007-12-12",13.2
"93","2007-12-13",14.25
"94","2007-12-14",13.66
"95","2007-12-17",13.31
"96","2007-12-18",14.48
"97","2007-12-19",14.81
"98","2007-12-20",14.92
"99","2007-12-21",16.07
"100","2007-12-24",16.91
"101","2007-12-26",18.6
"102","2007-12-27",18.58
"103","2007-12-28",18.030001
"104","2007-12-31",17.33
"105","2008-01-02",15.86
"106","2008-01-03",15.87
"107","2008-01-04",15.24
