"","date","RLJ"
"1","2011-05-11",17.68
"2","2011-05-12",17.969999
"3","2011-05-13",17.98
"4","2011-05-16",17.940001
"5","2011-05-17",18
"6","2011-05-18",18.040001
"7","2011-05-19",18.08
"8","2011-05-20",18.040001
"9","2011-05-23",18.01
"10","2011-05-24",18
"11","2011-05-25",18.02
"12","2011-05-26",18.15
"13","2011-05-27",18.139999
"14","2011-05-31",18.25
"15","2011-06-01",17.889999
"16","2011-06-02",18.040001
"17","2011-06-03",18.32
"18","2011-06-06",18.200001
"19","2011-06-07",18.059999
"20","2011-06-08",18.25
"21","2011-06-09",18.360001
"22","2011-06-10",18.09
"23","2011-06-13",18.09
"24","2011-06-14",17.889999
"25","2011-06-15",17.139999
"26","2011-06-16",17.389999
"27","2011-06-17",17.530001
"28","2011-06-20",17.85
"29","2011-06-21",17.75
"30","2011-06-22",17.790001
"31","2011-06-23",17.379999
"32","2011-06-24",17.07
"33","2011-06-27",17.110001
"34","2011-06-28",17.35
"35","2011-06-29",17.209999
"36","2011-06-30",17.370001
"37","2011-07-01",17.639999
"38","2011-07-05",17.790001
"39","2011-07-06",17.6
"40","2011-07-07",17.74
"41","2011-07-08",17.74
"42","2011-07-11",17.5
"43","2011-07-12",17.540001
"44","2011-07-13",17.51
"45","2011-07-14",17.440001
"46","2011-07-15",17.610001
"47","2011-07-18",17.48
"48","2011-07-19",17.5
"49","2011-07-20",17.5
"50","2011-07-21",17.5
"51","2011-07-22",17.5
"52","2011-07-25",17.450001
"53","2011-07-26",17.41
"54","2011-07-27",17.24
"55","2011-07-28",17.360001
"56","2011-07-29",17.219999
"57","2011-08-01",16.98
"58","2011-08-02",16.610001
"59","2011-08-03",15.71
"60","2011-08-04",14.93
"61","2011-08-05",14.47
"62","2011-08-08",13.14
"63","2011-08-09",13.66
"64","2011-08-10",12.7
"65","2011-08-11",13.69
"66","2011-08-12",13.89
"67","2011-08-15",14.02
"68","2011-08-16",13.72
"69","2011-08-17",13.79
"70","2011-08-18",12.5
"71","2011-08-19",12.25
"72","2011-08-22",12.04
"73","2011-08-23",12.27
"74","2011-08-24",12.46
"75","2011-08-25",12.29
"76","2011-08-26",12.14
"77","2011-08-29",12.95
"78","2011-08-30",12.9
"79","2011-08-31",13.26
"80","2011-09-01",13.28
"81","2011-09-02",13.02
"82","2011-09-06",13.13
"83","2011-09-07",13.76
"84","2011-09-08",13.26
"85","2011-09-09",13.17
"86","2011-09-12",13.3
"87","2011-09-13",13.23
"88","2011-09-14",13.77
"89","2011-09-15",13.65
"90","2011-09-16",13.62
"91","2011-09-19",13.46
"92","2011-09-20",13.48
"93","2011-09-21",13.31
"94","2011-09-22",13.11
"95","2011-09-23",13.1
"96","2011-09-26",13.02
"97","2011-09-27",13.24
"98","2011-09-28",12.57
"99","2011-09-29",12.93
"100","2011-09-30",12.77
"101","2011-10-03",11.78
"102","2011-10-04",13.35
"103","2011-10-05",12.36
"104","2011-10-06",13.07
"105","2011-10-07",12.07
"106","2011-10-10",12.82
"107","2011-10-11",12.87
"108","2011-10-12",13.26
"109","2011-10-13",13.2
"110","2011-10-14",13.66
"111","2011-10-17",12.98
"112","2011-10-18",13.48
"113","2011-10-19",13.52
"114","2011-10-20",13.6
"115","2011-10-21",13.9
"116","2011-10-24",14.11
"117","2011-10-25",13.89
"118","2011-10-26",13.98
"119","2011-10-27",14.87
"120","2011-10-28",15.14
"121","2011-10-31",14.82
"122","2011-11-01",14.09
"123","2011-11-02",14.97
"124","2011-11-03",14.87
"125","2011-11-04",14.9
"126","2011-11-07",15
"127","2011-11-08",15.22
"128","2011-11-09",14.67
"129","2011-11-10",15.18
"130","2011-11-11",15.64
"131","2011-11-14",15.39
"132","2011-11-15",15.51
"133","2011-11-16",16.389999
"134","2011-11-17",16.24
"135","2011-11-18",16.4
"136","2011-11-21",15.87
"137","2011-11-22",15.99
"138","2011-11-23",15.34
"139","2011-11-25",15.72
"140","2011-11-28",16.15
"141","2011-11-29",16.219999
"142","2011-11-30",16
"143","2011-12-01",16.07
"144","2011-12-02",15.71
"145","2011-12-05",16.27
"146","2011-12-06",16.35
"147","2011-12-07",16.09
"148","2011-12-08",15.31
"149","2011-12-09",15.85
"150","2011-12-12",15.83
"151","2011-12-13",15.63
"152","2011-12-14",16.24
"153","2011-12-15",16.49
"154","2011-12-16",17.209999
"155","2011-12-19",16.98
"156","2011-12-20",17
"157","2011-12-21",16.690001
"158","2011-12-22",16.77
"159","2011-12-23",16.530001
"160","2011-12-27",16.98
"161","2011-12-28",16.68
"162","2011-12-29",16.940001
"163","2011-12-30",16.83
"164","2012-01-03",17.030001
"165","2012-01-04",16.76
"166","2012-01-05",16.92
"167","2012-01-06",16.99
"168","2012-01-09",16.91
"169","2012-01-10",17.4
"170","2012-01-11",17.360001
"171","2012-01-12",17.129999
"172","2012-01-13",17.110001
