"","date","PRPH"
"1","2007-01-03",5.69
"2","2007-01-04",5.7
"3","2007-01-05",5.09
"4","2007-01-08",5.67
"5","2007-01-09",5.96
"6","2007-01-10",7.08
"7","2007-01-11",6.78
"8","2007-01-12",6.75
"9","2007-01-16",6.76
"10","2007-01-17",6.75
"11","2007-01-18",6.81
"12","2007-01-19",6.51
"13","2007-01-22",6.25
"14","2007-01-23",6.46
"15","2007-01-24",6.95
"16","2007-01-25",6.56
"17","2007-01-26",6.6
"18","2007-01-29",6.85
"19","2007-01-30",6.36
"20","2007-01-31",6.59
"21","2007-02-01",6.68
"22","2007-02-02",6.94
"23","2007-02-05",6.73
"24","2007-02-06",6.79
"25","2007-02-07",7.15
"26","2007-02-08",7.03
"27","2007-02-09",7.26
"28","2007-02-12",7.45
"29","2007-02-13",7.38
"30","2007-02-14",7.27
"31","2007-02-15",7.42
"32","2007-02-16",7.78
"33","2007-02-20",7.78
"34","2007-02-21",7.85
"35","2007-02-22",7.55
"36","2007-02-23",7.7
"37","2007-02-26",7.57
"38","2007-02-27",7.11
"39","2007-02-28",6.85
"40","2007-03-01",6.77
"41","2007-03-02",6.46
"42","2007-03-05",6.61
"43","2007-03-06",6.69
"44","2007-03-07",6.59
"45","2007-03-08",6.69
"46","2007-03-09",6.76
"47","2007-03-12",6.74
"48","2007-03-13",6.35
"49","2007-03-14",6.72
"50","2007-03-15",6.73
"51","2007-03-16",6.89
"52","2007-03-19",6.8
"53","2007-03-20",7.13
"54","2007-03-21",7.29
"55","2007-03-22",7.4
"56","2007-03-23",7.33
"57","2007-03-26",7.11
"58","2007-03-27",7.21
"59","2007-03-28",7.27
"60","2007-03-29",7.27
"61","2007-03-30",7.46
"62","2007-04-02",7.28
"63","2007-04-03",7.24
"64","2007-04-04",7.28
"65","2007-04-05",7.32
"66","2007-04-09",7.2
"67","2007-04-10",6.95
"68","2007-04-11",6.79
"69","2007-04-12",6.77
"70","2007-04-13",6.69
"71","2007-04-16",6.53
"72","2007-04-17",6.52
"73","2007-04-18",6.36
"74","2007-04-19",6.2
"75","2007-04-20",6.3
"76","2007-04-23",6.26
"77","2007-04-24",6.12
"78","2007-04-25",6.14
"79","2007-04-26",6.2
"80","2007-04-27",6.44
"81","2007-04-30",6.56
"82","2007-05-01",6.23
"83","2007-05-02",6.4
"84","2007-05-03",6.55
"85","2007-05-04",6.58
"86","2007-05-07",6.16
"87","2007-05-08",6.25
"88","2007-05-09",6.26
"89","2007-05-10",6.24
"90","2007-05-11",6.35
"91","2007-05-14",6.42
"92","2007-05-15",6.21
"93","2007-05-16",6.16
"94","2007-05-17",6.13
"95","2007-05-18",6
"96","2007-05-21",6.01
"97","2007-05-22",6.12
"98","2007-05-23",6.14
"99","2007-05-24",6.11
"100","2007-05-25",6.05
"101","2007-05-29",6.01
"102","2007-05-30",6.02
"103","2007-05-31",5.8
"104","2007-06-01",5.75
"105","2007-06-04",5.84
"106","2007-06-05",5.75
"107","2007-06-06",5.79
"108","2007-06-07",5.75
"109","2007-06-08",5.68
"110","2007-06-11",5.57
"111","2007-06-12",5.3
"112","2007-06-13",5.16
"113","2007-06-14",4.83
"114","2007-06-15",5.2
"115","2007-06-18",5.3
"116","2007-06-19",5.19
"117","2007-06-20",5.2
"118","2007-06-21",5.14
"119","2007-06-22",4.85
"120","2007-06-25",4.73
"121","2007-06-26",4.66
"122","2007-06-27",4.77
"123","2007-06-28",4.84
"124","2007-06-29",4.65
"125","2007-07-02",4.9
"126","2007-07-03",4.95
"127","2007-07-05",4.77
"128","2007-07-06",4.97
"129","2007-07-09",5.03
