"","date","VCRA"
"1","2012-03-28",21.030001
"2","2012-03-29",24.91
"3","2012-03-30",23.4
"4","2012-04-02",23
"5","2012-04-03",22.1
"6","2012-04-04",21.1
"7","2012-04-05",21.65
"8","2012-04-09",21.41
"9","2012-04-10",21.1
"10","2012-04-11",21.09
"11","2012-04-12",21.639999
"12","2012-04-13",21.18
"13","2012-04-16",22.26
"14","2012-04-17",22.299999
"15","2012-04-18",22.129999
"16","2012-04-19",22.299999
"17","2012-04-20",21.93
"18","2012-04-23",21.08
"19","2012-04-24",21
"20","2012-04-25",21.110001
"21","2012-04-26",21.030001
"22","2012-04-27",21.5
"23","2012-04-30",22.15
"24","2012-05-01",21.99
"25","2012-05-02",21.59
"26","2012-05-03",21.92
"27","2012-05-04",21.73
"28","2012-05-07",23.07
"29","2012-05-08",22.129999
"30","2012-05-09",21.85
"31","2012-05-10",23.35
"32","2012-05-11",25.16
"33","2012-05-14",25.620001
"34","2012-05-15",25.01
"35","2012-05-16",25.15
"36","2012-05-17",25.440001
"37","2012-05-18",24.049999
"38","2012-05-21",24.120001
"39","2012-05-22",24.01
"40","2012-05-23",24.98
"41","2012-05-24",24.92
"42","2012-05-25",25.049999
"43","2012-05-29",25.77
"44","2012-05-30",24.33
"45","2012-05-31",24.15
"46","2012-06-01",23.23
"47","2012-06-04",22.700001
"48","2012-06-05",23.110001
"49","2012-06-06",23.26
"50","2012-06-07",24.200001
"51","2012-06-08",24.299999
"52","2012-06-11",24.1
"53","2012-06-12",24.120001
"54","2012-06-13",24.26
"55","2012-06-14",25.299999
"56","2012-06-15",24.110001
"57","2012-06-18",24.9
"58","2012-06-19",25.040001
"59","2012-06-20",24.82
"60","2012-06-21",24.889999
"61","2012-06-22",24.73
"62","2012-06-25",24.75
"63","2012-06-26",27.01
"64","2012-06-27",25.92
"65","2012-06-28",26.790001
"66","2012-06-29",26.790001
"67","2012-07-02",27.969999
"68","2012-07-03",27.860001
"69","2012-07-05",27.540001
"70","2012-07-06",26.84
"71","2012-07-09",24.9
"72","2012-07-10",25.719999
"73","2012-07-11",26.299999
"74","2012-07-12",26.209999
"75","2012-07-13",27.379999
"76","2012-07-16",27.16
"77","2012-07-17",28.16
"78","2012-07-18",28.059999
"79","2012-07-19",27.9
"80","2012-07-20",27.09
"81","2012-07-23",26.75
"82","2012-07-24",26.51
"83","2012-07-25",27.870001
"84","2012-07-26",27.620001
"85","2012-07-27",27.33
"86","2012-07-30",26.67
"87","2012-07-31",26.84
"88","2012-08-01",26.84
"89","2012-08-02",27.23
"90","2012-08-03",29.18
"91","2012-08-06",28.74
"92","2012-08-07",28.950001
"93","2012-08-08",29.139999
"94","2012-08-09",29.57
"95","2012-08-10",29.549999
"96","2012-08-13",29.32
"97","2012-08-14",28.9
"98","2012-08-15",28.9
"99","2012-08-16",29.48
"100","2012-08-17",29.549999
"101","2012-08-20",27.18
"102","2012-08-21",27.24
"103","2012-08-22",27.059999
"104","2012-08-23",28
"105","2012-08-24",28.870001
"106","2012-08-27",28.290001
"107","2012-08-28",28.32
"108","2012-08-29",28.370001
"109","2012-08-30",28.030001
"110","2012-08-31",28.16
"111","2012-09-04",29.120001
