"","date","MTCH"
"1","2007-01-03",9.356409
"2","2007-01-04",9.443619
"3","2007-01-05",9.351425
"4","2007-01-08",9.319033
"5","2007-01-09",9.346442
"6","2007-01-10",9.548271
"7","2007-01-11",9.428669
"8","2007-01-12",9.428669
"9","2007-01-16",9.468536
"10","2007-01-17",9.518371
"11","2007-01-18",9.603089
"12","2007-01-19",9.73515
"13","2007-01-22",9.685316
"14","2007-01-23",9.747609
"15","2007-01-24",9.762559
"16","2007-01-25",9.508404
"17","2007-01-26",9.403751
"18","2007-01-29",9.473519
"19","2007-01-30",9.498437
"20","2007-01-31",9.568205
"21","2007-02-01",9.550763
"22","2007-02-02",9.625514
"23","2007-02-05",9.784985
"24","2007-02-06",9.64794
"25","2007-02-07",9.92452
"26","2007-02-08",9.944454
"27","2007-02-09",9.872194
"28","2007-02-12",9.82236
"29","2007-02-13",9.902096
"30","2007-02-14",9.929504
"31","2007-02-15",9.929504
"32","2007-02-16",9.92452
"33","2007-02-20",9.986814
"34","2007-02-21",10.031665
"35","2007-02-22",10.103925
"36","2007-02-23",10.1114
"37","2007-02-26",10.151267
"38","2007-02-27",9.859736
"39","2007-02-28",9.767543
"40","2007-03-01",9.625514
"41","2007-03-02",9.441127
"42","2007-03-05",9.336474
"43","2007-03-06",9.38631
"44","2007-03-07",9.351425
"45","2007-03-08",9.368867
"46","2007-03-09",9.326508
"47","2007-03-12",9.306574
"48","2007-03-13",9.099762
"49","2007-03-14",9.089794
"50","2007-03-15",9.127171
"51","2007-03-16",9.117204
"52","2007-03-19",9.224347
"53","2007-03-20",9.21438
"54","2007-03-21",9.326508
"55","2007-03-22",9.480994
"56","2007-03-23",9.520863
"57","2007-03-26",9.588139
"58","2007-03-27",9.628006
"59","2007-03-28",9.401259
"60","2007-03-29",9.366376
"61","2007-03-30",9.396276
"62","2007-04-02",9.27169
"63","2007-04-03",9.3589
"64","2007-04-04",9.398767
"65","2007-04-05",9.423685
"66","2007-04-09",9.518371
"67","2007-04-10",9.628006
"68","2007-04-11",9.543287
"69","2007-04-12",9.60558
"70","2007-04-13",9.530829
"71","2007-04-16",9.558238
"72","2007-04-17",9.615547
"73","2007-04-18",9.603089
"74","2007-04-19",9.568205
"75","2007-04-20",9.588139
"76","2007-04-23",9.366376
"77","2007-04-24",9.326508
"78","2007-04-25",9.565713
"79","2007-04-26",9.642957
"80","2007-04-27",9.66289
"81","2007-04-30",9.498437
"82","2007-05-01",9.53332
"83","2007-05-02",9.615547
"84","2007-05-03",8.99511
"85","2007-05-04",8.945275
"86","2007-05-07",8.813213
"87","2007-05-08",8.828164
"88","2007-05-09",8.788297
"89","2007-05-10",8.653744
"90","2007-05-11",8.683644
"91","2007-05-14",8.5765
"92","2007-05-15",8.444439
"93","2007-05-16",8.514207
"94","2007-05-17",8.414538
"95","2007-05-18",8.556566
"96","2007-05-21",8.6064
"97","2007-05-22",8.569025
"98","2007-05-23",8.651252
"99","2007-05-24",8.569025
"100","2007-05-25",8.578992
"101","2007-05-29",8.569025
"102","2007-05-30",8.556566
"103","2007-05-31",8.621351
"104","2007-06-01",8.671185
"105","2007-06-04",8.671185
"106","2007-06-05",8.671185
"107","2007-06-06",8.521683
"108","2007-06-07",8.265036
"109","2007-06-08",8.429489
"110","2007-06-11",8.454406
"111","2007-06-12",8.212709
"112","2007-06-13",8.374671
"113","2007-06-14",8.412046
"114","2007-06-15",8.559058
"115","2007-06-18",8.566533
"116","2007-06-19",8.77833
"117","2007-06-20",8.755904
"118","2007-06-21",8.72102
"119","2007-06-22",8.554075
"120","2007-06-25",8.621351
"121","2007-06-26",8.686136
"122","2007-06-27",8.658727
"123","2007-06-28",8.641285
"124","2007-06-29",8.623843
"125","2007-07-02",8.581484
"126","2007-07-03",8.549091
"127","2007-07-05",8.519191
"128","2007-07-06",8.529158
"129","2007-07-09",8.439456
"130","2007-07-10",8.322345
"131","2007-07-11",8.31487
"132","2007-07-12",8.377163
