"","date","TLYS"
"1","2012-05-04",16.809999
"2","2012-05-07",17.049999
"3","2012-05-08",17
"4","2012-05-09",16.85
"5","2012-05-10",17.4
"6","2012-05-11",17.450001
"7","2012-05-14",18.15
"8","2012-05-15",18.48
"9","2012-05-16",18.469999
"10","2012-05-17",18.18
"11","2012-05-18",17.799999
"12","2012-05-21",17.040001
"13","2012-05-22",16.5
"14","2012-05-23",16.49
"15","2012-05-24",16.67
"16","2012-05-25",17.4
"17","2012-05-29",17.129999
"18","2012-05-30",15.68
"19","2012-05-31",16.280001
"20","2012-06-01",15.54
"21","2012-06-04",15.29
"22","2012-06-05",15.4
"23","2012-06-06",14.9
"24","2012-06-07",13.89
"25","2012-06-08",14.65
"26","2012-06-11",14.59
"27","2012-06-12",15.03
"28","2012-06-13",15.27
"29","2012-06-14",15.3
"30","2012-06-15",14.78
"31","2012-06-18",14.97
"32","2012-06-19",15.17
"33","2012-06-20",15.56
"34","2012-06-21",15.7
"35","2012-06-22",15.05
"36","2012-06-25",15.03
"37","2012-06-26",16.049999
"38","2012-06-27",15.99
"39","2012-06-28",15.67
"40","2012-06-29",16.049999
"41","2012-07-02",16.120001
"42","2012-07-03",16.139999
"43","2012-07-05",16.379999
"44","2012-07-06",16.370001
"45","2012-07-09",16.620001
"46","2012-07-10",16.76
"47","2012-07-11",16.559999
"48","2012-07-12",16.17
"49","2012-07-13",16.99
"50","2012-07-16",16.700001
"51","2012-07-17",16.76
"52","2012-07-18",16.65
"53","2012-07-19",16.65
"54","2012-07-20",16.790001
"55","2012-07-23",16.129999
"56","2012-07-24",16.030001
"57","2012-07-25",16.25
"58","2012-07-26",16.07
"59","2012-07-27",16.190001
"60","2012-07-30",16.530001
"61","2012-07-31",16.610001
"62","2012-08-01",16.35
"63","2012-08-02",15.95
"64","2012-08-03",16.059999
"65","2012-08-06",16.139999
"66","2012-08-07",16.24
"67","2012-08-08",16.17
"68","2012-08-09",16.139999
"69","2012-08-10",16.18
"70","2012-08-13",16.23
"71","2012-08-14",16.129999
"72","2012-08-15",16.110001
"73","2012-08-16",16.719999
"74","2012-08-17",16.23
"75","2012-08-20",16.09
"76","2012-08-21",15.82
"77","2012-08-22",16.58
"78","2012-08-23",18.120001
"79","2012-08-24",18.9
"80","2012-08-27",19.190001
"81","2012-08-28",18.969999
"82","2012-08-29",18.389999
"83","2012-08-30",18.32
"84","2012-08-31",18.34
"85","2012-09-04",18.370001
"86","2012-09-05",18.17
"87","2012-09-06",18.639999
"88","2012-09-07",18.23
"89","2012-09-10",18.040001
"90","2012-09-11",18.57
"91","2012-09-12",18.41
"92","2012-09-13",17.82
"93","2012-09-14",18.01
"94","2012-09-17",17.709999
"95","2012-09-18",17.469999
"96","2012-09-19",18.35
"97","2012-09-20",17.98
"98","2012-09-21",18.469999
"99","2012-09-24",18.42
"100","2012-09-25",17.879999
"101","2012-09-26",18.219999
"102","2012-09-27",18.43
"103","2012-09-28",18.33
"104","2012-10-01",17.959999
"105","2012-10-02",17.35
"106","2012-10-03",17.540001
"107","2012-10-04",18.040001
"108","2012-10-05",17.940001
"109","2012-10-08",17.629999
"110","2012-10-09",17.25
"111","2012-10-10",16.66
"112","2012-10-11",16.5
"113","2012-10-12",16.09
"114","2012-10-15",15.72
"115","2012-10-16",16.08
"116","2012-10-17",16.219999
"117","2012-10-18",16.57
"118","2012-10-19",16.25
"119","2012-10-22",16.48
"120","2012-10-23",16.5
"121","2012-10-24",16.790001
"122","2012-10-25",17
"123","2012-10-26",16.280001
"124","2012-10-31",16.139999
"125","2012-11-01",16.709999
"126","2012-11-02",16.48
"127","2012-11-05",16.73
"128","2012-11-06",16.41
"129","2012-11-07",15.9
"130","2012-11-08",15.52
"131","2012-11-09",15.76
"132","2012-11-12",15.8
"133","2012-11-13",16.110001
"134","2012-11-14",15.51
"135","2012-11-15",14.68
"136","2012-11-16",14.94
"137","2012-11-19",14.98
"138","2012-11-20",15.66
"139","2012-11-21",12.97
"140","2012-11-23",12.99
"141","2012-11-26",13.55
"142","2012-11-27",13.09
"143","2012-11-28",13.29
"144","2012-11-29",13.36
"145","2012-11-30",13.23
"146","2012-12-03",13.16
"147","2012-12-04",13.22
"148","2012-12-05",13.2
"149","2012-12-06",13.55
"150","2012-12-07",13.5
"151","2012-12-10",13.42
"152","2012-12-11",13.63
"153","2012-12-12",13.27
"154","2012-12-13",13.39
"155","2012-12-14",13.54
"156","2012-12-17",13.72
"157","2012-12-18",13.91
"158","2012-12-19",14.09
"159","2012-12-20",14.03
"160","2012-12-21",13.99
"161","2012-12-24",13.69
"162","2012-12-26",13.3
"163","2012-12-27",13.23
"164","2012-12-28",13.25
"165","2012-12-31",13.49
"166","2013-01-02",12.4
"167","2013-01-03",12.66
"168","2013-01-04",12.53
"169","2013-01-07",13.22
"170","2013-01-08",13.61
"171","2013-01-09",13.38
"172","2013-01-10",13.06
"173","2013-01-11",13.6
"174","2013-01-14",13.38
"175","2013-01-15",13.77
"176","2013-01-16",13.46
"177","2013-01-17",13.47
"178","2013-01-18",13.6
"179","2013-01-22",14.05
"180","2013-01-23",14.04
"181","2013-01-24",14.25
"182","2013-01-25",14.38
"183","2013-01-28",14.92
"184","2013-01-29",15.26
"185","2013-01-30",15.06
"186","2013-01-31",14.82
"187","2013-02-01",14.55
"188","2013-02-04",13.96
"189","2013-02-05",13.95
"190","2013-02-06",13.91
"191","2013-02-07",13.89
"192","2013-02-08",13.92
"193","2013-02-11",14.05
"194","2013-02-12",14.19
"195","2013-02-13",13.99
"196","2013-02-14",14.28
"197","2013-02-15",13.97
"198","2013-02-19",14.01
"199","2013-02-20",13.94
"200","2013-02-21",13.78
"201","2013-02-22",13.76
"202","2013-02-25",13.53
"203","2013-02-26",13.44
"204","2013-02-27",13.44
"205","2013-02-28",13.28
"206","2013-03-01",13.87
"207","2013-03-04",13.91
"208","2013-03-05",14.11
"209","2013-03-06",14.68
"210","2013-03-07",14
"211","2013-03-08",14.14
"212","2013-03-11",13.65
"213","2013-03-12",13.44
"214","2013-03-13",13.69
"215","2013-03-14",13.91
"216","2013-03-15",13.72
"217","2013-03-18",13.71
"218","2013-03-19",13.31
"219","2013-03-20",13.76
"220","2013-03-21",12.6
"221","2013-03-22",12.66
"222","2013-03-25",12.82
"223","2013-03-26",12.89
"224","2013-03-27",13.02
"225","2013-03-28",12.72
"226","2013-04-01",12.5
"227","2013-04-02",12.44
"228","2013-04-03",12.33
"229","2013-04-04",12.67
"230","2013-04-05",12.57
"231","2013-04-08",12.65
"232","2013-04-09",12.47
"233","2013-04-10",12.73
"234","2013-04-11",13.68
"235","2013-04-12",13.6
"236","2013-04-15",13.3
"237","2013-04-16",13.56
"238","2013-04-17",13.41
"239","2013-04-18",13.55
"240","2013-04-19",13.62
"241","2013-04-22",13.29
"242","2013-04-23",13.74
"243","2013-04-24",13.7
"244","2013-04-25",14.59
"245","2013-04-26",14.71
"246","2013-04-29",14.45
"247","2013-04-30",14.44
"248","2013-05-01",14.5
"249","2013-05-02",14.76
"250","2013-05-03",15.39
"251","2013-05-06",15.78
"252","2013-05-07",16.23
"253","2013-05-08",16.280001
"254","2013-05-09",16.18
"255","2013-05-10",16.18
"256","2013-05-13",16.02
"257","2013-05-14",16.23
"258","2013-05-15",16.58
"259","2013-05-16",16.610001
"260","2013-05-17",16.549999
"261","2013-05-20",16.76
"262","2013-05-21",16.58
"263","2013-05-22",16.440001
"264","2013-05-23",16.49
"265","2013-05-24",16.219999
"266","2013-05-28",16.110001
"267","2013-05-29",16.41
"268","2013-05-30",16.629999
"269","2013-05-31",16.52
"270","2013-06-03",16.24
"271","2013-06-04",16.23
