"","date","ARI"
"1","2009-09-24",18.5
"2","2009-09-25",18.83
"3","2009-09-28",18.5
"4","2009-09-29",18.48
"5","2009-09-30",18.299999
"6","2009-10-01",18.15
"7","2009-10-02",18.299999
"8","2009-10-05",18.41
"9","2009-10-06",18.450001
"10","2009-10-07",18.25
"11","2009-10-08",18.379999
"12","2009-10-09",18.219999
"13","2009-10-12",18.110001
"14","2009-10-13",18.450001
"15","2009-10-14",18.35
"16","2009-10-15",18.5
"17","2009-10-16",18.57
"18","2009-10-19",18.440001
"19","2009-10-20",18.4
"20","2009-10-21",18.32
"21","2009-10-22",18.450001
"22","2009-10-23",18.34
"23","2009-10-26",18.23
"24","2009-10-27",18.16
"25","2009-10-28",18.030001
"26","2009-10-29",18.08
"27","2009-10-30",17.91
"28","2009-11-02",17.780001
"29","2009-11-03",18.049999
"30","2009-11-04",18.25
"31","2009-11-05",18.209999
"32","2009-11-06",18.1
"33","2009-11-09",18.09
"34","2009-11-10",17.860001
"35","2009-11-11",17.98
"36","2009-11-12",17.74
"37","2009-11-13",17.77
"38","2009-11-16",17.75
"39","2009-11-17",17.700001
"40","2009-11-18",17.620001
"41","2009-11-19",17.620001
"42","2009-11-20",17.459999
"43","2009-11-23",17.42
"44","2009-11-24",17.52
"45","2009-11-25",17.4
"46","2009-11-27",17.280001
"47","2009-11-30",17.280001
"48","2009-12-01",17.4
"49","2009-12-02",17.43
"50","2009-12-03",17.469999
"51","2009-12-04",17.59
"52","2009-12-07",17.66
"53","2009-12-08",17.620001
"54","2009-12-09",17.709999
"55","2009-12-10",17.809999
"56","2009-12-11",17.76
"57","2009-12-14",17.91
"58","2009-12-15",17.93
"59","2009-12-16",17.93
"60","2009-12-17",17.92
"61","2009-12-18",18
"62","2009-12-21",17.950001
"63","2009-12-22",17.959999
"64","2009-12-23",18.120001
"65","2009-12-24",18.18
"66","2009-12-28",18.120001
"67","2009-12-29",18.129999
"68","2009-12-30",18.09
"69","2009-12-31",17.99
"70","2010-01-04",18.15
"71","2010-01-05",18.030001
"72","2010-01-06",18
"73","2010-01-07",18.030001
"74","2010-01-08",18.059999
"75","2010-01-11",18.07
"76","2010-01-12",17.959999
"77","2010-01-13",17.959999
"78","2010-01-14",17.950001
"79","2010-01-15",17.9
"80","2010-01-19",17.98
"81","2010-01-20",17.92
"82","2010-01-21",17.790001
"83","2010-01-22",17.73
"84","2010-01-25",17.6
"85","2010-01-26",17.67
"86","2010-01-27",17.57
"87","2010-01-28",17.52
"88","2010-01-29",17.67
"89","2010-02-01",17.549999
"90","2010-02-02",17.49
"91","2010-02-03",17.52
"92","2010-02-04",17.83
"93","2010-02-05",17.68
"94","2010-02-08",17.620001
"95","2010-02-09",17.65
"96","2010-02-10",17.52
"97","2010-02-11",17.65
"98","2010-02-12",17.860001
"99","2010-02-16",18
"100","2010-02-17",18
"101","2010-02-18",18
"102","2010-02-19",17.92
"103","2010-02-22",17.959999
"104","2010-02-23",17.91
"105","2010-02-24",17.719999
"106","2010-02-25",17.77
"107","2010-02-26",17.74
"108","2010-03-01",17.690001
"109","2010-03-02",17.700001
"110","2010-03-03",17.77
"111","2010-03-04",17.799999
"112","2010-03-05",18.030001
"113","2010-03-08",18.120001
"114","2010-03-09",18.1
"115","2010-03-10",18
"116","2010-03-11",18.15
