"","date","LMFA"
"1","2015-12-17",90.599998
"2","2015-12-18",90.099998
"3","2015-12-21",90
"4","2015-12-22",90
"5","2015-12-23",90
"6","2015-12-24",89.900002
"7","2015-12-28",89.510002
"8","2015-12-29",89.5
"9","2015-12-30",89.099998
"10","2015-12-31",88.900002
"11","2016-01-04",85
"12","2016-01-05",89.900002
"13","2016-01-06",90.099998
"14","2016-01-07",85
"15","2016-01-08",85.129997
"16","2016-01-11",87.5
"17","2016-01-12",85
"18","2016-01-13",86.900002
"19","2016-01-14",88
"20","2016-01-15",87.5
"21","2016-01-19",89
"22","2016-01-20",86.5
"23","2016-01-21",85
"24","2016-01-22",88.300003
"25","2016-01-25",84.599998
"26","2016-01-26",82.050003
"27","2016-01-27",80.300003
"28","2016-01-28",82
"29","2016-01-29",88
"30","2016-02-01",87.239998
"31","2016-02-02",84.400002
"32","2016-02-03",81
"33","2016-02-04",86.400002
"34","2016-02-05",89.699997
"35","2016-02-08",84.900002
"36","2016-02-09",80.800003
"37","2016-02-10",83.199997
"38","2016-02-11",80.900002
"39","2016-02-12",81
"40","2016-02-16",86.699997
"41","2016-02-17",90.099998
"42","2016-02-18",82.099998
"43","2016-02-19",82.400002
"44","2016-02-22",85.099998
"45","2016-02-23",80.900002
"46","2016-02-24",81
"47","2016-02-25",80.099998
"48","2016-02-26",80.900002
"49","2016-02-29",80.400002
"50","2016-03-01",85.099998
"51","2016-03-02",85
"52","2016-03-03",86.959999
"53","2016-03-04",87.099998
"54","2016-03-07",88.400002
"55","2016-03-08",88
"56","2016-03-09",88
"57","2016-03-10",88.5
"58","2016-03-11",87.900002
"59","2016-03-14",90
"60","2016-03-15",90
"61","2016-03-16",90
"62","2016-03-17",90.800003
"63","2016-03-18",84
"64","2016-03-21",85.300003
"65","2016-03-22",82.699997
"66","2016-03-23",83.699997
"67","2016-03-24",84
"68","2016-03-28",83.300003
"69","2016-03-29",82.599998
"70","2016-03-30",81.099998
"71","2016-03-31",81.900002
