"","date","BPRN"
"1","2017-05-31",32.610001
"2","2017-06-01",33
"3","2017-06-02",33
"4","2017-06-05",33
"5","2017-06-06",33
"6","2017-06-07",33
"7","2017-06-08",33
"8","2017-06-09",33
"9","2017-06-12",33
"10","2017-06-13",33
"11","2017-06-14",33
"12","2017-06-15",33
"13","2017-06-16",33
"14","2017-06-19",33
"15","2017-06-20",33
"16","2017-06-21",33
"17","2017-06-22",33
"18","2017-06-23",33
"19","2017-06-26",33
"20","2017-06-27",33
"21","2017-06-28",33
"22","2017-06-29",33
"23","2017-06-30",33
"24","2017-07-03",33
"25","2017-07-05",33
"26","2017-07-06",33
"27","2017-07-07",33
"28","2017-07-10",33
"29","2017-07-11",33
"30","2017-07-12",33
"31","2017-07-13",33
"32","2017-07-14",33
"33","2017-07-17",33
"34","2017-07-18",33
"35","2017-07-19",33
"36","2017-07-20",33
"37","2017-07-21",33
"38","2017-07-24",33.25
"39","2017-07-25",33.5
"40","2017-07-26",33.5
"41","2017-07-27",33.5
"42","2017-07-28",33.5
"43","2017-07-31",38.25
"44","2017-08-01",33.259998
"45","2017-08-02",32.919998
"46","2017-08-03",32.25
"47","2017-08-04",32
"48","2017-08-07",31.9
"49","2017-08-08",31.9
"50","2017-08-09",31.6
"51","2017-08-10",31.700001
"52","2017-08-11",31.91
"53","2017-08-14",31.9
"54","2017-08-15",32.119999
"55","2017-08-16",32.049999
"56","2017-08-17",32
"57","2017-08-18",32.5
"58","2017-08-21",32.25
"59","2017-08-22",32
"60","2017-08-23",32
"61","2017-08-24",32.400002
"62","2017-08-25",32.25
"63","2017-08-28",32.5
"64","2017-08-29",32.5
"65","2017-08-30",32.5
"66","2017-08-31",31.700001
"67","2017-09-01",31.1
"68","2017-09-05",32.299999
"69","2017-09-06",32.299999
"70","2017-09-07",31.4
"71","2017-09-08",31.6
"72","2017-09-11",31.950001
"73","2017-09-12",32.029999
"74","2017-09-13",31.6
"75","2017-09-14",31.32
"76","2017-09-15",29.99
"77","2017-09-18",30.25
"78","2017-09-19",30.26
"79","2017-09-20",30.440001
"80","2017-09-21",31
"81","2017-09-22",31.4
"82","2017-09-25",30.540001
"83","2017-09-26",30.559999
"84","2017-09-27",31.389999
"85","2017-09-28",31.48
"86","2017-09-29",31.99
"87","2017-10-02",32.099998
"88","2017-10-03",31.1
"89","2017-10-04",32.099998
"90","2017-10-05",32.099998
"91","2017-10-06",32.099998
