"","date","VIR"
"1","2019-10-11",14.02
"2","2019-10-14",13.79
"3","2019-10-15",14.26
"4","2019-10-16",14.8
"5","2019-10-17",14.22
"6","2019-10-18",13.66
"7","2019-10-21",14.41
"8","2019-10-22",14.37
"9","2019-10-23",14.5
"10","2019-10-24",14.3
"11","2019-10-25",14.64
"12","2019-10-28",15.15
"13","2019-10-29",14.81
"14","2019-10-30",14.43
"15","2019-10-31",14.1
"16","2019-11-01",15
"17","2019-11-04",15.75
"18","2019-11-05",15.85
"19","2019-11-06",14.63
"20","2019-11-07",14.53
"21","2019-11-08",13.83
"22","2019-11-11",13.27
"23","2019-11-12",13.15
"24","2019-11-13",13.06
"25","2019-11-14",13.1
"26","2019-11-15",13.02
"27","2019-11-18",12.85
"28","2019-11-19",12.85
"29","2019-11-20",12.47
"30","2019-11-21",12.81
"31","2019-11-22",12.79
"32","2019-11-25",12.37
"33","2019-11-26",11.83
"34","2019-11-27",11.9
"35","2019-11-29",11.95
"36","2019-12-02",13.2
"37","2019-12-03",13.07
"38","2019-12-04",13.6
"39","2019-12-05",13.02
"40","2019-12-06",12.62
"41","2019-12-09",12.88
"42","2019-12-10",12.76
"43","2019-12-11",12.94
"44","2019-12-12",12.98
"45","2019-12-13",13.66
"46","2019-12-16",12.52
"47","2019-12-17",12.57
"48","2019-12-18",12.38
"49","2019-12-19",12.37
"50","2019-12-20",12.27
"51","2019-12-23",12.53
"52","2019-12-24",12.62
"53","2019-12-26",12.68
"54","2019-12-27",12.37
"55","2019-12-30",12.12
"56","2019-12-31",12.575
"57","2020-01-02",12.15
"58","2020-01-03",12.04
"59","2020-01-06",12.19
"60","2020-01-07",12.18
"61","2020-01-08",12.43
"62","2020-01-09",12.64
"63","2020-01-10",12.84
"64","2020-01-13",13.22
"65","2020-01-14",14.55
"66","2020-01-15",15.26
"67","2020-01-16",17.17
"68","2020-01-17",16.379999
"69","2020-01-21",16.469999
"70","2020-01-22",16.49
"71","2020-01-23",16.98
"72","2020-01-24",19.950001
"73","2020-01-27",24.775
"74","2020-01-28",21.309999
"75","2020-01-29",22.469999
"76","2020-01-30",23.530001
"77","2020-01-31",26.629999
"78","2020-02-03",22.805
"79","2020-02-04",21.24
"80","2020-02-05",20.92
"81","2020-02-06",19.23
"82","2020-02-07",20.469999
"83","2020-02-10",20.02
"84","2020-02-11",18.24
"85","2020-02-12",18.99
"86","2020-02-13",17.059999
"87","2020-02-14",17.379999
"88","2020-02-18",17.530001
"89","2020-02-19",17.1
"90","2020-02-20",16.91
"91","2020-02-21",16.26
"92","2020-02-24",18.959999
"93","2020-02-25",21.73
"94","2020-02-26",34.974998
"95","2020-02-27",60.200001
"96","2020-02-28",46.5
"97","2020-03-02",45
"98","2020-03-03",40.970001
"99","2020-03-04",44.900002
"100","2020-03-05",43.779999
"101","2020-03-06",45.700001
"102","2020-03-09",39
"103","2020-03-10",29.91
"104","2020-03-11",33.77
"105","2020-03-12",37.599998
"106","2020-03-13",43.66
"107","2020-03-16",45.759998
"108","2020-03-17",50.259998
"109","2020-03-18",49.18
"110","2020-03-19",42.810001
"111","2020-03-20",39.759998
"112","2020-03-23",36.610001
"113","2020-03-24",32.75
"114","2020-03-25",30.75
"115","2020-03-26",32
"116","2020-03-27",34.299999
"117","2020-03-30",35.5
"118","2020-03-31",34.27
"119","2020-04-01",29.77
"120","2020-04-02",29.26
"121","2020-04-03",29
"122","2020-04-06",36.700001
"123","2020-04-07",32.09
"124","2020-04-08",29.1
"125","2020-04-09",29.5
"126","2020-04-13",29.9
"127","2020-04-14",29.5
"128","2020-04-15",29.27
"129","2020-04-16",29.33
"130","2020-04-17",29.35
