"","date","MRTX"
"1","2013-07-15",7.05
"2","2013-07-16",8.01
"3","2013-07-17",8.5
"4","2013-07-18",9.2
"5","2013-07-19",9
"6","2013-07-22",10
"7","2013-07-23",9.5
"8","2013-07-24",9.01
"9","2013-07-25",9
"10","2013-07-26",8.5
"11","2013-07-29",8.5
"12","2013-07-30",8.25
"13","2013-07-31",8.25
"14","2013-08-01",8.5
"15","2013-08-02",8.3
"16","2013-08-05",8.42
"17","2013-08-06",8.48
"18","2013-08-07",8.4
"19","2013-08-08",8.49
"20","2013-08-09",8.29
"21","2013-08-12",8.4
"22","2013-08-13",8.5
"23","2013-08-14",8.5
"24","2013-08-15",9.05
"25","2013-08-16",8.95
"26","2013-08-19",9
"27","2013-08-20",8.6
"28","2013-08-21",8.5
"29","2013-08-22",8.44
"30","2013-08-23",8.44
"31","2013-08-26",8.43
"32","2013-08-27",8.5
"33","2013-08-28",8.4
"34","2013-08-29",8.4
"35","2013-08-30",8.15
"36","2013-09-03",8.5
"37","2013-09-04",8.5
"38","2013-09-05",8.5
"39","2013-09-06",8.5
"40","2013-09-09",8.49
"41","2013-09-10",8.49
"42","2013-09-11",8.73
"43","2013-09-12",9.07
"44","2013-09-13",9.99
"45","2013-09-16",13.7
"46","2013-09-17",14
"47","2013-09-18",15.79
"48","2013-09-19",16.25
"49","2013-09-20",14.51
"50","2013-09-23",15.39
"51","2013-09-24",13.53
"52","2013-09-25",13.95
"53","2013-09-26",14.1
"54","2013-09-27",13.95
"55","2013-09-30",15.15
"56","2013-10-01",17.66
"57","2013-10-02",18.48
"58","2013-10-03",18.25
"59","2013-10-04",19.200001
"60","2013-10-07",18.75
"61","2013-10-08",17.940001
"62","2013-10-09",17.59
"63","2013-10-10",18
"64","2013-10-11",17
"65","2013-10-14",16.41
"66","2013-10-15",16.26
"67","2013-10-16",16.42
"68","2013-10-17",17.25
"69","2013-10-18",17.799999
"70","2013-10-21",18.16
"71","2013-10-22",18.200001
"72","2013-10-23",18.129999
"73","2013-10-24",17.469999
"74","2013-10-25",17.26
"75","2013-10-28",17.5
"76","2013-10-29",17.4
"77","2013-10-30",17.200001
"78","2013-10-31",16.85
"79","2013-11-01",17.15
"80","2013-11-04",17.41
"81","2013-11-05",17.200001
"82","2013-11-06",16.85
"83","2013-11-07",15.83
"84","2013-11-08",15.79
"85","2013-11-11",15.84
"86","2013-11-12",16.690001
"87","2013-11-13",17
"88","2013-11-14",17.51
"89","2013-11-15",17.370001
"90","2013-11-18",17.4
"91","2013-11-19",17.25
"92","2013-11-20",16.6
"93","2013-11-21",17.049999
"94","2013-11-22",17.24
"95","2013-11-25",16.969999
"96","2013-11-26",16.99
"97","2013-11-27",17
"98","2013-11-29",16.73
"99","2013-12-02",16.75
"100","2013-12-03",16.610001
"101","2013-12-04",16.6
"102","2013-12-05",16.639999
"103","2013-12-06",16.530001
"104","2013-12-09",16.129999
"105","2013-12-10",17
"106","2013-12-11",17.16
"107","2013-12-12",17.049999
"108","2013-12-13",16.700001
"109","2013-12-16",16.709999
"110","2013-12-17",16.639999
"111","2013-12-18",16.559999
"112","2013-12-19",16.77
"113","2013-12-20",17.200001
"114","2013-12-23",16.629999
"115","2013-12-24",16.93
"116","2013-12-26",16.360001
"117","2013-12-27",16.799999
"118","2013-12-30",16.719999
"119","2013-12-31",16.629999
"120","2014-01-02",16.98
"121","2014-01-03",18
"122","2014-01-06",17.040001
"123","2014-01-07",16.98
"124","2014-01-08",17.700001
"125","2014-01-09",18.24
"126","2014-01-10",18.209999
"127","2014-01-13",19.969999
"128","2014-01-14",19.969999
"129","2014-01-15",21.59
"130","2014-01-16",21.75
"131","2014-01-17",22.040001
"132","2014-01-21",18.799999
"133","2014-01-22",21.4
"134","2014-01-23",21.84
"135","2014-01-24",21.809999
"136","2014-01-27",21.639999
"137","2014-01-28",20.309999
"138","2014-01-29",19.799999
"139","2014-01-30",20.92
"140","2014-01-31",20.82
"141","2014-02-03",21.02
"142","2014-02-04",20.18
"143","2014-02-05",20.9
"144","2014-02-06",21
"145","2014-02-07",20.950001
"146","2014-02-10",21.51
"147","2014-02-11",21.93
"148","2014-02-12",22
"149","2014-02-13",21.9
"150","2014-02-14",20.43
"151","2014-02-18",21
"152","2014-02-19",20.809999
"153","2014-02-20",21.389999
"154","2014-02-21",21.620001
"155","2014-02-24",23.280001
"156","2014-02-25",24.690001
"157","2014-02-26",24.799999
"158","2014-02-27",24.75
"159","2014-02-28",24.33
"160","2014-03-03",22.889999
"161","2014-03-04",22.99
"162","2014-03-05",22.530001
"163","2014-03-06",20.99
"164","2014-03-07",21
"165","2014-03-10",20.76
"166","2014-03-11",20.91
"167","2014-03-12",21.09
"168","2014-03-13",21
"169","2014-03-14",21.620001
"170","2014-03-17",21.02
"171","2014-03-18",21.34
"172","2014-03-19",21.27
"173","2014-03-20",21.299999
