"","date","FN"
"1","2010-06-25",10.75
"2","2010-06-28",10.76
"3","2010-06-29",10.76
"4","2010-06-30",10.7
"5","2010-07-01",10.67
"6","2010-07-02",10.76
"7","2010-07-06",10.89
"8","2010-07-07",11.06
"9","2010-07-08",11.02
"10","2010-07-09",11
"11","2010-07-12",10.84
"12","2010-07-13",10.75
"13","2010-07-14",10.61
"14","2010-07-15",10.68
"15","2010-07-16",10.83
"16","2010-07-19",10.99
"17","2010-07-20",10.84
"18","2010-07-21",10.74
"19","2010-07-22",10.77
"20","2010-07-23",10.5
"21","2010-07-26",10.17
"22","2010-07-27",10.02
"23","2010-07-28",10.07
"24","2010-07-29",10.3
"25","2010-07-30",10.16
"26","2010-08-02",10.02
"27","2010-08-03",9.9
"28","2010-08-04",10.83
"29","2010-08-05",11.07
"30","2010-08-06",11.25
"31","2010-08-09",11.74
"32","2010-08-10",13.09
"33","2010-08-11",13.61
"34","2010-08-12",14.3
"35","2010-08-13",15.45
"36","2010-08-16",15.59
"37","2010-08-17",15.21
"38","2010-08-18",15.74
"39","2010-08-19",15.17
"40","2010-08-20",13.85
"41","2010-08-23",13.77
"42","2010-08-24",12.42
"43","2010-08-25",11.85
"44","2010-08-26",11.24
"45","2010-08-27",12.39
"46","2010-08-30",12.56
"47","2010-08-31",12.21
"48","2010-09-01",12.52
"49","2010-09-02",12.67
"50","2010-09-03",14.04
"51","2010-09-07",13.93
"52","2010-09-08",13.98
"53","2010-09-09",14.12
"54","2010-09-10",14
"55","2010-09-13",14.01
"56","2010-09-14",13.7
"57","2010-09-15",14.63
"58","2010-09-16",16.17
"59","2010-09-17",15.66
"60","2010-09-20",15.7
"61","2010-09-21",15.8
"62","2010-09-22",15
"63","2010-09-23",13.74
"64","2010-09-24",14.52
"65","2010-09-27",15.65
"66","2010-09-28",15.7
"67","2010-09-29",15.46
"68","2010-09-30",15.82
"69","2010-10-01",16.41
"70","2010-10-04",16.77
"71","2010-10-05",16.709999
"72","2010-10-06",15.39
"73","2010-10-07",15.11
"74","2010-10-08",15.06
"75","2010-10-11",15.38
"76","2010-10-12",16.23
"77","2010-10-13",16.83
"78","2010-10-14",18.17
"79","2010-10-15",19.190001
"80","2010-10-18",18.809999
"81","2010-10-19",17.49
"82","2010-10-20",17.75
"83","2010-10-21",16.879999
"84","2010-10-22",16.629999
"85","2010-10-25",16.299999
"86","2010-10-26",15.98
"87","2010-10-27",15.99
"88","2010-10-28",13.86
"89","2010-10-29",14.08
"90","2010-11-01",13.42
"91","2010-11-02",15.33
"92","2010-11-03",15.25
"93","2010-11-04",15.05
"94","2010-11-05",15.02
"95","2010-11-08",15.26
"96","2010-11-09",16.200001
"97","2010-11-10",17.190001
"98","2010-11-11",18
"99","2010-11-12",18.969999
"100","2010-11-15",19.700001
"101","2010-11-16",17.01
"102","2010-11-17",16.49
"103","2010-11-18",16.530001
"104","2010-11-19",16.559999
"105","2010-11-22",17.48
"106","2010-11-23",18
"107","2010-11-24",18.459999
"108","2010-11-26",17.139999
"109","2010-11-29",18.049999
"110","2010-11-30",17.24
"111","2010-12-01",16.51
"112","2010-12-02",16.41
"113","2010-12-03",17.030001
"114","2010-12-06",17.379999
"115","2010-12-07",17.41
"116","2010-12-08",18.18
"117","2010-12-09",19.93
"118","2010-12-10",19.32
"119","2010-12-13",20.200001
"120","2010-12-14",21.07
"121","2010-12-15",21.280001
"122","2010-12-16",21.360001
"123","2010-12-17",21.26
"124","2010-12-20",21.620001
"125","2010-12-21",21.709999
"126","2010-12-22",21.09
"127","2010-12-23",21.049999
"128","2010-12-27",21.040001
"129","2010-12-28",21.6
"130","2010-12-29",20.790001
"131","2010-12-30",21.059999
"132","2010-12-31",21.5
"133","2011-01-03",21.83
"134","2011-01-04",21.629999
"135","2011-01-05",21.870001
"136","2011-01-06",21.84
"137","2011-01-07",22.190001
"138","2011-01-10",23.440001
"139","2011-01-11",23.610001
"140","2011-01-12",24.040001
"141","2011-01-13",25.049999
"142","2011-01-14",25.5
"143","2011-01-18",25.049999
"144","2011-01-19",23.4
"145","2011-01-20",23.299999
"146","2011-01-21",22.4
"147","2011-01-24",21.98
"148","2011-01-25",22.73
"149","2011-01-26",22.6
"150","2011-01-27",22.209999
"151","2011-01-28",24.110001
"152","2011-01-31",23.950001
"153","2011-02-01",25.77
"154","2011-02-02",26.290001
"155","2011-02-03",26.16
"156","2011-02-04",28.440001
"157","2011-02-07",27.379999
"158","2011-02-08",27.02
"159","2011-02-09",27.790001
"160","2011-02-10",27.83
"161","2011-02-11",30
"162","2011-02-14",30.83
"163","2011-02-15",31.25
"164","2011-02-16",31.02
"165","2011-02-17",31.65
"166","2011-02-18",31.540001
"167","2011-02-22",27.98
"168","2011-02-23",27.799999
"169","2011-02-24",27.66
"170","2011-02-25",28.99
"171","2011-02-28",29.23
"172","2011-03-01",29.02
"173","2011-03-02",28.459999
"174","2011-03-03",29.540001
"175","2011-03-04",29
"176","2011-03-07",27
"177","2011-03-08",27.1
"178","2011-03-09",20.49
"179","2011-03-10",21.02
"180","2011-03-11",20.09
"181","2011-03-14",20.719999
"182","2011-03-15",21.049999
"183","2011-03-16",20.6
