"","date","FLMN"
"1","2017-10-30",9.58
"2","2017-10-31",9.58
"3","2017-11-01",9.58
"4","2017-11-02",9.58
"5","2017-11-03",9.58
"6","2017-11-06",9.58
"7","2017-11-07",9.58
"8","2017-11-08",9.58
"9","2017-11-09",9.58
"10","2017-11-10",9.58
"11","2017-11-13",9.6
"12","2017-11-14",9.6
"13","2017-11-15",9.6
"14","2017-11-16",9.6
"15","2017-11-17",9.6
"16","2017-11-20",9.6
"17","2017-11-21",9.6
"18","2017-11-22",9.6
"19","2017-11-24",9.6
"20","2017-11-27",9.6
"21","2017-11-28",9.6
"22","2017-11-29",9.6
"23","2017-11-30",9.6
"24","2017-12-01",9.6
"25","2017-12-04",9.6
"26","2017-12-05",9.6
"27","2017-12-06",9.6
"28","2017-12-07",9.6
"29","2017-12-08",9.6
"30","2017-12-11",9.6
"31","2017-12-12",9.6
"32","2017-12-13",9.6
"33","2017-12-14",9.6
"34","2017-12-15",9.6
"35","2017-12-18",9.6
"36","2017-12-19",9.6
"37","2017-12-20",9.6
"38","2017-12-21",9.6
"39","2017-12-22",9.6
"40","2017-12-26",9.6
"41","2017-12-27",9.6
"42","2017-12-28",9.6
"43","2017-12-29",9.6
"44","2018-01-02",9.6
"45","2018-01-03",9.6
"46","2018-01-04",9.6
"47","2018-01-05",9.65
"48","2018-01-08",9.65
"49","2018-01-09",9.7
"50","2018-01-10",9.7
"51","2018-01-11",9.65
"52","2018-01-12",9.65
"53","2018-01-16",9.65
"54","2018-01-17",9.65
"55","2018-01-18",9.65
"56","2018-01-19",9.7
"57","2018-01-22",9.7
"58","2018-01-23",9.7
"59","2018-01-24",9.63
"60","2018-01-25",9.63
"61","2018-01-26",9.63
"62","2018-01-29",9.63
"63","2018-01-30",9.63
"64","2018-01-31",9.62
"65","2018-02-01",9.75
"66","2018-02-02",9.79
"67","2018-02-05",9.79
"68","2018-02-06",9.8
"69","2018-02-07",9.6
"70","2018-02-08",9.62
"71","2018-02-09",9.62
"72","2018-02-12",9.63
"73","2018-02-13",9.63
"74","2018-02-14",9.7
"75","2018-02-15",9.62
"76","2018-02-16",9.623
"77","2018-02-20",9.62
"78","2018-02-21",9.62
"79","2018-02-22",9.62
"80","2018-02-23",9.62
"81","2018-02-26",9.62
"82","2018-02-27",9.62
"83","2018-02-28",9.62
"84","2018-03-01",9.654
"85","2018-03-02",9.63
"86","2018-03-05",9.63
"87","2018-03-06",9.63
"88","2018-03-07",9.63
