"","date","VC"
"1","2010-10-05",57.950001
"2","2010-10-06",57
"3","2010-10-07",57.869999
"4","2010-10-08",58.299999
"5","2010-10-11",58.049999
"6","2010-10-12",60.25
"7","2010-10-13",61.950001
"8","2010-10-14",63
"9","2010-10-15",63
"10","2010-10-18",63
"11","2010-10-19",62.490002
"12","2010-10-20",62.5
"13","2010-10-21",60
"14","2010-10-22",60.75
"15","2010-10-25",62.400002
"16","2010-10-26",65
"17","2010-10-27",64
"18","2010-10-28",64
"19","2010-10-29",62.900002
"20","2010-11-01",63.189999
"21","2010-11-02",62.950001
"22","2010-11-03",63
"23","2010-11-04",65
"24","2010-11-05",64.980003
"25","2010-11-08",65.25
"26","2010-11-09",64.5
"27","2010-11-10",65.75
"28","2010-11-11",66.349998
"29","2010-11-12",65.599998
"30","2010-11-15",65.25
"31","2010-11-16",64.449997
"32","2010-11-17",64.199997
"33","2010-11-18",65
"34","2010-11-19",64.779999
"35","2010-11-22",64.599998
"36","2010-11-23",63.25
"37","2010-11-24",63.099998
"38","2010-11-26",63.25
"39","2010-11-29",61.5
"40","2010-11-30",60.549999
"41","2010-12-01",61.599998
"42","2010-12-02",63.099998
"43","2010-12-03",63.799999
"44","2010-12-06",64.25
"45","2010-12-07",65.25
"46","2010-12-08",64.75
"47","2010-12-09",64.879997
"48","2010-12-10",64.900002
"49","2010-12-13",64.949997
"50","2010-12-14",65.839996
"51","2010-12-15",64.800003
"52","2010-12-16",64.949997
"53","2010-12-17",67
"54","2010-12-20",68.5
"55","2010-12-21",70.75
"56","2010-12-22",71.629997
"57","2010-12-23",73.75
"58","2010-12-27",73.75
"59","2010-12-28",73.5
"60","2010-12-29",74.150002
"61","2010-12-30",74.150002
"62","2010-12-31",74.25
"63","2011-01-03",71.800003
"64","2011-01-04",71.300003
"65","2011-01-05",71.349998
"66","2011-01-06",72.150002
"67","2011-01-07",75.5
"68","2011-01-10",75.5
"69","2011-01-11",75.5
"70","2011-01-12",74.760002
"71","2011-01-13",73.830002
"72","2011-01-14",72.5
"73","2011-01-18",72.199997
"74","2011-01-19",69.849998
"75","2011-01-20",71.169998
"76","2011-01-21",73.349998
"77","2011-01-24",72.5
"78","2011-01-25",72.029999
"79","2011-01-26",71.900002
"80","2011-01-27",72.540001
"81","2011-01-28",69.68
"82","2011-01-31",70.239998
"83","2011-02-01",70
"84","2011-02-02",68.699997
"85","2011-02-03",69.949997
"86","2011-02-04",71
"87","2011-02-07",71.839996
"88","2011-02-08",72.18
"89","2011-02-09",71.800003
"90","2011-02-10",70.800003
"91","2011-02-11",70.870003
"92","2011-02-14",71.099998
"93","2011-02-15",71.599998
"94","2011-02-16",71.849998
"95","2011-02-17",73.379997
"96","2011-02-18",74.730003
"97","2011-02-22",73.760002
"98","2011-02-23",72.599998
"99","2011-02-24",71.970001
"100","2011-02-25",73.25
"101","2011-02-28",73.949997
"102","2011-03-01",73.669998
"103","2011-03-02",74.010002
"104","2011-03-03",75.089996
"105","2011-03-04",74.989998
"106","2011-03-07",74.290001
"107","2011-03-08",73.699997
"108","2011-03-09",66.889999
"109","2011-03-10",61.540001
"110","2011-03-11",65.160004
"111","2011-03-14",63.540001
"112","2011-03-15",63.16
"113","2011-03-16",62.900002
"114","2011-03-17",62.93
"115","2011-03-18",63.959999
"116","2011-03-21",64.220001
"117","2011-03-22",63.349998
"118","2011-03-23",62.380001
"119","2011-03-24",62.009998
"120","2011-03-25",62.549999
"121","2011-03-28",62.07
"122","2011-03-29",62.57
"123","2011-03-30",62.290001
"124","2011-03-31",62.490002
"125","2011-04-01",62.529999
"126","2011-04-04",64
"127","2011-04-05",65.220001
"128","2011-04-06",65.410004
"129","2011-04-07",64.370003
"130","2011-04-08",64.089996
"131","2011-04-11",62.869999
"132","2011-04-12",62.400002
"133","2011-04-13",61.91
"134","2011-04-14",62.110001
"135","2011-04-15",62.639999
