"","date","ICLK"
"1","2017-12-21",8
"2","2017-12-22",9
"3","2017-12-26",9.94
"4","2017-12-27",9.5
"5","2017-12-28",9.42
"6","2017-12-29",9.05
"7","2018-01-02",9.5
"8","2018-01-03",9.87
"9","2018-01-04",9.9
"10","2018-01-05",9.6
"11","2018-01-08",9.5
"12","2018-01-09",9.45
"13","2018-01-10",9.36
"14","2018-01-11",8.71
"15","2018-01-12",8.74
"16","2018-01-16",8
"17","2018-01-17",8.11
"18","2018-01-18",7.38
"19","2018-01-19",7.2
"20","2018-01-22",7.23
"21","2018-01-23",7.02
"22","2018-01-24",7.17
"23","2018-01-25",7.2
"24","2018-01-26",7.36
"25","2018-01-29",7.86
"26","2018-01-30",7.805
"27","2018-01-31",7.81
"28","2018-02-01",7.13
"29","2018-02-02",6.9
"30","2018-02-05",6.22
"31","2018-02-06",6.46
"32","2018-02-07",6.26
"33","2018-02-08",6.05
"34","2018-02-09",5.2
"35","2018-02-12",5.6
"36","2018-02-13",5.7
"37","2018-02-14",6.12
"38","2018-02-15",6.19
"39","2018-02-16",6.09
"40","2018-02-20",6
"41","2018-02-21",6.27
"42","2018-02-22",6.08
"43","2018-02-23",6.08
"44","2018-02-26",6.16
"45","2018-02-27",6.17
"46","2018-02-28",6.8
"47","2018-03-01",6.92
"48","2018-03-02",6.741
"49","2018-03-05",6.65
"50","2018-03-06",6.91
"51","2018-03-07",7.4
"52","2018-03-08",7.63
"53","2018-03-09",7.57
"54","2018-03-12",7.9
"55","2018-03-13",8.03
"56","2018-03-14",8.3
"57","2018-03-15",8.43
"58","2018-03-16",8.08
"59","2018-03-19",7.8
"60","2018-03-20",8.33
"61","2018-03-21",7.99
"62","2018-03-22",7.96
"63","2018-03-23",7.78
"64","2018-03-26",8.05
"65","2018-03-27",7.65
"66","2018-03-28",7.6
"67","2018-03-29",7.78
"68","2018-04-02",7.91
"69","2018-04-03",7.5
"70","2018-04-04",7.42
"71","2018-04-05",7.36
"72","2018-04-06",7.85
"73","2018-04-09",8.08
"74","2018-04-10",7.91
"75","2018-04-11",7.55
"76","2018-04-12",7.58
"77","2018-04-13",7.58
"78","2018-04-16",7.45
"79","2018-04-17",7.51
"80","2018-04-18",7.73
"81","2018-04-19",7.77
"82","2018-04-20",7.3
"83","2018-04-23",7.31
"84","2018-04-24",7.44
"85","2018-04-25",7.55
"86","2018-04-26",7.5
"87","2018-04-27",7.5
"88","2018-04-30",8.09
"89","2018-05-01",7.75
"90","2018-05-02",7.72
"91","2018-05-03",7.81
"92","2018-05-04",7.55
"93","2018-05-07",7.53
"94","2018-05-08",7.4
"95","2018-05-09",7.32
"96","2018-05-10",7.25
"97","2018-05-11",7.65
"98","2018-05-14",7.55
"99","2018-05-15",7.13
"100","2018-05-16",7.2
"101","2018-05-17",7.11
"102","2018-05-18",7.35
"103","2018-05-21",7.35
"104","2018-05-22",7.73
"105","2018-05-23",7.79
"106","2018-05-24",8.23
"107","2018-05-25",8.1
"108","2018-05-29",8.44
"109","2018-05-30",7.9
"110","2018-05-31",8.03
"111","2018-06-01",8.08
"112","2018-06-04",7.92
"113","2018-06-05",7.96
"114","2018-06-06",7.91
"115","2018-06-07",7.97
"116","2018-06-08",7.87
"117","2018-06-11",7.86
"118","2018-06-12",7.68
"119","2018-06-13",7.19
"120","2018-06-14",7.29
"121","2018-06-15",7.16
"122","2018-06-18",7.29
"123","2018-06-19",7.1
"124","2018-06-20",7.15
"125","2018-06-21",7.16
"126","2018-06-22",7.15
"127","2018-06-25",6.44
"128","2018-06-26",5.46
"129","2018-06-27",5.745
"130","2018-06-28",5.79
"131","2018-06-29",6.35
"132","2018-07-02",6.22
"133","2018-07-03",6.27
"134","2018-07-05",6.35
"135","2018-07-06",6.4
"136","2018-07-09",6.33
"137","2018-07-10",6.31
"138","2018-07-11",6.28
"139","2018-07-12",6.28
"140","2018-07-13",6.54
"141","2018-07-16",6.59
"142","2018-07-17",6.98
"143","2018-07-18",6.52
