"","date","LANDP"
"1","2016-08-19",25.700001
"2","2016-08-22",26.02
"3","2016-08-23",26.08
"4","2016-08-24",26
"5","2016-08-25",26.163
"6","2016-08-26",26.08
"7","2016-08-29",26.049999
"8","2016-08-30",26.450001
"9","2016-08-31",26.389999
"10","2016-09-01",26.4
"11","2016-09-02",26.35
"12","2016-09-06",26.049999
"13","2016-09-07",26.030001
"14","2016-09-08",26.07
"15","2016-09-09",26.018
"16","2016-09-12",25.879999
"17","2016-09-13",25.9
"18","2016-09-14",26.25
"19","2016-09-15",26.194
"20","2016-09-16",26.003
"21","2016-09-19",25.948999
"22","2016-09-20",25.858999
"23","2016-09-21",25.799999
"24","2016-09-22",25.915001
"25","2016-09-23",25.93
"26","2016-09-26",25.93
"27","2016-09-27",25.92
"28","2016-09-28",25.75
"29","2016-09-29",25.985001
"30","2016-09-30",25.799999
"31","2016-10-03",25.77
"32","2016-10-04",25.700001
"33","2016-10-05",25.860001
"34","2016-10-06",26.075001
"35","2016-10-07",25.799999
"36","2016-10-10",25.799999
"37","2016-10-11",25.92
"38","2016-10-12",25.92
"39","2016-10-13",25.764999
"40","2016-10-14",25.77
"41","2016-10-17",26.124001
"42","2016-10-18",25.940001
"43","2016-10-19",25.99
"44","2016-10-20",25.9
"45","2016-10-21",25.889999
"46","2016-10-24",25.92
"47","2016-10-25",26
"48","2016-10-26",25.721001
"49","2016-10-27",25.816999
"50","2016-10-28",26.039
"51","2016-10-31",25.75
"52","2016-11-01",25.75
"53","2016-11-02",25.85
"54","2016-11-03",25.74
"55","2016-11-04",25.809999
"56","2016-11-07",26.129999
"57","2016-11-08",25.790001
"58","2016-11-09",25.76
"59","2016-11-10",25.51
"60","2016-11-11",26.15
"61","2016-11-14",25.6
"62","2016-11-15",26.15
"63","2016-11-16",25.59
"64","2016-11-17",25.57
"65","2016-11-18",25.58
"66","2016-11-21",25.5
"67","2016-11-22",25.655001
"68","2016-11-23",25.6
"69","2016-11-25",25.6
"70","2016-11-28",25.450001
"71","2016-11-29",25.476
"72","2016-11-30",25.450001
"73","2016-12-01",25.25
"74","2016-12-02",25.549999
"75","2016-12-05",25.549999
"76","2016-12-06",25.537001
"77","2016-12-07",25.6
"78","2016-12-08",25.5
"79","2016-12-09",25.450001
"80","2016-12-12",25.5
"81","2016-12-13",25.4
"82","2016-12-14",25.49
"83","2016-12-15",25.49
"84","2016-12-16",25.26
"85","2016-12-19",25.416
"86","2016-12-20",25.25
"87","2016-12-21",25.379999
"88","2016-12-22",25.43
"89","2016-12-23",25.43
"90","2016-12-27",25.299999
"91","2016-12-28",25.5
"92","2016-12-29",25.485001
"93","2016-12-30",25.440001
"94","2017-01-03",25.49
