"","date","CCD"
"1","2015-03-27",25
"2","2015-03-30",25.01
"3","2015-03-31",25.01
"4","2015-04-01",25.01
"5","2015-04-02",25.190001
"6","2015-04-06",25.23
"7","2015-04-07",25.35
"8","2015-04-08",25.25
"9","2015-04-09",25.290001
"10","2015-04-10",25.158001
"11","2015-04-13",25.1
"12","2015-04-14",25.1
"13","2015-04-15",25.16
"14","2015-04-16",25.280001
"15","2015-04-17",25.299999
"16","2015-04-20",25.370001
"17","2015-04-21",25.184
"18","2015-04-22",25.360001
"19","2015-04-23",25.49
"20","2015-04-24",25.549999
"21","2015-04-27",25.26
"22","2015-04-28",25.440001
"23","2015-04-29",25.17
"24","2015-04-30",25.469999
"25","2015-05-01",25.16
"26","2015-05-04",25
"27","2015-05-05",25
"28","2015-05-06",25
"29","2015-05-07",25.049999
"30","2015-05-08",25
"31","2015-05-11",24.280001
"32","2015-05-12",24.440001
"33","2015-05-13",24.709999
"34","2015-05-14",24.84
"35","2015-05-15",24.549999
"36","2015-05-18",24.85
"37","2015-05-19",24.559999
"38","2015-05-20",24.42
"39","2015-05-21",24.389999
"40","2015-05-22",24.42
"41","2015-05-26",24.559999
"42","2015-05-27",24.275
"43","2015-05-28",24.299999
"44","2015-05-29",24
"45","2015-06-01",24.419001
"46","2015-06-02",24.200001
"47","2015-06-03",24.209999
"48","2015-06-04",24.27
"49","2015-06-05",24.450001
"50","2015-06-08",24.040001
"51","2015-06-09",23.02
"52","2015-06-10",23.08
"53","2015-06-11",22.867001
"54","2015-06-12",23.02
"55","2015-06-15",23.450001
"56","2015-06-16",23.870001
"57","2015-06-17",23.84
"58","2015-06-18",23.5
"59","2015-06-19",23.469999
"60","2015-06-22",23.68
"61","2015-06-23",23.24
"62","2015-06-24",23
"63","2015-06-25",22.799999
"64","2015-06-26",22.91
"65","2015-06-29",22.43
"66","2015-06-30",22.58
"67","2015-07-01",22.379999
"68","2015-07-02",22.24
"69","2015-07-06",22.41
"70","2015-07-07",22.49
"71","2015-07-08",22.379999
"72","2015-07-09",22.709999
"73","2015-07-10",22.547001
"74","2015-07-13",22.85
"75","2015-07-14",22.799999
"76","2015-07-15",22.882
"77","2015-07-16",22.809999
"78","2015-07-17",22.360001
"79","2015-07-20",22.129999
"80","2015-07-21",22.27
"81","2015-07-22",21.969999
"82","2015-07-23",21.15
