"","date","NSSC"
"1","2007-01-03",5.75
"2","2007-01-04",5.84
"3","2007-01-05",5.93
"4","2007-01-08",5.83
"5","2007-01-09",5.75
"6","2007-01-10",5.74
"7","2007-01-11",5.82
"8","2007-01-12",5.81
"9","2007-01-16",5.91
"10","2007-01-17",5.89
"11","2007-01-18",5.84
"12","2007-01-19",5.93
"13","2007-01-22",5.87
"14","2007-01-23",5.78
"15","2007-01-24",5.79
"16","2007-01-25",5.72
"17","2007-01-26",5.78
"18","2007-01-29",5.9
"19","2007-01-30",5.95
"20","2007-01-31",6.02
"21","2007-02-01",6.05
"22","2007-02-02",5.96
"23","2007-02-05",6
"24","2007-02-06",5.12
"25","2007-02-07",5.26
"26","2007-02-08",5.25
"27","2007-02-09",5.25
"28","2007-02-12",5.15
"29","2007-02-13",5.15
"30","2007-02-14",5.22
"31","2007-02-15",5.25
"32","2007-02-16",5.24
"33","2007-02-20",5.22
"34","2007-02-21",5.25
"35","2007-02-22",5.23
"36","2007-02-23",5.26
"37","2007-02-26",5.25
"38","2007-02-27",5.17
"39","2007-02-28",5.16
"40","2007-03-01",5.14
"41","2007-03-02",5.05
"42","2007-03-05",5.01
"43","2007-03-06",5.2
"44","2007-03-07",5.01
"45","2007-03-08",5.01
"46","2007-03-09",4.9
"47","2007-03-12",4.83
"48","2007-03-13",4.62
"49","2007-03-14",4.62
"50","2007-03-15",4.64
"51","2007-03-16",5.07
"52","2007-03-19",5.18
"53","2007-03-20",5.05
"54","2007-03-21",5.16
"55","2007-03-22",5.17
"56","2007-03-23",5.24
"57","2007-03-26",5.28
"58","2007-03-27",5.3
"59","2007-03-28",5.2
"60","2007-03-29",5.21
"61","2007-03-30",5.3
"62","2007-04-02",5.33
"63","2007-04-03",5.38
"64","2007-04-04",5.46
"65","2007-04-05",5.76
"66","2007-04-09",6.03
"67","2007-04-10",5.95
"68","2007-04-11",5.94
"69","2007-04-12",5.9
"70","2007-04-13",5.94
"71","2007-04-16",5.95
"72","2007-04-17",6
"73","2007-04-18",5.97
"74","2007-04-19",6
"75","2007-04-20",6
"76","2007-04-23",6
"77","2007-04-24",5.99
"78","2007-04-25",6
"79","2007-04-26",6.01
"80","2007-04-27",5.96
"81","2007-04-30",5.97
"82","2007-05-01",5.99
"83","2007-05-02",6.02
"84","2007-05-03",6.08
"85","2007-05-04",6.07
"86","2007-05-07",6.16
"87","2007-05-08",6.18
"88","2007-05-09",6.3
"89","2007-05-10",5.86
"90","2007-05-11",5.8
"91","2007-05-14",6.08
"92","2007-05-15",6.05
"93","2007-05-16",6.14
"94","2007-05-17",6.15
"95","2007-05-18",6.07
"96","2007-05-21",6.12
"97","2007-05-22",6.12
"98","2007-05-23",6.12
"99","2007-05-24",6.01
"100","2007-05-25",6
"101","2007-05-29",5.93
"102","2007-05-30",5.98
"103","2007-05-31",5.93
"104","2007-06-01",5.92
"105","2007-06-04",5.88
"106","2007-06-05",5.79
"107","2007-06-06",5.9
"108","2007-06-07",5.79
"109","2007-06-08",5.91
"110","2007-06-11",5.91
"111","2007-06-12",5.92
"112","2007-06-13",5.95
"113","2007-06-14",5.99
"114","2007-06-15",6.01
"115","2007-06-18",6.24
"116","2007-06-19",6.34
"117","2007-06-20",6.35
"118","2007-06-21",6.26
"119","2007-06-22",6.17
"120","2007-06-25",6.19
"121","2007-06-26",6.2
"122","2007-06-27",6.18
"123","2007-06-28",6.23
"124","2007-06-29",6.3
"125","2007-07-02",6.29
"126","2007-07-03",6.29
"127","2007-07-05",6.35
"128","2007-07-06",6.36
"129","2007-07-09",6.34
"130","2007-07-10",6.33
"131","2007-07-11",6.46
"132","2007-07-12",6.6
"133","2007-07-13",6.69
"134","2007-07-16",6.88
"135","2007-07-17",6.94
"136","2007-07-18",6.76
"137","2007-07-19",6.87
"138","2007-07-20",6.76
"139","2007-07-23",6.85
"140","2007-07-24",6.84
"141","2007-07-25",6.64
"142","2007-07-26",6.5
"143","2007-07-27",6.38
"144","2007-07-30",6.47
"145","2007-07-31",6.66
"146","2007-08-01",6.5
"147","2007-08-02",6.18
"148","2007-08-03",5.75
"149","2007-08-06",5.76
"150","2007-08-07",6.19
"151","2007-08-08",6.53
"152","2007-08-09",6.78
"153","2007-08-10",6.21
"154","2007-08-13",5.88
"155","2007-08-14",5.78
"156","2007-08-15",5.61
"157","2007-08-16",5.69
"158","2007-08-17",5.67
"159","2007-08-20",5.8
"160","2007-08-21",5.6
"161","2007-08-22",6.04
"162","2007-08-23",6.33
"163","2007-08-24",6.41
"164","2007-08-27",6.59
"165","2007-08-28",6.4
"166","2007-08-29",6.24
"167","2007-08-30",6.25
"168","2007-08-31",6.15
"169","2007-09-04",6.43
"170","2007-09-05",6.45
"171","2007-09-06",6.55
"172","2007-09-07",6.03
"173","2007-09-10",6.07
"174","2007-09-11",5.83
"175","2007-09-12",5.8
"176","2007-09-13",6.04
"177","2007-09-14",6.15
"178","2007-09-17",5.5
"179","2007-09-18",5.43
"180","2007-09-19",5.52
"181","2007-09-20",5.47
"182","2007-09-21",5.41
"183","2007-09-24",5.36
"184","2007-09-25",5.35
"185","2007-09-26",5.53
"186","2007-09-27",5.6
"187","2007-09-28",5.57
"188","2007-10-01",5.47
"189","2007-10-02",5.4
"190","2007-10-03",5.36
"191","2007-10-04",5.45
"192","2007-10-05",5.45
"193","2007-10-08",5.4
"194","2007-10-09",5.35
"195","2007-10-10",5.47
"196","2007-10-11",5.68
"197","2007-10-12",5.72
"198","2007-10-15",5.96
"199","2007-10-16",5.9
"200","2007-10-17",5.8
"201","2007-10-18",5.77
"202","2007-10-19",5.78
"203","2007-10-22",5.84
"204","2007-10-23",5.85
"205","2007-10-24",5.87
"206","2007-10-25",5.87
"207","2007-10-26",5.81
"208","2007-10-29",5.85
"209","2007-10-30",5.73
"210","2007-10-31",5.65
"211","2007-11-01",5.65
"212","2007-11-02",5.42
"213","2007-11-05",5.48
"214","2007-11-06",5.48
"215","2007-11-07",5.45
"216","2007-11-08",5.4
"217","2007-11-09",5.43
"218","2007-11-12",5.27
"219","2007-11-13",5.32
"220","2007-11-14",5.27
"221","2007-11-15",5.27
"222","2007-11-16",5.29
"223","2007-11-19",5.23
"224","2007-11-20",5.11
"225","2007-11-21",5.13
"226","2007-11-23",5.1
"227","2007-11-26",5.22
"228","2007-11-27",4.83
"229","2007-11-28",5.02
"230","2007-11-29",4.97
"231","2007-11-30",5.04
"232","2007-12-03",4.92
"233","2007-12-04",5.01
"234","2007-12-05",5
"235","2007-12-06",5.02
"236","2007-12-07",5
"237","2007-12-10",5.01
"238","2007-12-11",5.28
"239","2007-12-12",5.49
"240","2007-12-13",5.57
"241","2007-12-14",5.58
"242","2007-12-17",5.54
"243","2007-12-18",5.68
"244","2007-12-19",5.71
"245","2007-12-20",5.7
"246","2007-12-21",5.99
"247","2007-12-24",6.05
"248","2007-12-26",6.18
"249","2007-12-27",6.22
"250","2007-12-28",5.96
"251","2007-12-31",6.25
"252","2008-01-02",6.3
"253","2008-01-03",5.95
"254","2008-01-04",5.33
"255","2008-01-07",6.08
"256","2008-01-08",5.88
"257","2008-01-09",5.79
"258","2008-01-10",5.99
"259","2008-01-11",5.62
"260","2008-01-14",5.98
"261","2008-01-15",6
"262","2008-01-16",6.02
"263","2008-01-17",6.02
"264","2008-01-18",6.04
"265","2008-01-22",6.01
"266","2008-01-23",6.45
"267","2008-01-24",5.95
"268","2008-01-25",5.92
"269","2008-01-28",5.99
"270","2008-01-29",5.98
"271","2008-01-30",6
"272","2008-01-31",5.92
"273","2008-02-01",6.01
"274","2008-02-04",5.91
"275","2008-02-05",5.63
"276","2008-02-06",5.49
"277","2008-02-07",5.37
"278","2008-02-08",5.47
"279","2008-02-11",5.68
"280","2008-02-12",5.5
"281","2008-02-13",5.48
"282","2008-02-14",5.41
"283","2008-02-15",5.5
"284","2008-02-19",5.5
"285","2008-02-20",5.5
"286","2008-02-21",5.5
"287","2008-02-22",5.45
"288","2008-02-25",5.44
"289","2008-02-26",5.43
"290","2008-02-27",5.47
"291","2008-02-28",5.16
"292","2008-02-29",5.5
"293","2008-03-03",4.91
"294","2008-03-04",5
"295","2008-03-05",5.02
"296","2008-03-06",4.99
"297","2008-03-07",5.05
"298","2008-03-10",4.89
"299","2008-03-11",4.8
"300","2008-03-12",4.99
"301","2008-03-13",5
"302","2008-03-14",4.99
"303","2008-03-17",4.83
"304","2008-03-18",4.8
"305","2008-03-19",4.65
"306","2008-03-20",4.87
"307","2008-03-24",4.95
"308","2008-03-25",5
"309","2008-03-26",5
"310","2008-03-27",4.97
"311","2008-03-28",4.93
"312","2008-03-31",4.92
"313","2008-04-01",4.77
"314","2008-04-02",4.68
"315","2008-04-03",4.5
"316","2008-04-04",4.8
"317","2008-04-07",4.74
"318","2008-04-08",4.96
"319","2008-04-09",4.9
"320","2008-04-10",4.84
"321","2008-04-11",4.9
"322","2008-04-14",4.81
"323","2008-04-15",4.95
"324","2008-04-16",4.87
