"","date","BEAT"
"1","2008-03-19",17.700001
"2","2008-03-20",18.02
"3","2008-03-24",18.059999
"4","2008-03-25",17.549999
"5","2008-03-26",17.59
"6","2008-03-27",17.5
"7","2008-03-28",18.049999
"8","2008-03-31",17.99
"9","2008-04-01",18.25
"10","2008-04-02",18.290001
"11","2008-04-03",18.25
"12","2008-04-04",18.4
"13","2008-04-07",19.120001
"14","2008-04-08",19.85
"15","2008-04-09",19.809999
"16","2008-04-10",19.799999
"17","2008-04-11",19.809999
"18","2008-04-14",19.75
"19","2008-04-15",20
"20","2008-04-16",20
"21","2008-04-17",19.92
"22","2008-04-18",20
"23","2008-04-21",20
"24","2008-04-22",19.959999
"25","2008-04-23",19.98
"26","2008-04-24",20.01
"27","2008-04-25",21.5
"28","2008-04-28",23.15
"29","2008-04-29",22.440001
"30","2008-04-30",23.1
"31","2008-05-01",22.85
"32","2008-05-02",23
"33","2008-05-05",23.030001
"34","2008-05-06",24.040001
"35","2008-05-07",24
"36","2008-05-08",24
"37","2008-05-09",23.66
"38","2008-05-12",24.950001
"39","2008-05-13",24.93
"40","2008-05-14",24.25
"41","2008-05-15",24.27
"42","2008-05-16",24.120001
"43","2008-05-19",24.049999
"44","2008-05-20",23.18
"45","2008-05-21",22.709999
"46","2008-05-22",23
"47","2008-05-23",23.18
"48","2008-05-27",24.309999
"49","2008-05-28",24.25
"50","2008-05-29",24.5
"51","2008-05-30",25.709999
"52","2008-06-02",27.5
"53","2008-06-03",27.5
"54","2008-06-04",27.74
"55","2008-06-05",26.9
"56","2008-06-06",27.75
"57","2008-06-09",28.139999
"58","2008-06-10",26.950001
"59","2008-06-11",25.92
"60","2008-06-12",26.1
"61","2008-06-13",28.139999
"62","2008-06-16",30.02
"63","2008-06-17",29.98
"64","2008-06-18",29.84
"65","2008-06-19",30
"66","2008-06-20",30.110001
"67","2008-06-23",29.33
"68","2008-06-24",29.1
"69","2008-06-25",28.15
"70","2008-06-26",27.41
"71","2008-06-27",26.700001
"72","2008-06-30",26.629999
"73","2008-07-01",26.969999
"74","2008-07-02",26.879999
"75","2008-07-03",27.360001
"76","2008-07-07",28.16
"77","2008-07-08",28.99
"78","2008-07-09",28.77
"79","2008-07-10",28.940001
"80","2008-07-11",28.66
"81","2008-07-14",28.92
"82","2008-07-15",28.780001
"83","2008-07-16",29
"84","2008-07-17",28.85
"85","2008-07-18",29.969999
"86","2008-07-21",29.85
"87","2008-07-22",27.85
"88","2008-07-23",27.950001
"89","2008-07-24",27.9
"90","2008-07-25",28.950001
"91","2008-07-28",27.01
"92","2008-07-29",27.030001
"93","2008-07-30",26.32
"94","2008-07-31",27.559999
"95","2008-08-01",28.540001
"96","2008-08-04",28.950001
"97","2008-08-05",29.5
"98","2008-08-06",32.16
"99","2008-08-07",31.58
"100","2008-08-08",34.5
"101","2008-08-11",33.900002
"102","2008-08-12",33.82
"103","2008-08-13",33.099998
"104","2008-08-14",33.060001
"105","2008-08-15",33.68
"106","2008-08-18",30.77
"107","2008-08-19",30.98
"108","2008-08-20",31.040001
"109","2008-08-21",31.42
"110","2008-08-22",31.18
"111","2008-08-25",31.969999
"112","2008-08-26",31.83
"113","2008-08-27",31.09
"114","2008-08-28",30.66
"115","2008-08-29",30.5
"116","2008-09-02",29.809999
"117","2008-09-03",30.91
"118","2008-09-04",30.24
"119","2008-09-05",30.030001
"120","2008-09-08",30.73
"121","2008-09-09",29.459999
"122","2008-09-10",29.530001
"123","2008-09-11",30
"124","2008-09-12",29.58
"125","2008-09-15",26.620001
"126","2008-09-16",27.440001
"127","2008-09-17",26.76
"128","2008-09-18",27.450001
"129","2008-09-19",27.74
"130","2008-09-22",27.15
"131","2008-09-23",26.93
"132","2008-09-24",26.65
"133","2008-09-25",26.75
"134","2008-09-26",26.83
"135","2008-09-29",25.629999
"136","2008-09-30",24.959999
"137","2008-10-01",24.92
"138","2008-10-02",24.290001
"139","2008-10-03",23.75
"140","2008-10-06",23.040001
"141","2008-10-07",22.559999
"142","2008-10-08",23.219999
"143","2008-10-09",22.959999
"144","2008-10-10",23.290001
"145","2008-10-13",24.34
"146","2008-10-14",24.379999
"147","2008-10-15",23.5
"148","2008-10-16",23.57
"149","2008-10-17",23.309999
"150","2008-10-20",23.33
"151","2008-10-21",23.129999
"152","2008-10-22",21.85
"153","2008-10-23",21.98
"154","2008-10-24",21.6
"155","2008-10-27",20.790001
"156","2008-10-28",20
"157","2008-10-29",21.299999
"158","2008-10-30",22.26
"159","2008-10-31",25.59
"160","2008-11-03",25.57
"161","2008-11-04",25.07
"162","2008-11-05",23.790001
"163","2008-11-06",23.17
"164","2008-11-07",23.33
"165","2008-11-10",22.85
"166","2008-11-11",22.1
"167","2008-11-12",22.25
"168","2008-11-13",22.860001
"169","2008-11-14",22.6
"170","2008-11-17",21.700001
"171","2008-11-18",21.07
"172","2008-11-19",20.48
"173","2008-11-20",19.110001
"174","2008-11-21",18.51
"175","2008-11-24",18.77
"176","2008-11-25",19.34
"177","2008-11-26",20.25
"178","2008-11-28",19.879999
"179","2008-12-01",19.25
"180","2008-12-02",19
"181","2008-12-03",18.91
"182","2008-12-04",17.969999
"183","2008-12-05",17.6
"184","2008-12-08",17.950001
"185","2008-12-09",17.030001
"186","2008-12-10",19.040001
"187","2008-12-11",18.969999
"188","2008-12-12",19.01
"189","2008-12-15",18.540001
"190","2008-12-16",19.59
"191","2008-12-17",21.200001
"192","2008-12-18",21.5
"193","2008-12-19",22.26
"194","2008-12-22",22.07
"195","2008-12-23",22.110001
"196","2008-12-24",22.059999
