"","date","NEPH"
"1","2007-01-03",271.799988
"2","2007-01-04",295.200012
"3","2007-01-05",304.200012
"4","2007-01-08",271.799988
"5","2007-01-09",270
"6","2007-01-10",286.200012
"7","2007-01-11",286.200012
"8","2007-01-12",262.799988
"9","2007-01-16",333
"10","2007-01-17",315
"11","2007-01-18",329.399994
"12","2007-01-19",356.399994
"13","2007-01-22",336.600006
"14","2007-01-23",322.200012
"15","2007-01-24",298.799988
"16","2007-01-25",315
"17","2007-01-26",315
"18","2007-01-29",387
"19","2007-01-30",369
"20","2007-01-31",441
"21","2007-02-01",396
"22","2007-02-02",379.799988
"23","2007-02-05",370.799988
"24","2007-02-06",351
"25","2007-02-07",315
"26","2007-02-08",334.799988
"27","2007-02-09",334.799988
"28","2007-02-12",334.799988
"29","2007-02-13",351
"30","2007-02-14",324
"31","2007-02-15",315
"32","2007-02-16",316.799988
"33","2007-02-20",325.799988
"34","2007-02-21",331.200012
"35","2007-02-22",288
"36","2007-02-23",298.799988
"37","2007-02-26",306
"38","2007-02-27",340.200012
"39","2007-02-28",356.399994
"40","2007-03-01",351
"41","2007-03-02",358.200012
"42","2007-03-05",315
"43","2007-03-06",311.399994
"44","2007-03-07",302.399994
"45","2007-03-08",302.399994
"46","2007-03-09",282.600006
"47","2007-03-12",351
"48","2007-03-13",349.200012
"49","2007-03-14",324
"50","2007-03-15",306
"51","2007-03-16",306
"52","2007-03-19",322.200012
"53","2007-03-20",329.399994
"54","2007-03-21",315
"55","2007-03-22",311.399994
"56","2007-03-23",315
"57","2007-03-26",304.200012
"58","2007-03-27",298.799988
"59","2007-03-28",304.200012
"60","2007-03-29",316.799988
"61","2007-03-30",325.799988
"62","2007-04-02",315
"63","2007-04-03",304.200012
"64","2007-04-04",295.200012
"65","2007-04-05",297
"66","2007-04-09",289.799988
"67","2007-04-10",331.200012
"68","2007-04-11",324
"69","2007-04-12",318.600006
"70","2007-04-13",288
"71","2007-04-16",288
"72","2007-04-17",288
"73","2007-04-18",277.200012
"74","2007-04-19",279
"75","2007-04-20",289.799988
"76","2007-04-23",300.600006
"77","2007-04-24",297
"78","2007-04-25",306
"79","2007-04-26",297
"80","2007-04-27",270
"81","2007-04-30",300.600006
"82","2007-05-01",304.200012
"83","2007-05-02",304.200012
"84","2007-05-03",302.399994
"85","2007-05-04",266.399994
"86","2007-05-07",234
"87","2007-05-08",225
"88","2007-05-09",225
"89","2007-05-10",207
"90","2007-05-11",216
"91","2007-05-14",207
"92","2007-05-15",234
"93","2007-05-16",239.399994
"94","2007-05-17",235.800003
"95","2007-05-18",234
"96","2007-05-21",223.199997
"97","2007-05-22",241.199997
"98","2007-05-23",234
"99","2007-05-24",234
"100","2007-05-25",243
"101","2007-05-29",232.199997
"102","2007-05-30",306
"103","2007-05-31",261
"104","2007-06-01",261
"105","2007-06-04",261
"106","2007-06-05",252
"107","2007-06-06",235.800003
"108","2007-06-07",246.600006
"109","2007-06-08",252
"110","2007-06-11",252
"111","2007-06-12",257.399994
"112","2007-06-13",235.800003
"113","2007-06-14",255.600006
"114","2007-06-15",257.399994
"115","2007-06-18",252
"116","2007-06-19",248.399994
"117","2007-06-20",248.399994
"118","2007-06-21",252
"119","2007-06-22",252
"120","2007-06-25",243
"121","2007-06-26",243
"122","2007-06-27",230.399994
"123","2007-06-28",219.600006
"124","2007-06-29",223.199997
"125","2007-07-02",261
"126","2007-07-03",261
"127","2007-07-05",252
"128","2007-07-06",252
"129","2007-07-09",243
"130","2007-07-10",250.199997
"131","2007-07-11",235.800003
"132","2007-07-12",243
"133","2007-07-13",234
"134","2007-07-16",221.399994
"135","2007-07-17",221.399994
"136","2007-07-18",221.399994
"137","2007-07-19",217.800003
"138","2007-07-20",217.800003
"139","2007-07-23",219.600006
"140","2007-07-24",196.199997
"141","2007-07-25",185.399994
"142","2007-07-26",183.600006
"143","2007-07-27",189
"144","2007-07-30",180
"145","2007-07-31",178.199997
"146","2007-08-01",178.199997
"147","2007-08-02",171
"148","2007-08-03",171
"149","2007-08-06",162
"150","2007-08-07",162
"151","2007-08-08",174.600006
"152","2007-08-09",162
"153","2007-08-10",131.399994
"154","2007-08-13",126
"155","2007-08-14",135
"156","2007-08-15",142.199997
"157","2007-08-16",142.199997
"158","2007-08-17",142.199997
"159","2007-08-20",158.399994
"160","2007-08-21",180
"161","2007-08-22",198
"162","2007-08-23",171
"163","2007-08-24",171
"164","2007-08-27",180
"165","2007-08-28",180
"166","2007-08-29",171
"167","2007-08-30",162
"168","2007-08-31",162
"169","2007-09-04",158.399994
"170","2007-09-05",158.399994
"171","2007-09-06",153
"172","2007-09-07",149.399994
"173","2007-09-10",163.800003
"174","2007-09-11",171
"175","2007-09-12",149.399994
"176","2007-09-13",158.399994
"177","2007-09-14",136.800003
"178","2007-09-17",144
"179","2007-09-18",138.600006
"180","2007-09-19",138.600006
"181","2007-09-20",138.600006
"182","2007-09-21",135
"183","2007-09-24",140.399994
"184","2007-09-25",135
"185","2007-09-26",180
"186","2007-09-27",207
"187","2007-09-28",237.600006
"188","2007-10-01",243
"189","2007-10-02",225
"190","2007-10-03",225
"191","2007-10-04",246.600006
"192","2007-10-05",270
"193","2007-10-08",270
"194","2007-10-09",264.600006
"195","2007-10-10",235.800003
"196","2007-10-11",235.800003
"197","2007-10-12",216
"198","2007-10-15",216
"199","2007-10-16",270
"200","2007-10-17",252
"201","2007-10-18",228.600006
"202","2007-10-19",237.600006
"203","2007-10-22",255.600006
"204","2007-10-23",243
"205","2007-10-24",243
"206","2007-10-25",243
"207","2007-10-26",243
"208","2007-10-29",243
"209","2007-10-30",237.600006
"210","2007-10-31",261
"211","2007-11-01",216
"212","2007-11-02",180
"213","2007-11-05",180
"214","2007-11-06",183.600006
"215","2007-11-07",189
"216","2007-11-08",189
"217","2007-11-09",183.600006
"218","2007-11-12",183.600006
"219","2007-11-13",183.600006
"220","2007-11-14",183.600006
"221","2007-11-15",171
"222","2007-11-16",151.199997
"223","2007-11-19",163.800003
"224","2007-11-20",162
"225","2007-11-21",144
"226","2007-11-23",144
"227","2007-11-26",140.399994
"228","2007-11-27",144
"229","2007-11-28",138.600006
"230","2007-11-29",138.600006
"231","2007-11-30",144
"232","2007-12-03",136.800003
"233","2007-12-04",117
"234","2007-12-05",108
"235","2007-12-06",126
