"","date","NINE"
"1","2018-01-19",26.1
"2","2018-01-22",25.76
"3","2018-01-23",25.9
"4","2018-01-24",25.51
"5","2018-01-25",25.48
"6","2018-01-26",25.76
"7","2018-01-29",25.799999
"8","2018-01-30",25.440001
"9","2018-01-31",27.120001
"10","2018-02-01",26.709999
"11","2018-02-02",25.58
"12","2018-02-05",25.25
"13","2018-02-06",24.93
"14","2018-02-07",24.549999
"15","2018-02-08",24.040001
"16","2018-02-09",23.25
"17","2018-02-12",23.5
"18","2018-02-13",24.049999
"19","2018-02-14",25.219999
"20","2018-02-15",25.950001
"21","2018-02-16",26.030001
"22","2018-02-20",26.559999
"23","2018-02-21",26.370001
"24","2018-02-22",26.9
"25","2018-02-23",27.59
"26","2018-02-26",26.870001
"27","2018-02-27",27.33
"28","2018-02-28",27.290001
"29","2018-03-01",26.280001
"30","2018-03-02",25.98
"31","2018-03-05",26.299999
"32","2018-03-06",26.07
"33","2018-03-07",26.610001
"34","2018-03-08",27
"35","2018-03-09",26.969999
"36","2018-03-12",26.110001
"37","2018-03-13",26.059999
"38","2018-03-14",25.549999
"39","2018-03-15",25.42
"40","2018-03-16",25.559999
"41","2018-03-19",24.360001
"42","2018-03-20",24.469999
"43","2018-03-21",26.23
"44","2018-03-22",25.57
"45","2018-03-23",25.200001
"46","2018-03-26",24.74
"47","2018-03-27",23.18
"48","2018-03-28",23
"49","2018-03-29",24.35
"50","2018-04-02",23.870001
"51","2018-04-03",26
"52","2018-04-04",25.450001
"53","2018-04-05",26.389999
"54","2018-04-06",26.280001
"55","2018-04-09",26.41
"56","2018-04-10",27.32
"57","2018-04-11",28.190001
"58","2018-04-12",28.1
"59","2018-04-13",28.57
"60","2018-04-16",29.27
"61","2018-04-17",30.84
"62","2018-04-18",31.65
"63","2018-04-19",29.02
"64","2018-04-20",28.93
"65","2018-04-23",29.709999
"66","2018-04-24",29.75
"67","2018-04-25",30
"68","2018-04-26",30.139999
"69","2018-04-27",29.370001
"70","2018-04-30",30.540001
"71","2018-05-01",30.290001
"72","2018-05-02",30.620001
"73","2018-05-03",29.65
"74","2018-05-04",30.5
"75","2018-05-07",30.09
"76","2018-05-08",30.73
"77","2018-05-09",30.219999
"78","2018-05-10",30.809999
"79","2018-05-11",30.98
"80","2018-05-14",33.439999
"81","2018-05-15",35.639999
"82","2018-05-16",35.720001
"83","2018-05-17",38.360001
"84","2018-05-18",38.459999
"85","2018-05-21",37.57
"86","2018-05-22",36.369999
"87","2018-05-23",36.59
"88","2018-05-24",36.259998
