"","date","NSTG"
"1","2013-06-26",8.06
"2","2013-06-27",8.02
"3","2013-06-28",8
"4","2013-07-01",8.1
"5","2013-07-02",8.47
"6","2013-07-03",8.57
"7","2013-07-05",8.62
"8","2013-07-08",8.82
"9","2013-07-09",8.93
"10","2013-07-10",8.95
"11","2013-07-11",9.04
"12","2013-07-12",9
"13","2013-07-15",9.35
"14","2013-07-16",9.21
"15","2013-07-17",9.27
"16","2013-07-18",9.46
"17","2013-07-19",9.44
"18","2013-07-22",9.27
"19","2013-07-23",9.38
"20","2013-07-24",9.51
"21","2013-07-25",9.28
"22","2013-07-26",9.2
"23","2013-07-29",9.35
"24","2013-07-30",9.2
"25","2013-07-31",9.11
"26","2013-08-01",8.9
"27","2013-08-02",8.47
"28","2013-08-05",8.52
"29","2013-08-06",8
"30","2013-08-07",7.52
"31","2013-08-08",7.55
"32","2013-08-09",7.24
"33","2013-08-12",7.19
"34","2013-08-13",7.16
"35","2013-08-14",7.28
"36","2013-08-15",7.35
"37","2013-08-16",7.79
"38","2013-08-19",7.34
"39","2013-08-20",7.46
"40","2013-08-21",7.52
"41","2013-08-22",8.01
"42","2013-08-23",8.35
"43","2013-08-26",7.92
"44","2013-08-27",7.78
"45","2013-08-28",8
"46","2013-08-29",7.63
"47","2013-08-30",7.65
"48","2013-09-03",7.9
"49","2013-09-04",8.01
"50","2013-09-05",7.94
"51","2013-09-06",7.6
"52","2013-09-09",7.62
"53","2013-09-10",13
"54","2013-09-11",11
"55","2013-09-12",11.23
"56","2013-09-13",11.13
"57","2013-09-16",10.94
"58","2013-09-17",10.75
"59","2013-09-18",10.62
"60","2013-09-19",10.71
"61","2013-09-20",10.78
"62","2013-09-23",11.5
"63","2013-09-24",11.75
"64","2013-09-25",11.5
"65","2013-09-26",12.02
"66","2013-09-27",11.64
"67","2013-09-30",11
"68","2013-10-01",11.1
"69","2013-10-02",11.35
"70","2013-10-03",11.39
"71","2013-10-04",11.39
"72","2013-10-07",11.73
"73","2013-10-08",10.88
"74","2013-10-09",10.87
"75","2013-10-10",10.72
"76","2013-10-11",11
"77","2013-10-14",11.04
"78","2013-10-15",10.78
"79","2013-10-16",10.72
"80","2013-10-17",10.89
"81","2013-10-18",11.15
"82","2013-10-21",10.75
"83","2013-10-22",11.08
"84","2013-10-23",10.76
"85","2013-10-24",10.56
"86","2013-10-25",10.5
"87","2013-10-28",10.69
"88","2013-10-29",10.37
"89","2013-10-30",10.16
"90","2013-10-31",10.21
"91","2013-11-01",9.95
"92","2013-11-04",10.27
"93","2013-11-05",10.2
"94","2013-11-06",10.11
"95","2013-11-07",10.37
"96","2013-11-08",10.66
"97","2013-11-11",10.38
"98","2013-11-12",11.34
"99","2013-11-13",11.57
"100","2013-11-14",11.95
"101","2013-11-15",12.05
"102","2013-11-18",12
"103","2013-11-19",11.86
"104","2013-11-20",12.04
"105","2013-11-21",11.84
"106","2013-11-22",12.17
"107","2013-11-25",12.03
"108","2013-11-26",12.08
"109","2013-11-27",12.07
"110","2013-11-29",11.81
"111","2013-12-02",11.96
"112","2013-12-03",12.06
"113","2013-12-04",12.13
"114","2013-12-05",12.5
"115","2013-12-06",13.28
"116","2013-12-09",13.59
"117","2013-12-10",14.05
"118","2013-12-11",15.6
"119","2013-12-12",16.26
"120","2013-12-13",16.24
"121","2013-12-16",16.33
"122","2013-12-17",15.91
"123","2013-12-18",15.8
"124","2013-12-19",15.43
"125","2013-12-20",15.45
"126","2013-12-23",15.84
"127","2013-12-24",15.9
"128","2013-12-26",16.43
"129","2013-12-27",16.389999
"130","2013-12-30",16.879999
"131","2013-12-31",17.24
"132","2014-01-02",16.870001
"133","2014-01-03",17.08
"134","2014-01-06",16.93
"135","2014-01-07",17.32
"136","2014-01-08",17.52
"137","2014-01-09",19.01
"138","2014-01-10",19.51
"139","2014-01-13",19.620001
"140","2014-01-14",20.040001
"141","2014-01-15",19.940001
"142","2014-01-16",20
"143","2014-01-17",19.790001
"144","2014-01-21",19.110001
"145","2014-01-22",19.940001
"146","2014-01-23",19.559999
"147","2014-01-24",17.780001
"148","2014-01-27",17.610001
"149","2014-01-28",18.360001
"150","2014-01-29",18.25
"151","2014-01-30",18.5
"152","2014-01-31",18.18
"153","2014-02-03",17.75
"154","2014-02-04",17.940001
"155","2014-02-05",17.799999
"156","2014-02-06",17.629999
"157","2014-02-07",17.120001
"158","2014-02-10",17.9
"159","2014-02-11",17.860001
"160","2014-02-12",17.83
"161","2014-02-13",17.77
"162","2014-02-14",17.74
"163","2014-02-18",17.82
"164","2014-02-19",18
"165","2014-02-20",17.889999
"166","2014-02-21",17.65
"167","2014-02-24",18.299999
"168","2014-02-25",18.549999
"169","2014-02-26",18.41
"170","2014-02-27",18.91
"171","2014-02-28",18.9
"172","2014-03-03",19.9
"173","2014-03-04",20.200001
"174","2014-03-05",19.940001
"175","2014-03-06",19.9
"176","2014-03-07",19.950001
"177","2014-03-10",20.219999
"178","2014-03-11",20.620001
"179","2014-03-12",21.99
"180","2014-03-13",21.379999
"181","2014-03-14",20.58
"182","2014-03-17",20.25
"183","2014-03-18",20
"184","2014-03-19",20.6
"185","2014-03-20",20.790001
"186","2014-03-21",20.450001
"187","2014-03-24",20.43
"188","2014-03-25",20.17
"189","2014-03-26",20.41
"190","2014-03-27",20.299999
"191","2014-03-28",20.389999
"192","2014-03-31",20.65
"193","2014-04-01",20.24
"194","2014-04-02",21.620001
"195","2014-04-03",21.049999
"196","2014-04-04",19.84
"197","2014-04-07",17.42
"198","2014-04-08",17.23
"199","2014-04-09",17.01
"200","2014-04-10",15.63
"201","2014-04-11",15.5
"202","2014-04-14",15.74
"203","2014-04-15",15.61
"204","2014-04-16",15.97
"205","2014-04-17",16.67
"206","2014-04-21",17.24
"207","2014-04-22",17.42
"208","2014-04-23",17.219999
"209","2014-04-24",17.59
"210","2014-04-25",16.34
"211","2014-04-28",16.129999
"212","2014-04-29",16.52
"213","2014-04-30",16.219999
"214","2014-05-01",16.620001
"215","2014-05-02",16.280001
"216","2014-05-05",16.76
"217","2014-05-06",16.43
"218","2014-05-07",14.26
"219","2014-05-08",13.33
"220","2014-05-09",12.97
"221","2014-05-12",13.99
"222","2014-05-13",13.75
"223","2014-05-14",13.42
"224","2014-05-15",13.98
"225","2014-05-16",14.37
"226","2014-05-19",14.75
"227","2014-05-20",14.26
"228","2014-05-21",14.06
"229","2014-05-22",14.47
"230","2014-05-23",14.64
"231","2014-05-27",15.12
"232","2014-05-28",15.6
"233","2014-05-29",15.3
"234","2014-05-30",14.89
"235","2014-06-02",14.67
"236","2014-06-03",14.25
"237","2014-06-04",15.48
"238","2014-06-05",16.629999
"239","2014-06-06",15.29
"240","2014-06-09",15.56
"241","2014-06-10",15.33
"242","2014-06-11",15.2
"243","2014-06-12",15.08
"244","2014-06-13",15.13
"245","2014-06-16",15.48
"246","2014-06-17",15.95
"247","2014-06-18",15.43
"248","2014-06-19",15.03
"249","2014-06-20",15.87
"250","2014-06-23",15.06
"251","2014-06-24",14.61
"252","2014-06-25",15.01
"253","2014-06-26",14.88
"254","2014-06-27",14.25
"255","2014-06-30",14.95
"256","2014-07-01",14.75
"257","2014-07-02",14.99
"258","2014-07-03",14.92
"259","2014-07-07",13.64
"260","2014-07-08",12.25
"261","2014-07-09",13.12
"262","2014-07-10",13.36
"263","2014-07-11",13.49
"264","2014-07-14",13.49
"265","2014-07-15",13.59
"266","2014-07-16",14.07
"267","2014-07-17",13.53
"268","2014-07-18",13.59
"269","2014-07-21",13.2
"270","2014-07-22",12.75
"271","2014-07-23",12.55
"272","2014-07-24",12.47
"273","2014-07-25",12.36
"274","2014-07-28",12.02
"275","2014-07-29",12.46
"276","2014-07-30",12.31
"277","2014-07-31",12.05
"278","2014-08-01",12.12
"279","2014-08-04",12.02
"280","2014-08-05",12.25
"281","2014-08-06",11.01
"282","2014-08-07",11.45
"283","2014-08-08",12.38
"284","2014-08-11",13.1
"285","2014-08-12",12.79
"286","2014-08-13",13
"287","2014-08-14",12.42
"288","2014-08-15",12
"289","2014-08-18",12
"290","2014-08-19",11.7
"291","2014-08-20",11.47
"292","2014-08-21",11.49
"293","2014-08-22",11.4
"294","2014-08-25",11.44
"295","2014-08-26",11.2
"296","2014-08-27",11.41
"297","2014-08-28",11.21
"298","2014-08-29",11.14
"299","2014-09-02",11.5
"300","2014-09-03",11.13
"301","2014-09-04",11.18
"302","2014-09-05",11.29
"303","2014-09-08",11.4
"304","2014-09-09",12.02
"305","2014-09-10",12.84
"306","2014-09-11",13.1
"307","2014-09-12",13.03
"308","2014-09-15",12.79
"309","2014-09-16",12.55
"310","2014-09-17",12.67
"311","2014-09-18",12.69
"312","2014-09-19",12.56
"313","2014-09-22",12.43
"314","2014-09-23",11.84
"315","2014-09-24",12.2
"316","2014-09-25",11.33
"317","2014-09-26",11.05
"318","2014-09-29",11.17
"319","2014-09-30",10.94
"320","2014-10-01",10.5
"321","2014-10-02",10.68
"322","2014-10-03",10.53
"323","2014-10-06",10.17
"324","2014-10-07",9.41
"325","2014-10-08",9.53
"326","2014-10-09",8.91
"327","2014-10-10",8.38
"328","2014-10-13",8.22
"329","2014-10-14",8.4
"330","2014-10-15",9.13
"331","2014-10-16",10.25
"332","2014-10-17",10.39
"333","2014-10-20",10.25
"334","2014-10-21",10.29
"335","2014-10-22",10.47
"336","2014-10-23",10.56
"337","2014-10-24",10.49
"338","2014-10-27",10.33
"339","2014-10-28",10.66
"340","2014-10-29",10.38
"341","2014-10-30",10.77
"342","2014-10-31",10.65
"343","2014-11-03",10.55
