"","date","FIZZ"
"1","2007-01-03",11.408334
"2","2007-01-04",11.216666
"3","2007-01-05",10.975
"4","2007-01-08",10.6
"5","2007-01-09",10.633333
"6","2007-01-10",10.533334
"7","2007-01-11",11.083333
"8","2007-01-12",11.175
"9","2007-01-16",11.216666
"10","2007-01-17",12.1
"11","2007-01-18",12.441667
"12","2007-01-19",11.966666
"13","2007-01-22",11.808333
"14","2007-01-23",11.8
"15","2007-01-24",11.766666
"16","2007-01-25",11.375
"17","2007-01-26",11.575
"18","2007-01-29",11.708333
"19","2007-01-30",11.708333
"20","2007-01-31",11.808333
"21","2007-02-01",11.45
"22","2007-02-02",11.358334
"23","2007-02-05",11.558333
"24","2007-02-06",11.258333
"25","2007-02-07",11.075
"26","2007-02-08",11.158334
"27","2007-02-09",11.341666
"28","2007-02-12",11.4
"29","2007-02-13",11.283334
"30","2007-02-14",11.35
"31","2007-02-15",11.266666
"32","2007-02-16",11.3
"33","2007-02-20",11.25
"34","2007-02-21",11.458333
"35","2007-02-22",11.675
"36","2007-02-23",11.65
"37","2007-02-26",11.566667
"38","2007-02-27",10.891666
"39","2007-02-28",10.875
"40","2007-03-01",11.458333
"41","2007-03-02",10.925
"42","2007-03-05",10.95
"43","2007-03-06",11.15
"44","2007-03-07",10.966666
"45","2007-03-08",10.991667
"46","2007-03-09",11.833333
"47","2007-03-12",12.4
"48","2007-03-13",12.133333
"49","2007-03-14",12.5
"50","2007-03-15",12.533334
"51","2007-03-16",12.483334
"52","2007-03-19",12.866667
"53","2007-03-20",13.208333
"54","2007-03-21",13.716666
"55","2007-03-22",14.225
"56","2007-03-23",13.441667
"57","2007-03-26",13.958333
"58","2007-03-27",13.958333
"59","2007-03-28",13.925
"60","2007-03-29",14.241667
"61","2007-03-30",14.616667
"62","2007-04-02",14.683333
"63","2007-04-03",14.525
"64","2007-04-04",14.816667
"65","2007-04-05",14.75
"66","2007-04-09",14.65
"67","2007-04-10",14.3
"68","2007-04-11",13.85
"69","2007-04-12",14.208333
"70","2007-04-13",14.283334
"71","2007-04-16",14.641666
"72","2007-04-17",14.366667
"73","2007-04-18",14.166667
"74","2007-04-19",13.975
"75","2007-04-20",14.108334
"76","2007-04-23",13.933333
"77","2007-04-24",13.458333
"78","2007-04-25",13.525
"79","2007-04-26",13.483334
"80","2007-04-27",13.125
"81","2007-04-30",12.966666
"82","2007-05-01",13.075
"83","2007-05-02",13.241667
"84","2007-05-03",13.5
"85","2007-05-04",12.516666
"86","2007-05-07",12.933333
"87","2007-05-08",12.55
"88","2007-05-09",12.408334
"89","2007-05-10",12.033334
"90","2007-05-11",12.45
"91","2007-05-14",11.875
"92","2007-05-15",12.041667
"93","2007-05-16",12.083333
"94","2007-05-17",11.683333
"95","2007-05-18",12.258333
"96","2007-05-21",12.175
"97","2007-05-22",11.633333
"98","2007-05-23",12.2
"99","2007-05-24",11.85
"100","2007-05-25",13.2
"101","2007-05-29",13.55
"102","2007-05-30",13.616667
"103","2007-05-31",13.97
"104","2007-06-01",14.02
"105","2007-06-04",13.74
"106","2007-06-05",13.19
"107","2007-06-06",13.13
"108","2007-06-07",12.77
"109","2007-06-08",12.68
"110","2007-06-11",12.57
"111","2007-06-12",12.63
"112","2007-06-13",12.57
"113","2007-06-14",12.83
"114","2007-06-15",13.02
"115","2007-06-18",13.21
"116","2007-06-19",13.08
"117","2007-06-20",12.66
"118","2007-06-21",12
"119","2007-06-22",11.71
"120","2007-06-25",11.91
"121","2007-06-26",11.96
"122","2007-06-27",11.87
"123","2007-06-28",11.77
"124","2007-06-29",11.51
"125","2007-07-02",11.68
"126","2007-07-03",11.49
"127","2007-07-05",11.25
"128","2007-07-06",11.3
"129","2007-07-09",11.64
"130","2007-07-10",11.45
"131","2007-07-11",12.02
"132","2007-07-12",12.44
"133","2007-07-13",12.35
"134","2007-07-16",11.87
"135","2007-07-17",11.99
"136","2007-07-18",10.85
"137","2007-07-19",10.57
"138","2007-07-20",10.4
"139","2007-07-23",10.1
"140","2007-07-24",9.98
"141","2007-07-25",9.97
"142","2007-07-26",9.84
"143","2007-07-27",9.75
"144","2007-07-30",10.1
"145","2007-07-31",10
"146","2007-08-01",9.79
"147","2007-08-02",9.81
"148","2007-08-03",9.34
"149","2007-08-06",9.9
"150","2007-08-07",9.74
"151","2007-08-08",9.83
"152","2007-08-09",9.7
"153","2007-08-10",9.77
"154","2007-08-13",9.76
"155","2007-08-14",9.65
"156","2007-08-15",9.61
"157","2007-08-16",9.77
"158","2007-08-17",9.97
"159","2007-08-20",9.72
"160","2007-08-21",9.66
"161","2007-08-22",10.33
"162","2007-08-23",10.2
"163","2007-08-24",10.28
"164","2007-08-27",10.26
"165","2007-08-28",10.14
"166","2007-08-29",10.35
"167","2007-08-30",10.33
"168","2007-08-31",10.52
"169","2007-09-04",10.29
"170","2007-09-05",10.4
"171","2007-09-06",10.22
"172","2007-09-07",9.24
"173","2007-09-10",8.94
"174","2007-09-11",8.66
"175","2007-09-12",8.67
"176","2007-09-13",8.69
"177","2007-09-14",8.7
"178","2007-09-17",8.45
"179","2007-09-18",8.29
"180","2007-09-19",8.25
"181","2007-09-20",8.24
"182","2007-09-21",8.32
"183","2007-09-24",8.23
"184","2007-09-25",8.21
"185","2007-09-26",8.1
"186","2007-09-27",8.41
"187","2007-09-28",8.48
"188","2007-10-01",9.25
"189","2007-10-02",9.14
"190","2007-10-03",9.26
"191","2007-10-04",9.29
"192","2007-10-05",9.4
"193","2007-10-08",9.49
"194","2007-10-09",9.35
"195","2007-10-10",9.12
"196","2007-10-11",9.15
"197","2007-10-12",9.27
"198","2007-10-15",9.13
"199","2007-10-16",9.12
"200","2007-10-17",9.11
"201","2007-10-18",9.07
"202","2007-10-19",8.49
"203","2007-10-22",8.35
"204","2007-10-23",8.41
"205","2007-10-24",8.3
"206","2007-10-25",8.41
"207","2007-10-26",8.53
"208","2007-10-29",8.45
"209","2007-10-30",8.29
"210","2007-10-31",8.31
"211","2007-11-01",8.04
"212","2007-11-02",8.09
"213","2007-11-05",8.06
"214","2007-11-06",7.97
"215","2007-11-07",7.76
"216","2007-11-08",7.61
"217","2007-11-09",7.43
"218","2007-11-12",7.44
"219","2007-11-13",7.47
"220","2007-11-14",7.43
"221","2007-11-15",7.59
"222","2007-11-16",7.51
"223","2007-11-19",7.44
"224","2007-11-20",7.43
"225","2007-11-21",7.3
"226","2007-11-23",7.35
"227","2007-11-26",7.21
"228","2007-11-27",7.14
"229","2007-11-28",7.34
"230","2007-11-29",7.25
"231","2007-11-30",7.4
"232","2007-12-03",7.3
"233","2007-12-04",7.24
"234","2007-12-05",7.63
"235","2007-12-06",8.11
"236","2007-12-07",7.55
"237","2007-12-10",8.3
"238","2007-12-11",7.79
"239","2007-12-12",8.29
"240","2007-12-13",8.39
"241","2007-12-14",8.33
"242","2007-12-17",7.81
"243","2007-12-18",8.31
"244","2007-12-19",8.27
"245","2007-12-20",8.31
"246","2007-12-21",8.59
"247","2007-12-24",8.6
"248","2007-12-26",8.58
"249","2007-12-27",8.25
"250","2007-12-28",8.13
"251","2007-12-31",8.04
"252","2008-01-02",7.93
"253","2008-01-03",7.28
"254","2008-01-04",7.27
"255","2008-01-07",7.71
"256","2008-01-08",7.21
"257","2008-01-09",7.73
"258","2008-01-10",8.11
"259","2008-01-11",7.65
"260","2008-01-14",7.34
"261","2008-01-15",7.22
"262","2008-01-16",7.42
"263","2008-01-17",7.19
"264","2008-01-18",7.4
"265","2008-01-22",7.37
"266","2008-01-23",7.36
"267","2008-01-24",7.53
"268","2008-01-25",7.46
"269","2008-01-28",7.6
"270","2008-01-29",7.3
"271","2008-01-30",7.19
"272","2008-01-31",7.1
"273","2008-02-01",7.3
"274","2008-02-04",7.68
"275","2008-02-05",7.28
"276","2008-02-06",7.27
"277","2008-02-07",7.55
"278","2008-02-08",7.5
"279","2008-02-11",7.37
"280","2008-02-12",7.49
"281","2008-02-13",7.48
"282","2008-02-14",7.35
"283","2008-02-15",7.25
"284","2008-02-19",7.45
"285","2008-02-20",7.54
"286","2008-02-21",7.48
"287","2008-02-22",7.32
"288","2008-02-25",7.41
"289","2008-02-26",7.3
"290","2008-02-27",7.34
"291","2008-02-28",7.39
"292","2008-02-29",7.32
"293","2008-03-03",7.27
"294","2008-03-04",7.27
"295","2008-03-05",7.39
"296","2008-03-06",7.09
"297","2008-03-07",7.07
"298","2008-03-10",7.06
