"","date","TENX"
"1","2007-01-03",960
"2","2007-01-04",870
"3","2007-01-05",888
"4","2007-01-08",900
"5","2007-01-09",1014
"6","2007-01-10",1080
"7","2007-01-11",1080
"8","2007-01-12",1020
"9","2007-01-16",1008
"10","2007-01-17",1020
"11","2007-01-18",1020
"12","2007-01-19",1020
"13","2007-01-22",1020
"14","2007-01-23",1020
"15","2007-01-24",990
"16","2007-01-25",990
"17","2007-01-26",1200
"18","2007-01-29",1062
"19","2007-01-30",1020
"20","2007-01-31",1044
"21","2007-02-01",1074
"22","2007-02-02",1032
"23","2007-02-05",1050
"24","2007-02-06",990
"25","2007-02-07",1008
"26","2007-02-08",996
"27","2007-02-09",930
"28","2007-02-12",1020
"29","2007-02-13",966
"30","2007-02-14",870
"31","2007-02-15",900
"32","2007-02-16",954
"33","2007-02-20",900
"34","2007-02-21",888
"35","2007-02-22",900
"36","2007-02-23",900
"37","2007-02-26",840
"38","2007-02-27",834
"39","2007-02-28",840
"40","2007-03-01",810
"41","2007-03-02",810
"42","2007-03-05",840
"43","2007-03-06",840
"44","2007-03-07",780
"45","2007-03-08",720
"46","2007-03-09",720
"47","2007-03-12",750
"48","2007-03-13",762
"49","2007-03-14",720
"50","2007-03-15",810
"51","2007-03-16",780
"52","2007-03-19",840
"53","2007-03-20",780
"54","2007-03-21",810
"55","2007-03-22",780
"56","2007-03-23",810
"57","2007-03-26",780
"58","2007-03-27",750
"59","2007-03-28",726
"60","2007-03-29",720
"61","2007-03-30",660
"62","2007-04-02",660
"63","2007-04-03",660
"64","2007-04-04",720
"65","2007-04-05",744
"66","2007-04-09",720
"67","2007-04-10",744
"68","2007-04-11",672
"69","2007-04-12",666
"70","2007-04-13",690
"71","2007-04-16",720
"72","2007-04-17",660
"73","2007-04-18",672
"74","2007-04-19",690
"75","2007-04-20",720
"76","2007-04-23",708
"77","2007-04-24",702
"78","2007-04-25",672
"79","2007-04-26",672
"80","2007-04-27",750
"81","2007-04-30",696
"82","2007-05-01",696
"83","2007-05-02",690
"84","2007-05-03",702
"85","2007-05-04",690
"86","2007-05-07",666
"87","2007-05-08",660
"88","2007-05-09",660
"89","2007-05-10",630
"90","2007-05-11",660
"91","2007-05-14",630
"92","2007-05-15",750
"93","2007-05-16",720
"94","2007-05-17",660
"95","2007-05-18",660
"96","2007-05-21",660
"97","2007-05-22",690
"98","2007-05-23",690
"99","2007-05-24",720
"100","2007-05-25",690
"101","2007-05-29",690
"102","2007-05-30",750
"103","2007-05-31",750
"104","2007-06-01",750
"105","2007-06-04",774
"106","2007-06-05",750
"107","2007-06-06",774
"108","2007-06-07",804
"109","2007-06-08",780
"110","2007-06-11",804
"111","2007-06-12",810
"112","2007-06-13",834
"113","2007-06-14",822
"114","2007-06-15",780
"115","2007-06-18",804
"116","2007-06-19",804
"117","2007-06-20",834
"118","2007-06-21",834
"119","2007-06-22",834
"120","2007-06-25",834
"121","2007-06-26",834
"122","2007-06-27",870
"123","2007-06-28",726
"124","2007-06-29",600
"125","2007-07-02",600
"126","2007-07-03",660
"127","2007-07-05",660
"128","2007-07-06",720
"129","2007-07-09",738
"130","2007-07-10",750
"131","2007-07-11",792
"132","2007-07-12",780
"133","2007-07-13",780
"134","2007-07-16",750
"135","2007-07-17",720
"136","2007-07-18",738
"137","2007-07-19",720
"138","2007-07-20",720
"139","2007-07-23",720
"140","2007-07-24",720
"141","2007-07-25",732
"142","2007-07-26",720
"143","2007-07-27",732
"144","2007-07-30",732
"145","2007-07-31",732
"146","2007-08-01",750
"147","2007-08-02",732
"148","2007-08-03",834
"149","2007-08-06",750
"150","2007-08-07",774
"151","2007-08-08",750
