"","date","GNPX"
"1","2018-03-29",4.7
"2","2018-04-02",4.5
"3","2018-04-03",4.1
"4","2018-04-04",3.84
"5","2018-04-05",4.137
"6","2018-04-06",5.45
"7","2018-04-09",5.05
"8","2018-04-10",4.72
"9","2018-04-11",5.09
"10","2018-04-12",5.02
"11","2018-04-13",5.13
"12","2018-04-16",4.85
"13","2018-04-17",4.81
"14","2018-04-18",4.61
"15","2018-04-19",4.25
"16","2018-04-20",4.28
"17","2018-04-23",4.445
"18","2018-04-24",4.98
"19","2018-04-25",5.89
"20","2018-04-26",11
"21","2018-04-27",15.21
"22","2018-04-30",15.49
"23","2018-05-01",13.2
"24","2018-05-02",14
"25","2018-05-03",14.37
"26","2018-05-04",14.2
"27","2018-05-07",13.8
"28","2018-05-08",15.9
"29","2018-05-09",15.37
"30","2018-05-10",13.33
"31","2018-05-11",10.87
"32","2018-05-14",8.8
"33","2018-05-15",10.58
"34","2018-05-16",11.78
"35","2018-05-17",11.59
"36","2018-05-18",10.79
"37","2018-05-21",10.22
"38","2018-05-22",10.1
"39","2018-05-23",9.8
"40","2018-05-24",10.02
"41","2018-05-25",8.86
"42","2018-05-29",9.29
"43","2018-05-30",9.51
"44","2018-05-31",10.49
"45","2018-06-01",10.75
"46","2018-06-04",10.86
"47","2018-06-05",10.77
"48","2018-06-06",10.66
"49","2018-06-07",10.69
"50","2018-06-08",10.33
"51","2018-06-11",9.67
"52","2018-06-12",9.35
"53","2018-06-13",8.9
"54","2018-06-14",8.22
"55","2018-06-15",7.82
"56","2018-06-18",7.8
"57","2018-06-19",6.9
"58","2018-06-20",7.42
"59","2018-06-21",7.91
"60","2018-06-22",8.16
"61","2018-06-25",7.725
"62","2018-06-26",8.61
"63","2018-06-27",8.01
"64","2018-06-28",7.9
"65","2018-06-29",7.663
"66","2018-07-02",7.71
"67","2018-07-03",7.86
"68","2018-07-05",8.05
"69","2018-07-06",7.6
"70","2018-07-09",8.078
"71","2018-07-10",7.9
"72","2018-07-11",8
"73","2018-07-12",7.94
"74","2018-07-13",7.738
"75","2018-07-16",7.55
"76","2018-07-17",7.478
"77","2018-07-18",7.39
"78","2018-07-19",7.79
"79","2018-07-20",7.36
"80","2018-07-23",7.51
"81","2018-07-24",7.25
"82","2018-07-25",6.91
"83","2018-07-26",6.98
"84","2018-07-27",3.17
"85","2018-07-30",3.06
"86","2018-07-31",3.03
"87","2018-08-01",3.21
"88","2018-08-02",3.12
"89","2018-08-03",2.93
"90","2018-08-06",3
"91","2018-08-07",3.13
"92","2018-08-08",2.95
"93","2018-08-09",3.055
"94","2018-08-10",2.98
"95","2018-08-13",2.81
"96","2018-08-14",2.89
"97","2018-08-15",2.77
"98","2018-08-16",2.76
"99","2018-08-17",2.75
"100","2018-08-20",2.78
"101","2018-08-21",2.69
"102","2018-08-22",2.57
"103","2018-08-23",2.5
"104","2018-08-24",2.53
"105","2018-08-27",2.43
"106","2018-08-28",2.68
"107","2018-08-29",2.61
"108","2018-08-30",2.6
"109","2018-08-31",2.55
"110","2018-09-04",2.45
"111","2018-09-05",2.35
"112","2018-09-06",2.25
"113","2018-09-07",2.37
"114","2018-09-10",2.2
"115","2018-09-11",2.32
"116","2018-09-12",2.3
"117","2018-09-13",2.2
"118","2018-09-14",2.38
"119","2018-09-17",2.45
"120","2018-09-18",2.42
"121","2018-09-19",2.49
"122","2018-09-20",2.44
"123","2018-09-21",2.41
"124","2018-09-24",2.25
"125","2018-09-25",2.27
"126","2018-09-26",2.22
"127","2018-09-27",2.26
"128","2018-09-28",2.27
"129","2018-10-01",2.15
"130","2018-10-02",2.14
"131","2018-10-03",2.15
"132","2018-10-04",2.15
"133","2018-10-05",2.03
"134","2018-10-08",2.03
"135","2018-10-09",2
"136","2018-10-10",1.88
"137","2018-10-11",1.76
"138","2018-10-12",1.82
"139","2018-10-15",1.84
"140","2018-10-16",1.83
"141","2018-10-17",1.81
"142","2018-10-18",1.78
"143","2018-10-19",1.77
"144","2018-10-22",1.75
"145","2018-10-23",1.63
"146","2018-10-24",1.566
"147","2018-10-25",1.58
"148","2018-10-26",1.74
"149","2018-10-29",1.64
"150","2018-10-30",1.78
"151","2018-10-31",1.64
"152","2018-11-01",1.68
"153","2018-11-02",1.65
"154","2018-11-05",1.63
"155","2018-11-06",1.55
"156","2018-11-07",1.55
"157","2018-11-08",1.51
"158","2018-11-09",1.45
"159","2018-11-12",1.5
"160","2018-11-13",1.4
"161","2018-11-14",1.32
"162","2018-11-15",1.45
"163","2018-11-16",1.38
"164","2018-11-19",1.31
"165","2018-11-20",1.35
