"","date","ACTG"
"1","2007-01-03",13.38
"2","2007-01-04",13.37
"3","2007-01-05",13.55
"4","2007-01-08",13.14
"5","2007-01-09",13.51
"6","2007-01-10",13.17
"7","2007-01-11",13.09
"8","2007-01-12",12.99
"9","2007-01-16",12.72
"10","2007-01-17",12.6
"11","2007-01-18",12.41
"12","2007-01-19",12.72
"13","2007-01-22",12.32
"14","2007-01-23",13.19
"15","2007-01-24",13.78
"16","2007-01-25",13.52
"17","2007-01-26",13.59
"18","2007-01-29",13.38
"19","2007-01-30",13.49
"20","2007-01-31",13.56
"21","2007-02-01",13.64
"22","2007-02-02",13.64
"23","2007-02-05",13.58
"24","2007-02-06",14.63
"25","2007-02-07",14.99
"26","2007-02-08",14.66
"27","2007-02-09",14.36
"28","2007-02-12",13.99
"29","2007-02-13",14.16
"30","2007-02-14",13.83
"31","2007-02-15",13.51
"32","2007-02-16",14.24
"33","2007-02-20",14.46
"34","2007-02-21",14.89
"35","2007-02-22",14.44
"36","2007-02-23",14.3
"37","2007-02-26",14.2
"38","2007-02-27",13.78
"39","2007-02-28",13.81
"40","2007-03-01",13.99
"41","2007-03-02",13.75
"42","2007-03-05",14.01
"43","2007-03-06",14.13
"44","2007-03-07",14.18
"45","2007-03-08",14.85
"46","2007-03-09",14.83
"47","2007-03-12",14.86
"48","2007-03-13",14.37
"49","2007-03-14",14.31
"50","2007-03-15",14.59
"51","2007-03-16",15.07
"52","2007-03-19",15.51
"53","2007-03-20",15.98
"54","2007-03-21",16.35
"55","2007-03-22",16.139999
"56","2007-03-23",15.9
"57","2007-03-26",15.95
"58","2007-03-27",15.65
"59","2007-03-28",15.5
"60","2007-03-29",15.77
"61","2007-03-30",15.82
"62","2007-04-02",15.53
"63","2007-04-03",15.77
"64","2007-04-04",15.75
"65","2007-04-05",16.41
"66","2007-04-09",16
"67","2007-04-10",15.99
"68","2007-04-11",15.83
"69","2007-04-12",15.99
"70","2007-04-13",15.62
"71","2007-04-16",15.9
"72","2007-04-17",15.71
"73","2007-04-18",15.45
"74","2007-04-19",14.65
"75","2007-04-20",15
"76","2007-04-23",15.15
"77","2007-04-24",15.31
"78","2007-04-25",15.46
"79","2007-04-26",16.370001
"80","2007-04-27",15.82
"81","2007-04-30",14.92
"82","2007-05-01",14.78
"83","2007-05-02",14.47
"84","2007-05-03",14.57
"85","2007-05-04",14.42
"86","2007-05-07",13.93
"87","2007-05-08",14.11
"88","2007-05-09",14.52
"89","2007-05-10",14.12
"90","2007-05-11",14.29
"91","2007-05-14",14.16
"92","2007-05-15",13.51
"93","2007-05-16",13.5
"94","2007-05-17",13.47
"95","2007-05-18",13.44
"96","2007-05-21",14.01
"97","2007-05-22",14.16
"98","2007-05-23",13.87
"99","2007-05-24",13.37
"100","2007-05-25",14.02
"101","2007-05-29",13.73
"102","2007-05-30",13.62
"103","2007-05-31",13.57
"104","2007-06-01",13.79
"105","2007-06-04",14.03
"106","2007-06-05",13.78
"107","2007-06-06",13.59
"108","2007-06-07",13.19
"109","2007-06-08",13.53
"110","2007-06-11",13.45
"111","2007-06-12",13.15
"112","2007-06-13",13.51
"113","2007-06-14",13.7
"114","2007-06-15",14.24
"115","2007-06-18",14.03
"116","2007-06-19",14.51
"117","2007-06-20",14.63
"118","2007-06-21",14.68
"119","2007-06-22",14.71
"120","2007-06-25",14.64
"121","2007-06-26",15.19
"122","2007-06-27",15.26
"123","2007-06-28",15.32
"124","2007-06-29",16.16
"125","2007-07-02",16.27
"126","2007-07-03",16.200001
"127","2007-07-05",16.040001
"128","2007-07-06",16.26
"129","2007-07-09",15.87
"130","2007-07-10",15.24
"131","2007-07-11",15.7
"132","2007-07-12",16
"133","2007-07-13",15.8
"134","2007-07-16",15.74
"135","2007-07-17",15.79
"136","2007-07-18",15.62
"137","2007-07-19",15.63
"138","2007-07-20",15.67
"139","2007-07-23",15.64
"140","2007-07-24",15.31
"141","2007-07-25",15.17
"142","2007-07-26",14.68
"143","2007-07-27",12.82
"144","2007-07-30",12.9
"145","2007-07-31",12.86
"146","2007-08-01",12.65
"147","2007-08-02",12.68
"148","2007-08-03",12.16
"149","2007-08-06",11.96
"150","2007-08-07",11.57
"151","2007-08-08",13.07
"152","2007-08-09",12.28
"153","2007-08-10",12.53
"154","2007-08-13",11.93
"155","2007-08-14",11.26
"156","2007-08-15",11.19
"157","2007-08-16",12
"158","2007-08-17",12.42
"159","2007-08-20",12.35
"160","2007-08-21",12.33
"161","2007-08-22",12.5
"162","2007-08-23",12.05
"163","2007-08-24",12.37
"164","2007-08-27",12.02
"165","2007-08-28",12.06
"166","2007-08-29",14.22
"167","2007-08-30",14.68
"168","2007-08-31",14.98
"169","2007-09-04",15.44
"170","2007-09-05",15.62
"171","2007-09-06",15.82
"172","2007-09-07",14.64
"173","2007-09-10",14.25
"174","2007-09-11",14.74
"175","2007-09-12",14.18
"176","2007-09-13",14.12
"177","2007-09-14",14.09
"178","2007-09-17",13.38
"179","2007-09-18",14.43
"180","2007-09-19",14.6
"181","2007-09-20",14.39
"182","2007-09-21",14.82
"183","2007-09-24",14.35
"184","2007-09-25",14.34
"185","2007-09-26",14.55
"186","2007-09-27",14.72
"187","2007-09-28",14.68
"188","2007-10-01",15.16
"189","2007-10-02",15.56
"190","2007-10-03",15.41
"191","2007-10-04",15.2
"192","2007-10-05",15.97
"193","2007-10-08",15.97
"194","2007-10-09",16.200001
"195","2007-10-10",16.139999
"196","2007-10-11",15.99
"197","2007-10-12",16.290001
"198","2007-10-15",16.530001
"199","2007-10-16",16.540001
"200","2007-10-17",16.51
"201","2007-10-18",16.4
"202","2007-10-19",15.6
"203","2007-10-22",16.01
"204","2007-10-23",15.98
"205","2007-10-24",15.4
"206","2007-10-25",15.63
"207","2007-10-26",16.790001
"208","2007-10-29",16.620001
"209","2007-10-30",16.27
"210","2007-10-31",16.51
"211","2007-11-01",15.71
"212","2007-11-02",15.61
"213","2007-11-05",15.83
"214","2007-11-06",16.049999
"215","2007-11-07",15.28
"216","2007-11-08",14.08
"217","2007-11-09",14.69
"218","2007-11-12",14.47
"219","2007-11-13",15.19
"220","2007-11-14",15.55
"221","2007-11-15",17.15
"222","2007-11-16",11.37
"223","2007-11-19",10.02
"224","2007-11-20",10.03
"225","2007-11-21",9.93
"226","2007-11-23",9.82
"227","2007-11-26",8.97
"228","2007-11-27",9.2
"229","2007-11-28",9.73
"230","2007-11-29",9.46
"231","2007-11-30",9.22
"232","2007-12-03",8.7
"233","2007-12-04",8.75
"234","2007-12-05",9.02
"235","2007-12-06",10.35
"236","2007-12-07",10.35
"237","2007-12-10",9.72
"238","2007-12-11",9.22
"239","2007-12-12",9.45
"240","2007-12-13",9.49
"241","2007-12-14",9.26
"242","2007-12-17",9.01
"243","2007-12-18",9.04
"244","2007-12-19",8.98
"245","2007-12-20",8.98
"246","2007-12-21",8.99
"247","2007-12-24",9.15
"248","2007-12-26",9.23
"249","2007-12-27",8.61
"250","2007-12-28",8.71
"251","2007-12-31",8.98
"252","2008-01-02",8.68
"253","2008-01-03",8.61
"254","2008-01-04",8.3
"255","2008-01-07",8.49
"256","2008-01-08",8.05
"257","2008-01-09",8.09
"258","2008-01-10",8.49
"259","2008-01-11",8.51
"260","2008-01-14",8.71
"261","2008-01-15",8.34
"262","2008-01-16",9.21
"263","2008-01-17",8.53
"264","2008-01-18",8.31
"265","2008-01-22",8
"266","2008-01-23",8.29
"267","2008-01-24",8.15
"268","2008-01-25",8.02
"269","2008-01-28",8.07
"270","2008-01-29",7.84
"271","2008-01-30",7.58
"272","2008-01-31",7.45
"273","2008-02-01",7.45
"274","2008-02-04",7.38
"275","2008-02-05",7.15
"276","2008-02-06",6.65
"277","2008-02-07",6.86
"278","2008-02-08",6.75
"279","2008-02-11",6.95
"280","2008-02-12",6.94
"281","2008-02-13",7.2
"282","2008-02-14",6.9
"283","2008-02-15",6.84
"284","2008-02-19",6.85
"285","2008-02-20",7.1
"286","2008-02-21",7.02
"287","2008-02-22",7.25
"288","2008-02-25",7.26
"289","2008-02-26",7.32
"290","2008-02-27",7.65
"291","2008-02-28",7.03
"292","2008-02-29",6.53
"293","2008-03-03",6.27
"294","2008-03-04",5.95
"295","2008-03-05",5.94
"296","2008-03-06",5.53
"297","2008-03-07",5.31
"298","2008-03-10",5.28
"299","2008-03-11",5.61
"300","2008-03-12",5.53
"301","2008-03-13",5.39
"302","2008-03-14",5.05
"303","2008-03-17",4.85
"304","2008-03-18",5.18
"305","2008-03-19",4.86
"306","2008-03-20",5.47
"307","2008-03-24",5.43
"308","2008-03-25",5.72
"309","2008-03-26",5.7
"310","2008-03-27",5.88
"311","2008-03-28",5.75
"312","2008-03-31",5.75
"313","2008-04-01",6.14
"314","2008-04-02",6.37
"315","2008-04-03",6.11
"316","2008-04-04",6.04
"317","2008-04-07",6
"318","2008-04-08",5.9
"319","2008-04-09",5.87
"320","2008-04-10",5.98
"321","2008-04-11",5.56
"322","2008-04-14",5.3
"323","2008-04-15",5.42
"324","2008-04-16",5.8
"325","2008-04-17",5.9
"326","2008-04-18",6.25
"327","2008-04-21",6.2
"328","2008-04-22",6.06
"329","2008-04-23",6.14
"330","2008-04-24",6.4
"331","2008-04-25",5.57
"332","2008-04-28",5.44
"333","2008-04-29",5.28
"334","2008-04-30",5.32
"335","2008-05-01",5.25
"336","2008-05-02",5.15
"337","2008-05-05",5.23
"338","2008-05-06",5.76
"339","2008-05-07",5.37
"340","2008-05-08",5.45
"341","2008-05-09",5.49
"342","2008-05-12",5.44
"343","2008-05-13",5.46
"344","2008-05-14",5.28
"345","2008-05-15",5.36
"346","2008-05-16",5.42
"347","2008-05-19",5.2
"348","2008-05-20",5.09
"349","2008-05-21",4.92
"350","2008-05-22",5.11
"351","2008-05-23",4.82
"352","2008-05-27",4.65
"353","2008-05-28",4.95
"354","2008-05-29",5.38
"355","2008-05-30",5.43
"356","2008-06-02",5.41
"357","2008-06-03",5.04
"358","2008-06-04",4.97
"359","2008-06-05",5.21
"360","2008-06-06",4.93
"361","2008-06-09",5.13
"362","2008-06-10",4.98
"363","2008-06-11",4.89
"364","2008-06-12",4.8
"365","2008-06-13",4.94
"366","2008-06-16",4.86
"367","2008-06-17",4.86
"368","2008-06-18",4.83
"369","2008-06-19",4.8
"370","2008-06-20",4.76
"371","2008-06-23",4.37
"372","2008-06-24",4.34
"373","2008-06-25",4.71
"374","2008-06-26",4.76
"375","2008-06-27",4.4
"376","2008-06-30",4.48
"377","2008-07-01",4.21
"378","2008-07-02",4.23
"379","2008-07-03",4.39
"380","2008-07-07",4.47
"381","2008-07-08",4.57
"382","2008-07-09",4.47
"383","2008-07-10",4.76
"384","2008-07-11",4.74
"385","2008-07-14",4.84
"386","2008-07-15",4.55
"387","2008-07-16",4.69
"388","2008-07-17",4.75
"389","2008-07-18",4.63
"390","2008-07-21",4.76
"391","2008-07-22",5.08
"392","2008-07-23",5.03
"393","2008-07-24",5
"394","2008-07-25",4.19
"395","2008-07-28",4.19
"396","2008-07-29",4.33
"397","2008-07-30",4.34
"398","2008-07-31",4.21
"399","2008-08-01",4.21
"400","2008-08-04",4.11
"401","2008-08-05",4.14
"402","2008-08-06",4.13
"403","2008-08-07",4.18
"404","2008-08-08",4.17
"405","2008-08-11",4.22
"406","2008-08-12",4.08
"407","2008-08-13",4.18
"408","2008-08-14",4.2
"409","2008-08-15",4.07
"410","2008-08-18",4.09
"411","2008-08-19",3.96
"412","2008-08-20",3.71
"413","2008-08-21",3.6
"414","2008-08-22",3.59
"415","2008-08-25",3.65
"416","2008-08-26",3.6
"417","2008-08-27",3.89
"418","2008-08-28",3.95
"419","2008-08-29",3.99
"420","2008-09-02",3.95
"421","2008-09-03",3.99
"422","2008-09-04",3.99
"423","2008-09-05",3.97
