"","date","MEC"
"1","2019-05-09",16.469999
"2","2019-05-10",16.5
"3","2019-05-13",16.049999
"4","2019-05-14",16.690001
"5","2019-05-15",17.15
"6","2019-05-16",16.950001
"7","2019-05-17",16.129999
"8","2019-05-20",16.200001
"9","2019-05-21",16.07
"10","2019-05-22",15.95
"11","2019-05-23",15.77
"12","2019-05-24",15.3
"13","2019-05-28",15.81
"14","2019-05-29",15.75
"15","2019-05-30",15.94
"16","2019-05-31",16.299999
"17","2019-06-03",16.889999
"18","2019-06-04",16.6
"19","2019-06-05",15.99
"20","2019-06-06",15.15
"21","2019-06-07",14.36
"22","2019-06-10",13.75
"23","2019-06-11",12.12
"24","2019-06-12",13.36
"25","2019-06-13",14.9
"26","2019-06-14",15.03
"27","2019-06-17",15.18
"28","2019-06-18",15.86
"29","2019-06-19",15.68
"30","2019-06-20",14.97
"31","2019-06-21",14.31
"32","2019-06-24",14.36
"33","2019-06-25",13.95
"34","2019-06-26",14.52
"35","2019-06-27",14.61
"36","2019-06-28",13.8
"37","2019-07-01",13.74
"38","2019-07-02",13.58
"39","2019-07-03",14.27
"40","2019-07-05",14.82
"41","2019-07-08",15.27
"42","2019-07-09",15.03
"43","2019-07-10",15.43
"44","2019-07-11",14.35
"45","2019-07-12",14.7
"46","2019-07-15",14.77
"47","2019-07-16",15.12
"48","2019-07-17",15.22
"49","2019-07-18",15.24
"50","2019-07-19",15.19
"51","2019-07-22",14.26
"52","2019-07-23",14.31
"53","2019-07-24",14.8
"54","2019-07-25",13.99
"55","2019-07-26",14.4
"56","2019-07-29",13.98
"57","2019-07-30",13.92
"58","2019-07-31",13.17
"59","2019-08-01",12.94
"60","2019-08-02",13.03
"61","2019-08-05",12.95
"62","2019-08-06",12.98
"63","2019-08-07",12.2
"64","2019-08-08",11.82
"65","2019-08-09",11.49
"66","2019-08-12",11.58
"67","2019-08-13",12.14
"68","2019-08-14",11.46
"69","2019-08-15",11.81
"70","2019-08-16",11.84
"71","2019-08-19",12.25
"72","2019-08-20",12.33
"73","2019-08-21",12.76
"74","2019-08-22",13.08
"75","2019-08-23",12.57
"76","2019-08-26",13.2
"77","2019-08-27",13.24
"78","2019-08-28",13.04
