"","date","DDD"
"1","2007-01-03",5.07
"2","2007-01-04",4.926667
"3","2007-01-05",4.833333
"4","2007-01-08",4.846667
"5","2007-01-09",4.86
"6","2007-01-10",4.986667
"7","2007-01-11",5.05
"8","2007-01-12",5.03
"9","2007-01-16",5.1
"10","2007-01-17",5.066667
"11","2007-01-18",4.85
"12","2007-01-19",4.893333
"13","2007-01-22",4.943333
"14","2007-01-23",5.216667
"15","2007-01-24",5.356667
"16","2007-01-25",5.513333
"17","2007-01-26",5.766667
"18","2007-01-29",5.736667
"19","2007-01-30",5.95
"20","2007-01-31",6.08
"21","2007-02-01",6.3
"22","2007-02-02",6.416667
"23","2007-02-05",6.41
"24","2007-02-06",6.423333
"25","2007-02-07",6.246666
"26","2007-02-08",6.413333
"27","2007-02-09",6.343333
"28","2007-02-12",6.183333
"29","2007-02-13",6.313334
"30","2007-02-14",6.12
"31","2007-02-15",6.43
"32","2007-02-16",6.443333
"33","2007-02-20",6.366667
"34","2007-02-21",6.41
"35","2007-02-22",6.563334
"36","2007-02-23",6.466667
"37","2007-02-26",6.3
"38","2007-02-27",6.163333
"39","2007-02-28",6.05
"40","2007-03-01",6.31
"41","2007-03-02",6.176667
"42","2007-03-05",6.293334
"43","2007-03-06",6.65
"44","2007-03-07",6.306667
"45","2007-03-08",6.36
"46","2007-03-09",6.253334
"47","2007-03-12",6.203333
"48","2007-03-13",6.053333
"49","2007-03-14",6.03
"50","2007-03-15",5.996666
"51","2007-03-16",5.88
"52","2007-03-19",5.823333
"53","2007-03-20",5.946667
"54","2007-03-21",6.016667
"55","2007-03-22",6.183333
"56","2007-03-23",6.343333
"57","2007-03-26",6.456666
"58","2007-03-27",6.666667
"59","2007-03-28",6.79
"60","2007-03-29",7.243333
"61","2007-03-30",7.303333
"62","2007-04-02",7.016667
"63","2007-04-03",7.27
"64","2007-04-04",7.28
"65","2007-04-05",7.516667
"66","2007-04-09",7.266667
"67","2007-04-10",7.133333
"68","2007-04-11",6.95
"69","2007-04-12",6.926667
"70","2007-04-13",6.6
"71","2007-04-16",6.706666
"72","2007-04-17",6.573333
"73","2007-04-18",6.343333
"74","2007-04-19",6.436666
"75","2007-04-20",6.573333
"76","2007-04-23",6.486667
"77","2007-04-24",6.556667
"78","2007-04-25",6.53
"79","2007-04-26",6.586667
"80","2007-04-27",6.63
"81","2007-04-30",6.416667
"82","2007-05-01",6.446667
"83","2007-05-02",6.37
"84","2007-05-03",6.29
"85","2007-05-04",6.336667
"86","2007-05-07",6.196667
"87","2007-05-08",6.693333
"88","2007-05-09",6.906667
"89","2007-05-10",7.013333
"90","2007-05-11",7.01
"91","2007-05-14",7
"92","2007-05-15",6.97
"93","2007-05-16",7.31
"94","2007-05-17",7.076667
"95","2007-05-18",7.17
"96","2007-05-21",7.296667
"97","2007-05-22",7.3
"98","2007-05-23",7.026667
"99","2007-05-24",6.63
"100","2007-05-25",6.706666
"101","2007-05-29",6.756667
"102","2007-05-30",6.883333
"103","2007-05-31",6.72
"104","2007-06-01",7.01
"105","2007-06-04",7.03
"106","2007-06-05",7.093333
"107","2007-06-06",6.843333
"108","2007-06-07",6.703333
"109","2007-06-08",6.623333
"110","2007-06-11",6.746666
"111","2007-06-12",7.22
"112","2007-06-13",7.12
"113","2007-06-14",7.423333
"114","2007-06-15",7.606667
"115","2007-06-18",8.323334
"116","2007-06-19",8.33
"117","2007-06-20",7.943333
"118","2007-06-21",7.983333
"119","2007-06-22",8.013333
"120","2007-06-25",7.8
"121","2007-06-26",7.82
"122","2007-06-27",8.02
"123","2007-06-28",8.2
"124","2007-06-29",8.29
"125","2007-07-02",8.473333
"126","2007-07-03",8.733334
"127","2007-07-05",8.736667
"128","2007-07-06",8.33
"129","2007-07-09",8.323334
"130","2007-07-10",7.993333
"131","2007-07-11",7.973333
"132","2007-07-12",8.313334
"133","2007-07-13",8.51
"134","2007-07-16",8.476666
"135","2007-07-17",8.203333
"136","2007-07-18",7.663333
"137","2007-07-19",8.003333
"138","2007-07-20",7.783333
"139","2007-07-23",7.496666
"140","2007-07-24",7.05
"141","2007-07-25",6.73
"142","2007-07-26",6.5
"143","2007-07-27",6.513333
"144","2007-07-30",6.786667
"145","2007-07-31",6.793334
"146","2007-08-01",6.68
"147","2007-08-02",6.54
"148","2007-08-03",6.55
"149","2007-08-06",6.686666
"150","2007-08-07",7.116667
"151","2007-08-08",7.936666
"152","2007-08-09",8.266666
"153","2007-08-10",7.97
"154","2007-08-13",7.11
"155","2007-08-14",7.06
"156","2007-08-15",7.343333
"157","2007-08-16",7.706666
"158","2007-08-17",7.803333
"159","2007-08-20",7.386667
"160","2007-08-21",6.98
"161","2007-08-22",6.996666
"162","2007-08-23",6.763333
"163","2007-08-24",6.756667
"164","2007-08-27",7.036667
"165","2007-08-28",6.973333
"166","2007-08-29",6.766667
"167","2007-08-30",6.91
"168","2007-08-31",6.68
"169","2007-09-04",6.983333
"170","2007-09-05",6.793334
"171","2007-09-06",6.78
"172","2007-09-07",6.65
"173","2007-09-10",6.783333
"174","2007-09-11",6.97
"175","2007-09-12",6.846667
"176","2007-09-13",6.913333
"177","2007-09-14",6.996666
"178","2007-09-17",6.75
"179","2007-09-18",7.09
"180","2007-09-19",7.803333
"181","2007-09-20",7.873333
"182","2007-09-21",7.993333
"183","2007-09-24",8.326667
"184","2007-09-25",7.78
"185","2007-09-26",8
"186","2007-09-27",8.03
"187","2007-09-28",7.873333
"188","2007-10-01",7.873333
"189","2007-10-02",8
"190","2007-10-03",7.99
"191","2007-10-04",7.906667
"192","2007-10-05",7.996666
"193","2007-10-08",7.986667
"194","2007-10-09",7.996666
"195","2007-10-10",8.08
