"","date","BSBR"
"1","2009-10-07",13.01
"2","2009-10-08",13
"3","2009-10-09",13.11
"4","2009-10-12",13.03
"5","2009-10-13",13.2
"6","2009-10-14",13.38
"7","2009-10-15",13.73
"8","2009-10-16",13.51
"9","2009-10-19",13.64
"10","2009-10-20",13.16
"11","2009-10-21",12.99
"12","2009-10-22",13.21
"13","2009-10-23",13.25
"14","2009-10-26",13.23
"15","2009-10-27",13
"16","2009-10-28",12.23
"17","2009-10-29",12.37
"18","2009-10-30",11.86
"19","2009-11-02",11.75
"20","2009-11-03",12.24
"21","2009-11-04",12.25
"22","2009-11-05",12.5
"23","2009-11-06",12.31
"24","2009-11-09",12.48
"25","2009-11-10",12.5
"26","2009-11-11",12.83
"27","2009-11-12",12.56
"28","2009-11-13",12.64
"29","2009-11-16",12.97
"30","2009-11-17",13.12
"31","2009-11-18",13.42
"32","2009-11-19",13.02
"33","2009-11-20",12.94
"34","2009-11-23",13.26
"35","2009-11-24",13.4
"36","2009-11-25",13.34
"37","2009-11-27",13.35
"38","2009-11-30",13.65
"39","2009-12-01",14.41
"40","2009-12-02",14.52
"41","2009-12-03",14.01
"42","2009-12-04",13.64
"43","2009-12-07",13.62
"44","2009-12-08",13.71
"45","2009-12-09",13.9
"46","2009-12-10",13.69
"47","2009-12-11",13.71
"48","2009-12-14",13.42
"49","2009-12-15",13.02
"50","2009-12-16",13.15
"51","2009-12-17",12.86
"52","2009-12-18",13.43
"53","2009-12-21",13.69
"54","2009-12-22",13.63
"55","2009-12-23",13.6
"56","2009-12-24",13.71
"57","2009-12-28",13.52
"58","2009-12-29",13.62
"59","2009-12-30",13.94
"60","2009-12-31",13.94
"61","2010-01-04",14.03
"62","2010-01-05",14.05
"63","2010-01-06",13.96
"64","2010-01-07",13.7
"65","2010-01-08",13.83
"66","2010-01-11",13.86
"67","2010-01-12",13.76
"68","2010-01-13",13.66
"69","2010-01-14",13.36
"70","2010-01-15",13.05
"71","2010-01-19",13.12
"72","2010-01-20",12.88
"73","2010-01-21",12.32
"74","2010-01-22",11.96
"75","2010-01-25",12.25
"76","2010-01-26",12.23
"77","2010-01-27",12.09
"78","2010-01-28",12.22
"79","2010-01-29",12.04
"80","2010-02-01",12.09
"81","2010-02-02",12.18
"82","2010-02-03",12.23
"83","2010-02-04",11.03
"84","2010-02-05",10.77
"85","2010-02-08",11.05
"86","2010-02-09",11.57
