"","date","IPV"
"1","2020-02-27",9.85
"2","2020-02-28",9.85
"3","2020-03-02",9.83
"4","2020-03-03",9.81
"5","2020-03-04",9.84
"6","2020-03-05",9.82
"7","2020-03-06",9.85
"8","2020-03-09",9.8
"9","2020-03-10",9.8
"10","2020-03-11",9.79
"11","2020-03-12",9.7
"12","2020-03-13",9.7
"13","2020-03-16",9.74
"14","2020-03-17",9.73
"15","2020-03-18",9.28
"16","2020-03-19",9.48
"17","2020-03-20",9.42
"18","2020-03-23",9.2
"19","2020-03-24",9.45
"20","2020-03-25",9.45
"21","2020-03-26",9.45
"22","2020-03-27",9.37
"23","2020-03-30",9.37
"24","2020-03-31",9.37
"25","2020-04-01",9.42
"26","2020-04-02",9.52
"27","2020-04-03",9.55
"28","2020-04-06",9.55
"29","2020-04-07",9.55
"30","2020-04-08",9.55
"31","2020-04-09",9.55
"32","2020-04-13",9.55
"33","2020-04-14",9.706
"34","2020-04-15",9.6
"35","2020-04-16",9.6
"36","2020-04-17",9.59
"37","2020-04-20",9.74
"38","2020-04-21",9.74
"39","2020-04-22",9.74
"40","2020-04-23",9.79
"41","2020-04-24",9.79
"42","2020-04-27",9.79
"43","2020-04-28",9.79
"44","2020-04-29",9.79
"45","2020-04-30",9.79
"46","2020-05-01",9.79
"47","2020-05-04",9.79
"48","2020-05-05",9.79
"49","2020-05-06",9.79
"50","2020-05-07",9.79
"51","2020-05-08",9.79
"52","2020-05-11",9.79
"53","2020-05-12",9.79
"54","2020-05-13",9.79
"55","2020-05-14",9.79
"56","2020-05-15",9.79
"57","2020-05-18",9.79
"58","2020-05-19",9.79
"59","2020-05-20",9.79
"60","2020-05-21",9.79
"61","2020-05-22",9.79
"62","2020-05-26",9.79
"63","2020-05-27",9.79
"64","2020-05-28",9.79
"65","2020-05-29",9.79
"66","2020-06-01",9.69
"67","2020-06-02",9.65
"68","2020-06-03",9.65
"69","2020-06-04",9.65
"70","2020-06-05",9.65
"71","2020-06-08",9.8
"72","2020-06-09",9.8
"73","2020-06-10",9.7
"74","2020-06-11",9.7
"75","2020-06-12",9.7
"76","2020-06-15",9.7
"77","2020-06-16",9.7
"78","2020-06-17",9.7
"79","2020-06-18",9.79
"80","2020-06-19",9.84
"81","2020-06-22",9.829
"82","2020-06-23",9.8
"83","2020-06-24",9.845
"84","2020-06-25",9.91
"85","2020-06-26",9.855
"86","2020-06-29",9.875
"87","2020-06-30",9.92
"88","2020-07-01",9.95
"89","2020-07-02",9.94
"90","2020-07-06",9.85
"91","2020-07-07",9.87
"92","2020-07-08",9.9
"93","2020-07-09",9.95
"94","2020-07-10",9.96
"95","2020-07-13",10.05
"96","2020-07-14",10.1
"97","2020-07-15",10.05
"98","2020-07-16",10.05
"99","2020-07-17",10.03
"100","2020-07-20",10.15
"101","2020-07-21",10.1
"102","2020-07-22",10.05
"103","2020-07-23",10.02
"104","2020-07-24",10.02
"105","2020-07-27",10.02
"106","2020-07-28",10.02
"107","2020-07-29",10.03
"108","2020-07-30",10.02
"109","2020-07-31",9.94
"110","2020-08-03",9.99
"111","2020-08-04",10
"112","2020-08-05",9.95
"113","2020-08-06",9.973
"114","2020-08-07",9.99
"115","2020-08-10",9.95
"116","2020-08-11",9.95
"117","2020-08-12",9.95
"118","2020-08-13",10
"119","2020-08-14",9.955
"120","2020-08-17",9.93
"121","2020-08-18",9.93
"122","2020-08-19",9.99
"123","2020-08-20",9.95
"124","2020-08-21",9.95
"125","2020-08-24",9.85
"126","2020-08-25",9.85
"127","2020-08-26",9.83
"128","2020-08-27",9.83
"129","2020-08-28",9.83
"130","2020-08-31",9.89
"131","2020-09-01",9.8
"132","2020-09-02",9.8
"133","2020-09-03",9.81
"134","2020-09-04",9.91
"135","2020-09-08",9.86
"136","2020-09-09",9.86
"137","2020-09-10",9.85
"138","2020-09-11",9.84
"139","2020-09-14",9.88
"140","2020-09-15",9.86
"141","2020-09-16",9.91
"142","2020-09-17",9.95
"143","2020-09-18",9.92
"144","2020-09-21",9.95
"145","2020-09-22",10.1
"146","2020-09-23",9.93
"147","2020-09-24",9.93
"148","2020-09-25",9.9
"149","2020-09-28",9.88
"150","2020-09-29",9.9
"151","2020-09-30",10
"152","2020-10-01",10.025
"153","2020-10-02",10.01
"154","2020-10-05",10.02
"155","2020-10-06",10
"156","2020-10-07",9.945
"157","2020-10-08",9.97
"158","2020-10-09",9.93
"159","2020-10-12",9.985
"160","2020-10-13",10.045
"161","2020-10-14",10.05
"162","2020-10-15",10
"163","2020-10-16",9.9
"164","2020-10-19",9.9
"165","2020-10-20",9.91
"166","2020-10-21",9.91
"167","2020-10-22",9.99
"168","2020-10-23",9.9
"169","2020-10-26",9.88
"170","2020-10-27",9.88
"171","2020-10-28",9.81
"172","2020-10-29",9.901
"173","2020-10-30",9.89
"174","2020-11-02",10.02
"175","2020-11-03",10.05
"176","2020-11-04",10.08
"177","2020-11-05",10.11
"178","2020-11-06",10.12
"179","2020-11-09",10.095
"180","2020-11-10",10.13
"181","2020-11-11",10.08
"182","2020-11-12",10.08
"183","2020-11-13",10.07
"184","2020-11-16",10.08
"185","2020-11-17",10.1
"186","2020-11-18",10.08
"187","2020-11-19",10.1
"188","2020-11-20",10.25
"189","2020-11-23",10.4
"190","2020-11-24",10.4
"191","2020-11-25",10.72
"192","2020-11-27",10.87
