"","date","SNBP"
"1","2017-01-03",10.1
"2","2017-01-04",15
"3","2017-01-05",15
"4","2017-01-06",10.1
"5","2017-01-09",10.1
"6","2017-01-10",10.1
"7","2017-01-11",10.1
"8","2017-01-12",13.5
"9","2017-01-13",13.5
"10","2017-01-17",13.5
"11","2017-01-18",13.5
"12","2017-01-19",13.5
"13","2017-01-20",13.5
"14","2017-01-23",13.5
"15","2017-01-24",13.5
"16","2017-01-25",10
"17","2017-01-26",10
"18","2017-01-27",10
"19","2017-01-30",5.5
"20","2017-01-31",9
"21","2017-02-01",17.5
"22","2017-02-02",17.5
"23","2017-02-03",18
"24","2017-02-06",17.5
"25","2017-02-07",17.5
"26","2017-02-08",17.5
"27","2017-02-09",17.5
"28","2017-02-10",17.5
"29","2017-02-13",15
"30","2017-02-14",15
"31","2017-02-15",15
"32","2017-02-16",15
"33","2017-02-17",15
"34","2017-02-21",17.5
"35","2017-02-22",17.5
"36","2017-02-23",17.5
"37","2017-02-24",18.5
"38","2017-02-27",25
"39","2017-02-28",25
"40","2017-03-01",23.5
"41","2017-03-02",25
"42","2017-03-03",25
"43","2017-03-06",25
"44","2017-03-07",35
"45","2017-03-08",40
"46","2017-03-09",37.5
"47","2017-03-10",39
"48","2017-03-13",39
"49","2017-03-14",38.5
"50","2017-03-15",39.25
"51","2017-03-16",36.5
"52","2017-03-17",36.5
"53","2017-03-20",36.5
"54","2017-03-21",36.5
"55","2017-03-22",36.5
"56","2017-03-23",30
"57","2017-03-24",30
"58","2017-03-27",30
"59","2017-03-28",30
"60","2017-03-29",27.5
"61","2017-03-30",30
"62","2017-03-31",29.809999
"63","2017-04-03",29.809999
"64","2017-04-04",27.5
"65","2017-04-05",27.5
"66","2017-04-06",25.540001
"67","2017-04-07",22.5
"68","2017-04-10",21.5
"69","2017-04-11",23.040001
"70","2017-04-12",25.389999
"71","2017-04-13",21.5
"72","2017-04-17",21.5
"73","2017-04-18",20
"74","2017-04-19",19.5
"75","2017-04-20",19.5
"76","2017-04-21",14.5
"77","2017-04-24",14.5
"78","2017-04-25",17.5
"79","2017-04-26",17.5
"80","2017-04-27",17.5
"81","2017-04-28",21.35
"82","2017-05-01",21.35
"83","2017-05-02",21.5
"84","2017-05-03",21.5
"85","2017-05-04",21.4
"86","2017-05-05",19.5
"87","2017-05-08",15
"88","2017-05-09",15
"89","2017-05-10",15
"90","2017-05-11",21
"91","2017-05-12",22.5
"92","2017-05-15",20
"93","2017-05-16",19
"94","2017-05-17",19
"95","2017-05-18",19.98
"96","2017-05-19",19.98
"97","2017-05-22",19.700001
"98","2017-05-23",17
"99","2017-05-24",16.5
"100","2017-05-25",14.3
"101","2017-05-26",14.3
"102","2017-05-30",14.6
"103","2017-05-31",14.3
"104","2017-06-01",13
"105","2017-06-02",13
"106","2017-06-05",13.5
"107","2017-06-06",14
"108","2017-06-07",15.9
"109","2017-06-08",15.9
"110","2017-06-09",14.3
"111","2017-06-12",15
"112","2017-06-13",14.4
"113","2017-06-14",14.5
"114","2017-06-15",14.5
"115","2017-06-16",16.9
"116","2017-06-19",16.9
"117","2017-06-20",16.9
"118","2017-06-21",16.9
"119","2017-06-22",16.9
"120","2017-06-23",16.9
"121","2017-06-26",16.9
"122","2017-06-27",16.9
"123","2017-06-28",17
"124","2017-06-29",17
"125","2017-06-30",17
