"","date","BXRX"
"1","2019-11-14",7
"2","2019-11-15",6.317
"3","2019-11-18",6.05
"4","2019-11-19",5.25
"5","2019-11-20",5.51
"6","2019-11-21",4.51
"7","2019-11-22",4.48
"8","2019-11-25",4.56
"9","2019-11-26",6.86
"10","2019-11-27",5.6
"11","2019-11-29",5.37
"12","2019-12-02",5.4
"13","2019-12-03",5.65
"14","2019-12-04",5.78
"15","2019-12-05",6.33
"16","2019-12-06",6.67
"17","2019-12-09",6.25
"18","2019-12-10",6.39
"19","2019-12-11",6.15
"20","2019-12-12",6.3
"21","2019-12-13",6.05
"22","2019-12-16",6.15
"23","2019-12-17",5.9
"24","2019-12-18",5.46
"25","2019-12-19",5.6
"26","2019-12-20",5.72
"27","2019-12-23",6.92
"28","2019-12-24",6.7
"29","2019-12-26",7.2
"30","2019-12-27",7.24
"31","2019-12-30",6.98
"32","2019-12-31",6.92
"33","2020-01-02",6.53
"34","2020-01-03",7.05
"35","2020-01-06",6.8
"36","2020-01-07",6.91
"37","2020-01-08",7.01
"38","2020-01-09",6.98
"39","2020-01-10",7.24
"40","2020-01-13",7.82
"41","2020-01-14",7.33
"42","2020-01-15",6.9
"43","2020-01-16",7.47
"44","2020-01-17",7.38
"45","2020-01-21",7.04
"46","2020-01-22",8.53
"47","2020-01-23",8.46
"48","2020-01-24",8.305
"49","2020-01-27",8.51
"50","2020-01-28",8.69
"51","2020-01-29",8.68
"52","2020-01-30",8.59
"53","2020-01-31",8.37
"54","2020-02-03",8.46
"55","2020-02-04",8.49
"56","2020-02-05",9.23
"57","2020-02-06",9.1
"58","2020-02-07",9
"59","2020-02-10",8.37
"60","2020-02-11",8.17
"61","2020-02-12",8.3
"62","2020-02-13",8.55
"63","2020-02-14",8.23
"64","2020-02-18",8.38
"65","2020-02-19",7.84
"66","2020-02-20",7.999
"67","2020-02-21",9.16
"68","2020-02-24",8.95
"69","2020-02-25",8
"70","2020-02-26",7.26
"71","2020-02-27",6.72
"72","2020-02-28",6.98
"73","2020-03-02",6.99
"74","2020-03-03",6.5
"75","2020-03-04",7.61
"76","2020-03-05",7.15
"77","2020-03-06",6.44
"78","2020-03-09",5.55
"79","2020-03-10",5.57
"80","2020-03-11",4.94
"81","2020-03-12",4.44
"82","2020-03-13",4.21
"83","2020-03-16",4.14
"84","2020-03-17",5.02
"85","2020-03-18",4.22
"86","2020-03-19",4.64
"87","2020-03-20",4.25
"88","2020-03-23",4.37
"89","2020-03-24",2.27
"90","2020-03-25",2.34
"91","2020-03-26",2.6
"92","2020-03-27",2.65
"93","2020-03-30",2.5
"94","2020-03-31",2.48
"95","2020-04-01",2.29
"96","2020-04-02",2.2
"97","2020-04-03",2.2
"98","2020-04-06",2.38
"99","2020-04-07",2.39
"100","2020-04-08",2.4
"101","2020-04-09",2.405
"102","2020-04-13",2.35
"103","2020-04-14",2.35
"104","2020-04-15",2.39
"105","2020-04-16",2.35
"106","2020-04-17",2.34
"107","2020-04-20",2.39
"108","2020-04-21",2.47
"109","2020-04-22",2.65
"110","2020-04-23",2.78
"111","2020-04-24",2.89
"112","2020-04-27",3.13
"113","2020-04-28",3.41
"114","2020-04-29",3.255
"115","2020-04-30",3.075
"116","2020-05-01",3.13
"117","2020-05-04",3.2
"118","2020-05-05",3.19
"119","2020-05-06",3.05
"120","2020-05-07",2.98
"121","2020-05-08",3.03
"122","2020-05-11",3.05
"123","2020-05-12",3.5
"124","2020-05-13",3.63
"125","2020-05-14",3.46
"126","2020-05-15",4.34
"127","2020-05-18",4.2
"128","2020-05-19",4.01
"129","2020-05-20",4.06
"130","2020-05-21",3.98
"131","2020-05-22",4.03
"132","2020-05-26",4.36
"133","2020-05-27",4.52
"134","2020-05-28",4.39
"135","2020-05-29",4.25
"136","2020-06-01",4.1
"137","2020-06-02",3.94
"138","2020-06-03",4.02
"139","2020-06-04",3.72
"140","2020-06-05",3.95
"141","2020-06-08",4.28
"142","2020-06-09",4.16
"143","2020-06-10",4.05
"144","2020-06-11",3.65
"145","2020-06-12",3.56
"146","2020-06-15",3.95
"147","2020-06-16",3.91
"148","2020-06-17",3.89
"149","2020-06-18",4.05
"150","2020-06-19",3.79
"151","2020-06-22",3.78
"152","2020-06-23",3.79
"153","2020-06-24",3.82
"154","2020-06-25",4.29
"155","2020-06-26",4.48
"156","2020-06-29",4.36
"157","2020-06-30",4.15
"158","2020-07-01",4.08
"159","2020-07-02",4
"160","2020-07-06",3.69
"161","2020-07-07",3.74
"162","2020-07-08",3.65
"163","2020-07-09",3.53
"164","2020-07-10",3.53
"165","2020-07-13",3.55
"166","2020-07-14",3.37
"167","2020-07-15",3.33
"168","2020-07-16",3.41
"169","2020-07-17",3.45
"170","2020-07-20",3.54
"171","2020-07-21",3.42
"172","2020-07-22",3.45
"173","2020-07-23",3.36
"174","2020-07-24",3.3
"175","2020-07-27",3.23
"176","2020-07-28",3.27
"177","2020-07-29",3.15
"178","2020-07-30",3.27
"179","2020-07-31",3.52
"180","2020-08-03",3.62
"181","2020-08-04",3.61
"182","2020-08-05",3.51
"183","2020-08-06",3.48
"184","2020-08-07",3.44
"185","2020-08-10",2.76
"186","2020-08-11",2.77
"187","2020-08-12",2.47
"188","2020-08-13",2.57
"189","2020-08-14",2.63
"190","2020-08-17",2.73
"191","2020-08-18",2.84
"192","2020-08-19",2.91
"193","2020-08-20",3.03
"194","2020-08-21",2.95
"195","2020-08-24",2.82
"196","2020-08-25",2.905
"197","2020-08-26",3
"198","2020-08-27",2.87
"199","2020-08-28",2.78
"200","2020-08-31",2.8
"201","2020-09-01",3.04
"202","2020-09-02",3.85
"203","2020-09-03",3.56
"204","2020-09-04",3.31
"205","2020-09-08",3.08
"206","2020-09-09",3.19
"207","2020-09-10",3.26
"208","2020-09-11",3.16
"209","2020-09-14",3.28
"210","2020-09-15",3.42
"211","2020-09-16",3.4
"212","2020-09-17",3.4
"213","2020-09-18",3.45
"214","2020-09-21",3.23
"215","2020-09-22",3.35
"216","2020-09-23",3.15
"217","2020-09-24",3.05
"218","2020-09-25",3.01
"219","2020-09-28",2.96
"220","2020-09-29",2.8
"221","2020-09-30",2.77
"222","2020-10-01",2.72
"223","2020-10-02",2.87
"224","2020-10-05",2.75
"225","2020-10-06",2.75
"226","2020-10-07",2.82
"227","2020-10-08",2.9
"228","2020-10-09",2.86
"229","2020-10-12",2.86
"230","2020-10-13",2.79
"231","2020-10-14",2.7
"232","2020-10-15",2.69
"233","2020-10-16",2.69
"234","2020-10-19",2.64
"235","2020-10-20",1.58
"236","2020-10-21",1.42
"237","2020-10-22",1.51
"238","2020-10-23",1.46
"239","2020-10-26",1.29
"240","2020-10-27",1.21
"241","2020-10-28",1.06
"242","2020-10-29",1.13
"243","2020-10-30",1.09
"244","2020-11-02",1.15
"245","2020-11-03",1.16
"246","2020-11-04",1.15
"247","2020-11-05",1.16
"248","2020-11-06",1.19
"249","2020-11-09",1.1
"250","2020-11-10",0.998
"251","2020-11-11",1.03
"252","2020-11-12",1.06
"253","2020-11-13",1.1
"254","2020-11-16",1.13
"255","2020-11-17",1.18
"256","2020-11-18",1.1
"257","2020-11-19",1.05
"258","2020-11-20",1.06
"259","2020-11-23",1.05
"260","2020-11-24",1.09
"261","2020-11-25",1.12
"262","2020-11-27",1.15
