"","date","DFPH"
"1","2020-06-04",9.7
"2","2020-06-05",9.84
"3","2020-06-08",9.7
"4","2020-06-09",9.7
"5","2020-06-10",9.75
"6","2020-06-11",9.76
"7","2020-06-12",9.76
"8","2020-06-15",9.76
"9","2020-06-16",9.76
"10","2020-06-17",9.76
"11","2020-06-18",9.98
"12","2020-06-19",9.932
"13","2020-06-22",9.98
"14","2020-06-23",10.01
"15","2020-06-24",10.17
"16","2020-06-25",9.97
"17","2020-06-26",9.97
"18","2020-06-29",10.1
"19","2020-06-30",10.05
"20","2020-07-01",10.6
"21","2020-07-02",10.822
"22","2020-07-06",10.8
"23","2020-07-07",10.78
"24","2020-07-08",10.535
"25","2020-07-09",10.8
"26","2020-07-10",10.9
"27","2020-07-13",10.88
"28","2020-07-14",10.81
"29","2020-07-15",10.81
"30","2020-07-16",10.7
"31","2020-07-17",10.8
"32","2020-07-20",10.8
"33","2020-07-21",10.79
"34","2020-07-22",10.79
"35","2020-07-23",10.5
"36","2020-07-24",10.49
"37","2020-07-27",10.49
"38","2020-07-28",10.39
"39","2020-07-29",10.39
"40","2020-07-30",10.31
"41","2020-07-31",10.17
"42","2020-08-03",10.15
"43","2020-08-04",10.375
"44","2020-08-05",10.42
"45","2020-08-06",10.45
"46","2020-08-07",10.4
"47","2020-08-10",10.42
"48","2020-08-11",10.35
"49","2020-08-12",10.4
"50","2020-08-13",10.355
"51","2020-08-14",10.21
"52","2020-08-17",10.21
"53","2020-08-18",10.18
"54","2020-08-19",10.125
"55","2020-08-20",10.1
"56","2020-08-21",10.15
"57","2020-08-24",10.19
"58","2020-08-25",10.1
"59","2020-08-26",10.1
"60","2020-08-27",10.15
"61","2020-08-28",10.1
"62","2020-08-31",10.17
"63","2020-09-01",10.1
"64","2020-09-02",10.11
"65","2020-09-03",10.11
"66","2020-09-04",10.15
"67","2020-09-08",10.15
"68","2020-09-09",10.17
"69","2020-09-10",10.17
"70","2020-09-11",10.16
"71","2020-09-14",10.12
"72","2020-09-15",10.195
"73","2020-09-16",10.2
"74","2020-09-17",10.28
"75","2020-09-18",10.311
"76","2020-09-21",10.44
"77","2020-09-22",10.48
"78","2020-09-23",10.48
"79","2020-09-24",10.48
"80","2020-09-25",10.46
"81","2020-09-28",10.46
"82","2020-09-29",10.38
"83","2020-09-30",10.38
"84","2020-10-01",10.38
"85","2020-10-02",10.3
"86","2020-10-05",10.3
"87","2020-10-06",10.3
"88","2020-10-07",10.25
"89","2020-10-08",10.25
"90","2020-10-09",10.25
"91","2020-10-12",10.25
"92","2020-10-13",10.2
"93","2020-10-14",10.21
"94","2020-10-15",10.2
"95","2020-10-16",10.2
"96","2020-10-19",10.12
"97","2020-10-20",10.15
"98","2020-10-21",10.152
"99","2020-10-22",10.15
"100","2020-10-23",10.1
"101","2020-10-26",10.08
"102","2020-10-27",10.1
"103","2020-10-28",10.09
"104","2020-10-29",10.1
"105","2020-10-30",10.1
"106","2020-11-02",10.05
"107","2020-11-03",10.13
"108","2020-11-04",10.15
"109","2020-11-05",10.15
"110","2020-11-06",10.02
"111","2020-11-09",10.15
"112","2020-11-10",10.15
"113","2020-11-11",10.078
"114","2020-11-12",10.05
"115","2020-11-13",10.05
"116","2020-11-16",10.05
"117","2020-11-17",10.05
"118","2020-11-18",10.05
"119","2020-11-19",10.08
"120","2020-11-20",10.08
"121","2020-11-23",10.1
"122","2020-11-24",10.1
"123","2020-11-25",10.1
"124","2020-11-27",10.1
