"","date","CPLP"
"1","2007-03-30",187.25
"2","2007-04-02",185.779999
"3","2007-04-03",184.800003
"4","2007-04-04",183.399994
"5","2007-04-05",183.259995
"6","2007-04-09",183.399994
"7","2007-04-10",183.399994
"8","2007-04-11",184.240005
"9","2007-04-12",183.889999
"10","2007-04-13",183.399994
"11","2007-04-16",183.050003
"12","2007-04-17",182.279999
"13","2007-04-18",183.259995
"14","2007-04-19",183.259995
"15","2007-04-20",181.020004
"16","2007-04-23",182
"17","2007-04-24",182.979996
"18","2007-04-25",184.100006
"19","2007-04-26",183.190002
"20","2007-04-27",184.029999
"21","2007-04-30",183.190002
"22","2007-05-01",184.869995
"23","2007-05-02",182.979996
"24","2007-05-03",182
"25","2007-05-04",181.860001
"26","2007-05-07",187.740005
"27","2007-05-08",184.800003
"28","2007-05-09",185.289993
"29","2007-05-10",186.199997
"30","2007-05-11",184.800003
"31","2007-05-14",185.990005
"32","2007-05-15",186.059998
"33","2007-05-16",184.800003
"34","2007-05-17",185.570007
"35","2007-05-18",185.149994
"36","2007-05-21",184.449997
"37","2007-05-22",182.350006
"38","2007-05-23",180.949997
"39","2007-05-24",181.789993
"40","2007-05-25",180.600006
"41","2007-05-29",180.110001
"42","2007-05-30",179.899994
"43","2007-05-31",178.5
"44","2007-06-01",178.850006
"45","2007-06-04",179.130005
"46","2007-06-05",178.570007
"47","2007-06-06",177.940002
"48","2007-06-07",174.580002
"49","2007-06-08",172.899994
"50","2007-06-11",172.970001
"51","2007-06-12",175.210007
"52","2007-06-13",174.300003
"53","2007-06-14",176.75
"54","2007-06-15",179.899994
"55","2007-06-18",188.300003
"56","2007-06-19",187.529999
"57","2007-06-20",186.759995
"58","2007-06-21",192.710007
"59","2007-06-22",199.850006
"60","2007-06-25",199.5
"61","2007-06-26",196
"62","2007-06-27",196
"63","2007-06-28",197.539993
"64","2007-06-29",199.639999
"65","2007-07-02",200.970001
"66","2007-07-03",201.809998
"67","2007-07-05",202.649994
"68","2007-07-06",202.440002
"69","2007-07-09",199.5
"70","2007-07-10",202.580002
"71","2007-07-11",208.600006
"72","2007-07-12",214.830002
"73","2007-07-13",216.649994
"74","2007-07-16",218.75
"75","2007-07-17",220.220001
"76","2007-07-18",220.5
"77","2007-07-19",221.759995
"78","2007-07-20",222.25
"79","2007-07-23",221.410004
"80","2007-07-24",221.199997
"81","2007-07-25",219.800003
"82","2007-07-26",218.190002
"83","2007-07-27",220.220001
"84","2007-07-30",216.300003
"85","2007-07-31",226.309998
"86","2007-08-01",208.460007
"87","2007-08-02",201.320007
"88","2007-08-03",198.309998
"89","2007-08-06",194.110001
"90","2007-08-07",197.470001
"91","2007-08-08",198.800003
"92","2007-08-09",198.169998
