"","date","ENVA"
"1","2014-11-13",26.950001
"2","2014-11-14",25.120001
"3","2014-11-17",24.27
"4","2014-11-18",23.99
"5","2014-11-19",23.690001
"6","2014-11-20",23.42
"7","2014-11-21",23.370001
"8","2014-11-24",22.959999
"9","2014-11-25",22.299999
"10","2014-11-26",22.860001
"11","2014-11-28",22.99
"12","2014-12-01",22.700001
"13","2014-12-02",22.85
"14","2014-12-03",22.17
"15","2014-12-04",21.959999
"16","2014-12-05",22.23
"17","2014-12-08",22.1
"18","2014-12-09",22.08
"19","2014-12-10",21.969999
"20","2014-12-11",22.4
"21","2014-12-12",23.040001
"22","2014-12-15",22.67
"23","2014-12-16",21.85
"24","2014-12-17",22
"25","2014-12-18",22.110001
"26","2014-12-19",21.959999
"27","2014-12-22",21.82
"28","2014-12-23",21.889999
"29","2014-12-24",21.85
"30","2014-12-26",21.889999
"31","2014-12-29",21.93
"32","2014-12-30",22.219999
"33","2014-12-31",22.26
"34","2015-01-02",22.82
"35","2015-01-05",22.43
"36","2015-01-06",21.25
"37","2015-01-07",21.41
"38","2015-01-08",21.51
"39","2015-01-09",20.93
"40","2015-01-12",19.889999
"41","2015-01-13",20.1
"42","2015-01-14",20.190001
"43","2015-01-15",20.200001
"44","2015-01-16",20.559999
"45","2015-01-20",20.209999
"46","2015-01-21",19.17
"47","2015-01-22",19.41
"48","2015-01-23",19.74
"49","2015-01-26",20.15
"50","2015-01-27",19.92
"51","2015-01-28",19
"52","2015-01-29",19.07
"53","2015-01-30",19.25
"54","2015-02-02",20.049999
"55","2015-02-03",20.559999
"56","2015-02-04",22.139999
"57","2015-02-05",22.200001
"58","2015-02-06",21.870001
"59","2015-02-09",21.809999
"60","2015-02-10",21.99
"61","2015-02-11",21.99
"62","2015-02-12",21.950001
"63","2015-02-13",22.299999
"64","2015-02-17",22.16
"65","2015-02-18",22.209999
"66","2015-02-19",22.889999
"67","2015-02-20",23.25
"68","2015-02-23",23.290001
"69","2015-02-24",23.059999
"70","2015-02-25",23.34
"71","2015-02-26",23.08
"72","2015-02-27",23.09
"73","2015-03-02",23.18
"74","2015-03-03",23.73
"75","2015-03-04",23.49
"76","2015-03-05",23.629999
"77","2015-03-06",23.34
"78","2015-03-09",22.950001
"79","2015-03-10",22.799999
"80","2015-03-11",22.9
"81","2015-03-12",22.99
"82","2015-03-13",23
"83","2015-03-16",22.99
"84","2015-03-17",22.99
"85","2015-03-18",23.24
"86","2015-03-19",23.139999
"87","2015-03-20",23.67
"88","2015-03-23",24.469999
"89","2015-03-24",24.49
"90","2015-03-25",23.799999
"91","2015-03-26",19.52
"92","2015-03-27",19.16
"93","2015-03-30",19.77
"94","2015-03-31",19.690001
"95","2015-04-01",20.280001
"96","2015-04-02",20.82
"97","2015-04-06",20.4
"98","2015-04-07",20.540001
"99","2015-04-08",20.459999
"100","2015-04-09",20.24
"101","2015-04-10",20.24
"102","2015-04-13",19.68
"103","2015-04-14",19.139999
"104","2015-04-15",20.25
"105","2015-04-16",20.01
"106","2015-04-17",18.639999
"107","2015-04-20",19.940001
"108","2015-04-21",19.23
"109","2015-04-22",19.540001
"110","2015-04-23",19.66
"111","2015-04-24",19.33
"112","2015-04-27",19.23
"113","2015-04-28",19
"114","2015-04-29",18.75
"115","2015-04-30",18.51
"116","2015-05-01",18.74
"117","2015-05-04",18.870001
"118","2015-05-05",18.91
"119","2015-05-06",19.200001
"120","2015-05-07",20.059999
"121","2015-05-08",19
"122","2015-05-11",19.540001
"123","2015-05-12",19.200001
"124","2015-05-13",19.52
"125","2015-05-14",19.99
"126","2015-05-15",19.969999
"127","2015-05-18",19.559999
"128","2015-05-19",19.559999
