"","date","CRSAU"
"1","2019-03-08",10
"2","2019-03-11",10
"3","2019-03-12",10
"4","2019-03-13",9.99
"5","2019-03-14",10
"6","2019-03-15",10
"7","2019-03-18",10
"8","2019-03-19",10
"9","2019-03-20",10
"10","2019-03-21",9.96
"11","2019-03-22",9.96
"12","2019-03-25",9.97
"13","2019-03-26",9.97
"14","2019-03-27",9.985
"15","2019-03-28",10
"16","2019-03-29",10
"17","2019-04-01",10
"18","2019-04-02",10.03
"19","2019-04-03",10.03
"20","2019-04-04",10.02
"21","2019-04-05",10.0144
"22","2019-04-08",10.0144
"23","2019-04-09",10.03
"24","2019-04-10",10.04
"25","2019-04-11",10.03
"26","2019-04-12",10.0359
"27","2019-04-15",10.05
"28","2019-04-16",10.0301
"29","2019-04-17",10.09
"30","2019-04-18",10.0569
"31","2019-04-22",10.05
"32","2019-04-23",10.055
"33","2019-04-24",10.055
"34","2019-04-25",10.08
"35","2019-04-26",10.07
"36","2019-04-29",10.08
"37","2019-04-30",10.03
"38","2019-05-01",10.08
"39","2019-05-02",10.1
"40","2019-05-03",10.1
"41","2019-05-06",10.1
"42","2019-05-07",10.08
"43","2019-05-08",10.101
"44","2019-05-09",10.1
"45","2019-05-10",10.1
"46","2019-05-13",10.07
"47","2019-05-14",10.05
"48","2019-05-15",10.02
"49","2019-05-16",10.085
"50","2019-05-17",10.03
"51","2019-05-20",10.07
"52","2019-05-21",10.07
"53","2019-05-22",10.07
"54","2019-05-23",10.07
"55","2019-05-24",10.07
"56","2019-05-28",10.07
"57","2019-05-29",10.07
"58","2019-05-30",10.07
"59","2019-05-31",10.07
"60","2019-06-03",10.07
"61","2019-06-04",10.07
"62","2019-06-05",10.1
"63","2019-06-06",10.1
"64","2019-06-07",10.1
"65","2019-06-10",10.1
"66","2019-06-11",10.09
"67","2019-06-12",10.0849
"68","2019-06-13",10.09
"69","2019-06-14",10.09
"70","2019-06-17",10.07
"71","2019-06-18",10.07
"72","2019-06-19",10.07
"73","2019-06-20",10.1
"74","2019-06-21",10.05
"75","2019-06-24",10.05
"76","2019-06-25",10.0201
"77","2019-06-26",10.0101
"78","2019-06-27",10.0101
"79","2019-06-28",10.0501
"80","2019-07-01",10.08
"81","2019-07-02",10.1
"82","2019-07-03",10.1
"83","2019-07-05",10.1172
"84","2019-07-08",10.11
"85","2019-07-09",10.13
"86","2019-07-10",10.13
"87","2019-07-11",10.13
"88","2019-07-12",10.13
"89","2019-07-15",10.13
"90","2019-07-16",10.12
"91","2019-07-17",10.12
"92","2019-07-18",10.12
"93","2019-07-19",10.12
"94","2019-07-22",10.12
"95","2019-07-23",10.12
"96","2019-07-24",10.12
"97","2019-07-25",10.11
"98","2019-07-26",10.06
"99","2019-07-29",10.13
"100","2019-07-30",10.13
"101","2019-07-31",10.14
"102","2019-08-01",10.13
"103","2019-08-02",10.03
"104","2019-08-05",10.03
"105","2019-08-06",10.12
"106","2019-08-07",10.15
"107","2019-08-08",10.13
"108","2019-08-09",10.13
"109","2019-08-12",10.13
"110","2019-08-13",10.13
"111","2019-08-14",10.17
"112","2019-08-15",10.17
"113","2019-08-16",10.17
"114","2019-08-19",10.17
"115","2019-08-20",10.17
"116","2019-08-21",10.1699
"117","2019-08-22",10.1699
"118","2019-08-23",10.15
"119","2019-08-26",10.15
"120","2019-08-27",10.17
"121","2019-08-28",10.17
"122","2019-08-29",10.17
"123","2019-08-30",10.17
"124","2019-09-03",10.15
"125","2019-09-04",10.14
"126","2019-09-05",10.17
"127","2019-09-06",10.17
"128","2019-09-09",10.17
"129","2019-09-10",10.17
"130","2019-09-11",10.17
"131","2019-09-12",10.17
"132","2019-09-13",10.17
"133","2019-09-16",10.15
"134","2019-09-17",10.18
"135","2019-09-18",10.1841
"136","2019-09-19",10.1841
"137","2019-09-20",10.07
"138","2019-09-23",10.15
"139","2019-09-24",10.18
"140","2019-09-25",10.18
"141","2019-09-26",10.16
"142","2019-09-27",10.16
"143","2019-09-30",10.16
"144","2019-10-01",10.16
"145","2019-10-02",10.16
"146","2019-10-03",10.2
"147","2019-10-04",10.2
"148","2019-10-07",10.2
"149","2019-10-08",10.2
"150","2019-10-09",10.2
"151","2019-10-10",10.2201
"152","2019-10-11",10.24
"153","2019-10-14",10.24
"154","2019-10-15",10.24
"155","2019-10-16",10.24
"156","2019-10-17",10.24
"157","2019-10-18",10.24
"158","2019-10-21",10.24
"159","2019-10-22",10.2201
"160","2019-10-23",10.25
"161","2019-10-24",10.2573
"162","2019-10-25",10.19
"163","2019-10-28",10.19
"164","2019-10-29",10.27
"165","2019-10-30",10.2673
"166","2019-10-31",10.27
"167","2019-11-01",10.27
"168","2019-11-04",10.2673
"169","2019-11-05",10.27
"170","2019-11-06",10.27
"171","2019-11-07",10.27
"172","2019-11-08",10.27
"173","2019-11-11",10.25
"174","2019-11-12",10.19
"175","2019-11-13",10.19
"176","2019-11-14",10.15
"177","2019-11-15",10.15
"178","2019-11-18",10.235
"179","2019-11-19",10.235
"180","2019-11-20",10.2
"181","2019-11-21",10.2
"182","2019-11-22",10.2
"183","2019-11-25",10.15
"184","2019-11-26",10.15
"185","2019-11-27",10.23
"186","2019-11-29",10.25
"187","2019-12-02",10.23
"188","2019-12-03",10.23
"189","2019-12-04",10.23
"190","2019-12-05",10.23
"191","2019-12-06",10.23
"192","2019-12-09",10.26
"193","2019-12-10",10.26
"194","2019-12-11",10.26
"195","2019-12-12",10.26
"196","2019-12-13",10.2
"197","2019-12-16",10.35
"198","2019-12-17",10.35
"199","2019-12-18",10.3
"200","2019-12-19",10.2999
"201","2019-12-20",10.2999
"202","2019-12-23",10.2999
"203","2019-12-24",10.2999
"204","2019-12-26",10.2999
"205","2019-12-27",10.2999
"206","2019-12-30",10.2999
"207","2019-12-31",10.2999
"208","2020-01-02",10.25
"209","2020-01-03",10.25
"210","2020-01-06",10.34
"211","2020-01-07",10.34
"212","2020-01-08",10.434
"213","2020-01-09",10.35
"214","2020-01-10",10.35
"215","2020-01-13",10.35
"216","2020-01-14",10.35
"217","2020-01-15",10.251
"218","2020-01-16",10.38
"219","2020-01-17",10.45
"220","2020-01-21",10.45
